bic_8,bic,bank
ABAPIE21,ABAPIE21XXX,ABBEY CAPITAL LTD
ABRNIE21,ABRNIE21XXX,PEOPLE FIRST CREDIT UNION LIMITED
ABRUIE21,ABRUIE21XXX,ABBEYFEALE CREDIT UNION LIMITED
ACCUIE21,ACCUIE21XXX,FIRST CHOICE CREDIT UNION LIMITED
ACMOIE21,ACMOIE21XXX,"ALLIED IRISH BANKS, PUBLIC LIMITED COMPANY"
ACRUIE21,ACRUIE21XXX,ST. ANTHONY'S AND CLADDAGH CREDIT UNION LIMITED
ADCUIE21,ADCUIE21XXX,ATHEA AND DISTRICT CREDIT UNION LIMITED
ADDUIE21,ADDUIE21XXX,W AND W INVESTMENT MANAGERS DESIGNATED ACTIVITY COMPANY
AFEEIE2D,AFEEIE2DXXX,ASSOCIATED FOREIGN EXCHANGE IRELAND LIMITED
AFMEIE22,AFMEIE22XXX,AFEX MARKETS EUROPE LIMITED
AFRNIE21,AFRNIE21XXX,ANP INTERNATIONAL FINANCE LTD
AFSIIE21,AFSIIE21XXX,APEX FUND SERVICES (IRELAND) LIMITED
AGCUIE21,AGCUIE21XXX,ST. AGNES CREDIT UNION LIMITED
AGITIE21,AGITIE21CUS,AIG INVESTMENTS IRELAND LIMITED
AGITIE21,AGITIE21XXX,AIG INVESTMENTS IRELAND LIMITED
AIBKIE2D,AIBKIE2DTPS,"AIB, PUBLIC LIMITED COMPANY"
AIBKIE2D,AIBKIE2DXXX,"AIB, PUBLIC LIMITED COMPANY"
AIBKIE2E,AIBKIE2EXXX,IQ EQ FUND MANAGEMENT (IRELAND) LIMITED
AIBKIE31,AIBKIE31XXX,IQ EQ FUND MANAGEMENT (IRELAND) LIMITED
AICMIE21,AICMIE21XXX,"ALLIED IRISH BANKS, PUBLIC LIMITED COMPANY"
AICUIE21,AICUIE21XXX,ST. AILBES CREDIT UNION LIMITED
AIFIIE21,AIFIIE21XXX,AIB FINANCE LIMITED
AIGCIE21,AIGCIE21XXX,"AIG EUROPE S.A., IRELAND BRANCH"
AIMBIE21,AIMBIE21XXX,AIB MORTGAGE BANK
ALHSIE2D,ALHSIE2DXXX,ALCHELYST LIMITED
AMUEIE22,AMUEIE22XXX,ARCHITAS MULTI-MANAGER EUROPE LIMITED
ANCUIE21,ANCUIE21XXX,ANNADUFF CREDIT UNION LIMITED
ANUNIE21,ANUNIE21XXX,A.N.S.A.C.CREDIT UNION LIMITED
ARCUIE21,ARCUIE21XXX,ARDEE CREDIT UNION LIMITED
ARIDIE22,ARIDIE22XXX,ARCH INSURANCE EU DAC
ARRIIE21,ARRIIE21XXX,ARAINN CREDIT UNION LIMITED
ARRNIE21,ARRNIE21XXX,CAHIR CREDIT UNION LIMITED
ARRPIE21,ARRPIE21XXX,ARCH REINSURANCE EUROPE
ARRUIE21,ARRUIE21XXX,ARKLOW CREDIT UNION LIMITED
ASPDIE21,ASPDIE21XXX,AUGHRIM STREET PARISH AND DISTRICT CREDIT UNION LIMITED
ASRNIE21,ASRNIE21XXX,A.S.T.I. CREDIT UNION LIMITED
ASTGIE21,ASTGIE21XXX,IIU ASSET STRATEGIES LIMITED
ATCUIE21,ATCUIE21XXX,ATHBOY CREDIT UNION LIMITED
ATEUIE21,ATEUIE21XXX,PEOPLE FIRST CREDIT UNION LIMITED
ATROIE21,ATROIE21XXX,ATHLONE CREDIT UNION LIMITED
ATRUIE21,ATRUIE21XXX,ATHENRY CREDIT UNION LIMITED
AVACIE21,AVACIE21XXX,AVA TRADE EU LIMITED
AVCUIE21,AVCUIE21XXX,ALTURA CREDIT UNION LIMITED
AYCUIE21,AYCUIE21XXX,AYRFIELD CREDIT UNION LIMITED
AZIVIE2D,AZIVIE2DXXX,AZIMUT INVESTMENTS LIMITED
AZLDIE22,AZLDIE22XXX,AZIMUT LIFE DAC
BARCIE2D,BARCIE2D4SF,BARCLAYS BANK IRELAND PLC
BARCIE2D,BARCIE2DCMA,BARCLAYS BANK IRELAND PLC
BARCIE2D,BARCIE2DGBS,BARCLAYS BANK IRELAND PLC
BARCIE2D,BARCIE2DMEM,BARCLAYS BANK IRELAND PLC
BARCIE2D,BARCIE2DPTM,BARCLAYS BANK IRELAND PLC
BARCIE2D,BARCIE2DSEC,BARCLAYS BANK IRELAND PLC
BARCIE2D,BARCIE2DTPS,BARCLAYS BANK IRELAND PLC
BARCIE2D,BARCIE2DTSY,BARCLAYS BANK IRELAND PLC
BARCIE2D,BARCIE2DXXX,BARCLAYS BANK IRELAND PLC
BARCIE2F,BARCIE2FXXX,BARCLAYS BANK IRELAND PLC
BARCIE3P,BARCIE3PXXX,BARCLAYS BANK IRELAND PLC
BAWAIE22,BAWAIE22XXX,"BAWAG P.S.K. BANK FUR ARBEIT UND WIRTSCHAFT UND OSTERREICHISCHE POSTSPARKASSE AG, IRISH BRANCH"
BBCUIE21,BBCUIE21XXX,ATHENRY CREDIT UNION LIMITED
BBDAIE31,BBDAIE31XXX,BANK OF BERMUDA (EUROPE) PLC
BBHFIE21,BBHFIE21XXX,"BROWN BROTHERS HARRIMAN FUND ADMINI STRATION SERVICES (IRELAND), LTD"
BBHTIE21,BBHTIE21XXX,"BROWN BROTHERS HARRIMAN TRUSTEE SER VICES (IRELAND), LTD."
BCDUIE21,BCDUIE21XXX,FIRST SOUTH CREDIT UNION LIMITED
BCPKIE21,BCPKIE21XXX,BCP STOCKBROKERS LTD.
BCRUIE21,BCRUIE21XXX,BALLINLOUGH CREDIT UNION LIMITED
BCUOIE21,BCUOIE21XXX,BALLINASLOE CREDIT UNION (OUR LADY OF LOURDES) LIMITED
BDCIIE21,BDCIIE21XXX,FIRST CHOICE CREDIT UNION LIMITED
BDCLIE21,BDCLIE21XXX,BALLYMOTE AND DISTRICT CREDIT UNION LIMITED
BDCUIE21,BDCUIE21XXX,BALLAGHADERREEN AND DISTRICT CREDIT UNION LIMITED
BDMSIE21,BDMSIE21XXX,BLACKSTONE ALTERNATIVE INVESTMENT FUNDS PLC - BLACKSTONE DIVERSIFIED MULTI-STRATEGY FUND
BDRIIE21,BDRIIE21XXX,BLESSINGTON AND DISTRICT CREDIT UNION LIMITED
BDRNIE21,BDRNIE21XXX,BLANCHARDSTOWN AND DISTRICT CREDIT UNION LIMITED
BEENIE21,BEENIE21XXX,THOMASTOWN CREDIT UNION LIMITED
BERIIE21,BERIIE21XXX,BEREHAVEN CREDIT UNION LIMITED
BERUIE21,BERUIE21XXX,TIPPERARY CREDIT UNION LIMITED
BESNIE21,BESNIE21XXX,BEAR STEARNS BANK PLC
BGCUIE21,BGCUIE21XXX,BAGENALSTOWN CREDIT UNION LIMITED
BGECIE21,BGECIE21XXX,ERVIA EMPLOYEES' CREDIT UNION LIMITED
BHCUIE21,BHCUIE21XXX,B.H.K. CREDIT UNION LIMITED
BIGTIE2D,BIGTIE2DXXX,BANK OF IRELAND HEAD OFFICE
BILLIE2D,BILLIE2DXXX,CACEIS IRELAND LIMITED
BIPEIE21,BIPEIE21XXX,BRANDES INVESTMENT PARTNERS (EUROPE
BIRIIE21,BIRIIE21XXX,BISHOPSTOWN CREDIT UNION LIMITED
BIRNIE21,BIRNIE21XXX,BIRR CREDIT UNION LIMITED
BIRUIE21,BIRUIE21XXX,LINK CREDIT UNION LIMITED
BKBKIE2D,BKBKIE2DXXX,BANKINTER SOCIEDAD ANONIMA IRELAND BRANCH
BKCHIE3D,BKCHIE3DXXX,BANK OF CHINA (EUROPE) S.A. DUBLIN BRANCH
BLCIIE21,BLCIIE21XXX,BALLINA CREDIT UNION LIMITED
BLCUIE21,BLCUIE21XXX,PROGRESSIVE CREDIT UNION LIMITED
BLDIIE21,BLDIIE21XXX,BALLYSHANNON AND KILLYBEGS CREDIT UNION LIMITED
BLDOIE21,BLDOIE21XXX,BALTINGLASS CREDIT UNION LIMITED
BLDUIE21,BLDUIE21XXX,CREDIT UNION PLUS LTD
BLENIE21,BLENIE21XXX,BALLYBAY CREDIT UNION LIMITED
BLFLIE2D,BLFLIE2DXXX,"LGT BANK AG, DUBLIN BRANCH"
BLIEIE21,BLIEIE21XXX,BLACKBEE INVESTMENTS LTD
BLIIIE21,BLIIIE21XXX,BLARNEY CREDIT UNION LIMITED
BLIOIE21,BLIOIE21XXX,BLACKPOOL CREDIT UNION LIMITED
BLIUIE21,BLIUIE21XXX,BLACKROCK CREDIT UNION LIMITED
BLRIIE21,BLRIIE21XXX,ST. COLMAN'S (CLAREMORRIS) CREDIT UNION LIMITED
BLRNIE21,BLRNIE21XXX,BALLINCOLLIG CREDIT UNION LIMITED
BLROIE21,BLROIE21XXX,CREDIT UNION PLUS LTD
BLRUIE21,BLRUIE21XXX,BALLINAMORE CREDIT UNION LIMITED
BLTIIE21,BLTIIE21XXX,ENNISCORTHY CREDIT UNION LIMITED
BLTNIE21,BLTNIE21XXX,BALLYGALL CREDIT UNION LIMITED
BLTOIE21,BLTOIE21XXX,BALLYCONNELL CREDIT UNION LIMITED
