bic_8,bic,bank
ABOMILI2,ABOMILI2XXX,ALBERCOM LTD
ALTHILI2,ALTHILI2XXX,ALTSHULER SHAHAMM FINANCIAL SERVICES LTD
ARISILI1,ARISILI1XXX,BANK LEUMI LE-ISRAEL B.M
ASRIILIC,ASRIILICXXX,AUTOMATED BANKING SERVICES LIMITED
ASRIILIM,ASRIILIMXXX,AUTOMATED BANKING SERVICES LIMITED
ASRIILIT,ASRIILITXXX,AUTOMATED BANKING SERVICES LIMITED
BARDIL21,BARDIL21XXX,MERCANTILE DISCOUNT BANK LTD
BARDILIT,BARDILITXXX,MERCANTILE DISCOUNT BANK LTD
BNPAILI1,BNPAILI1XXX,BNP PARIBAS ISRAEL
BRHRILI1,BRHRILI1XXX,BREVAN HOWARD (ISRAEL) LIMITED
BYAHILI1,BYAHILI1XXX,BANK YAHAV FOR GOVERMENT EMPLOYEES LTD
BYAHILIJ,BYAHILIJXXX,BANK YAHAV FOR GOVERMENT EMPLOYEES LTD
CFPSILI1,CFPSILI1XXX,CITIGROUP FINANCIAL PRODUCTS ISRAEL LIMITED
CITIILIT,CITIILITCTI,CITIBANK N.A.
CITIILIT,CITIILITTRD,CITIBANK N.A.
CITIILIT,CITIILITXXX,CITIBANK N.A.
CLREILI2,CLREILI2XXX,CLEARSHIFT ISRAEL LTD
CONHILI1,CONHILI1XXX,CONTECH LP
CSVEILIT,CSVEILITXXX,CORRESPONDENT SERVICES LTD.
CTEEILI2,CTEEILI2XXX,BANK CLEARING CENTER LTD
CTEEILIT,CTEEILITXXX,BANK CLEARING CENTER LTD
DIGIILIT,DIGIILITXXX,ONE ZERO DIGITAL BANK LTD
EIETILIT,EIETILITXXX,BANK ESH ISRAEL LTD.
FIPKILI1,FIPKILI1XXX,FIVE CAPITAL MARKETS LTD.
FIRBIL21,FIRBIL21XXX,THE FIRST INTERNATIONAL BANK OF ISRAEL LTD
FIRBIL41,FIRBIL41XXX,THE FIRST INTERNATIONAL BANK OF ISRAEL LTD
FIRBIL51,FIRBIL51XXX,THE FIRST INTERNATIONAL BANK OF ISRAEL LTD
FIRBIL61,FIRBIL61XXX,THE FIRST INTERNATIONAL BANK OF ISRAEL LTD
FIRBILIT,FIRBILITCBR,THE FIRST INTERNATIONAL BANK OF ISRAEL LTD
FIRBILIT,FIRBILITDEX,THE FIRST INTERNATIONAL BANK OF ISRAEL LTD
FIRBILIT,FIRBILITXXX,THE FIRST INTERNATIONAL BANK OF ISRAEL LTD
GLRUILIR,GLRUILIRXXX,GLOBAL REMIT - CURRENCY SERVICES LTD
GMTIILI2,GMTIILI2XXX,GMT TECH INNOVATION LTD
HAEHILI2,HAEHILI2XXX,HAAVAROT MEHIROT LTD.
HSBCILIT,HSBCILITXXX,HSBC BANK PLC
IDBLILIT,IDBLILITXXX,ISRAEL DISCOUNT BANK LTD
ILTAILI1,ILTAILI1XXX,GS ISRAEL LLC - TEL AVIV BRANCH
IPOAILIJ,IPOAILIJXXX,POSTAL BANK COMPANY LTD
ISBNILI1,ISBNILI1XXX,ISRAEL BROKERAGE AND INVESTMENT LIMITED
ISRAILIA,ISRAILIAXXX,BANK OF ISRAEL
ISRAILIB,ISRAILIBXXX,BANK OF ISRAEL
ISRAILIJ,ISRAILIJXXX,BANK OF ISRAEL
ISRAILIR,ISRAILIRXXX,BANK OF ISRAEL
ISRTILI2,ISRTILI2XXX,ISRATRANSFER LTD
IVSOILI1,IVSOILI1XXX,PLUS500 LTD
JERSILIT,JERSILITXXX,BANK OF JERUSALEM LTD. TEL-AVIV
LEINILI1,LEINILI1XXX,LEADER AND CO. INVESTMENT HOUSE LTD
LUMIILIT,LUMIILITBSC,BANK LEUMI LE-ISRAEL B.M
LUMIILIT,LUMIILITCLS,BANK LEUMI LE-ISRAEL B.M
LUMIILIT,LUMIILITHAI,BANK LEUMI LE-ISRAEL B.M
LUMIILIT,LUMIILITJLM,BANK LEUMI LE-ISRAEL B.M
LUMIILIT,LUMIILITLDB,BANK LEUMI LE-ISRAEL B.M
LUMIILIT,LUMIILITTLV,BANK LEUMI LE-ISRAEL B.M
