bic_8,bic,bank
AASVIND1,AASVIND1XXX,AADHAR SECURITIES PRIVATE LIMITED
ABBLINBB,ABBLINBBXXX,AB BANK LIMITED
ABNAINBB,ABNAINBBXXX,"NATWEST MARKETS PLC, INDIA BRANCH"
ACBLINBB,ACBLINBBTRY,ABHYUDAYA CO-OPERATIVE BANK LTD.
ACBLINBB,ACBLINBBXXX,ABHYUDAYA CO-OPERATIVE BANK LTD.
ADBMINB1,ADBMINB1XXX,ADITYA BIRLA MONEY LIMITED
AICVINB2,AICVINB2XXX,AIKYAM CAPITAL PRIVATE LIMITED
AJGSINB1,AJGSINB1XXX,AJCON GLOBAL SERVICES LIMITED
ALGUINB1,ALGUINB1XXX,ALMONDZ GLOBAL SECURITIES LIMITED
ALLAINBB,ALLAINBBADR,INDIAN BANK
ALLAINBB,ALLAINBBAGC,INDIAN BANK
ALLAINBB,ALLAINBBAMB,INDIAN BANK
ALLAINBB,ALLAINBBBAN,INDIAN BANK
ALLAINBB,ALLAINBBBHD,INDIAN BANK
ALLAINBB,ALLAINBBBHU,INDIAN BANK
ALLAINBB,ALLAINBBBIF,INDIAN BANK
ALLAINBB,ALLAINBBBOB,INDIAN BANK
ALLAINBB,ALLAINBBBRD,INDIAN BANK
ALLAINBB,ALLAINBBBTT,INDIAN BANK
ALLAINBB,ALLAINBBCAL,INDIAN BANK
ALLAINBB,ALLAINBBCHD,INDIAN BANK
ALLAINBB,ALLAINBBCIF,INDIAN BANK
ALLAINBB,ALLAINBBCLJ,INDIAN BANK
ALLAINBB,ALLAINBBCLM,INDIAN BANK
ALLAINBB,ALLAINBBCPS,INDIAN BANK
ALLAINBB,ALLAINBBDEL,INDIAN BANK
ALLAINBB,ALLAINBBDIF,INDIAN BANK
ALLAINBB,ALLAINBBDMP,INDIAN BANK
ALLAINBB,ALLAINBBDUN,INDIAN BANK
ALLAINBB,ALLAINBBFOR,INDIAN BANK
ALLAINBB,ALLAINBBFRD,INDIAN BANK
ALLAINBB,ALLAINBBGND,INDIAN BANK
ALLAINBB,ALLAINBBHSP,INDIAN BANK
ALLAINBB,ALLAINBBHSS,INDIAN BANK
ALLAINBB,ALLAINBBIBM,INDIAN BANK
ALLAINBB,ALLAINBBJMI,INDIAN BANK
ALLAINBB,ALLAINBBJUL,INDIAN BANK
ALLAINBB,ALLAINBBKAD,INDIAN BANK
ALLAINBB,ALLAINBBKAN,INDIAN BANK
ALLAINBB,ALLAINBBKHA,INDIAN BANK
ALLAINBB,ALLAINBBKOC,INDIAN BANK
ALLAINBB,ALLAINBBLIB,INDIAN BANK
ALLAINBB,ALLAINBBLUK,INDIAN BANK
ALLAINBB,ALLAINBBMAS,INDIAN BANK
ALLAINBB,ALLAINBBMBD,INDIAN BANK
ALLAINBB,ALLAINBBMCO,INDIAN BANK
ALLAINBB,ALLAINBBMEE,INDIAN BANK
ALLAINBB,ALLAINBBPAN,INDIAN BANK
ALLAINBB,ALLAINBBPAT,INDIAN BANK
ALLAINBB,ALLAINBBPHG,INDIAN BANK
ALLAINBB,ALLAINBBPUN,INDIAN BANK
ALLAINBB,ALLAINBBRPK,INDIAN BANK
ALLAINBB,ALLAINBBRPM,INDIAN BANK
ALLAINBB,ALLAINBBRPN,INDIAN BANK
ALLAINBB,ALLAINBBSAL,INDIAN BANK
ALLAINBB,ALLAINBBSIF,INDIAN BANK
ALLAINBB,ALLAINBBSPN,INDIAN BANK
ALLAINBB,ALLAINBBSSI,INDIAN BANK
ALLAINBB,ALLAINBBSTP,INDIAN BANK
ALLAINBB,ALLAINBBSUR,INDIAN BANK
ALLAINBB,ALLAINBBTDM,INDIAN BANK
ALLAINBB,ALLAINBBTRP,INDIAN BANK
ALLAINBB,ALLAINBBVAR,INDIAN BANK
ALLAINBB,ALLAINBBWAD,INDIAN BANK
ALLAINBB,ALLAINBBXXX,INDIAN BANK
AMCVINB1,AMCVINB1XXX,AMBIT CAPITAL PRIVATE LIMITED
AMIIINB1,AMIIINB1XXX,ASIT C MEHTA INVESTMENT INTERMEDIAT ES LTD
AMSVINB1,AMSVINB1XXX,ASIAN MARKETS SECURITIES PVT. LTD.
ANSPINB1,ANSPINB1XXX,AMIT NALIN SECURITIES PVT LTD
ANSRINB1,ANSRINB1XXX,ANTIQUE STOCK BROKING LTD
ANSTINB1,ANSTINB1XXX,ANVIL SHARE AND STOCK
ANZBINBX,ANZBINBXGFT,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
ANZBINBX,ANZBINBXXXX,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
ARERINB1,ARERINB1XXX,ARJ SECURITIES PRIVATE LIMITED
ARHSINB1,ARHSINB1XXX,ANAND RATHI SHARE AND STOCK BROKERS LIMITED
ASKAINB1,ASKAINB1XXX,JM FINANCIAL INSTITUTIONAL SECURITIES LIMITED
ASPFINB1,ASPFINB1XXX,VIOLET ARCH SECURITIES PRIVATE LIMITED
ASSOINB1,ASSOINB1XXX,ALCHEMY SHARE AND STOCK BROKERS PVT LTD
ASTKINC2,ASTKINC2XXX,ASHIKA STOCK BROKING LIMITED
AUBLINBB,AUBLINBBXXX,AU SMALL FINANCE BANK LIMITED
AVCPINB1,AVCPINB1XXX,IL AND FS BROKING SERVICES PRIVATE LIMITED
AXCPINB1,AXCPINB1XXX,AXIS CAPITAL LIMITED
AXISINAA,AXISINAAXXX,AXIS BANK LIMITED
AXISINBB,AXISINBB002,AXIS BANK LIMITED
AXISINBB,AXISINBB003,AXIS BANK LIMITED
AXISINBB,AXISINBB004,AXIS BANK LIMITED
AXISINBB,AXISINBB005,AXIS BANK LIMITED
AXISINBB,AXISINBB006,AXIS BANK LIMITED
AXISINBB,AXISINBB007,AXIS BANK LIMITED
AXISINBB,AXISINBB008,AXIS BANK LIMITED
AXISINBB,AXISINBB009,AXIS BANK LIMITED
AXISINBB,AXISINBB010,AXIS BANK LIMITED
AXISINBB,AXISINBB011,AXIS BANK LIMITED
AXISINBB,AXISINBB012,AXIS BANK LIMITED
AXISINBB,AXISINBB013,AXIS BANK LIMITED
AXISINBB,AXISINBB014,AXIS BANK LIMITED
AXISINBB,AXISINBB015,AXIS BANK LIMITED
AXISINBB,AXISINBB016,AXIS BANK LIMITED
AXISINBB,AXISINBB017,AXIS BANK LIMITED
AXISINBB,AXISINBB018,AXIS BANK LIMITED
AXISINBB,AXISINBB019,AXIS BANK LIMITED
AXISINBB,AXISINBB020,AXIS BANK LIMITED
AXISINBB,AXISINBB022,AXIS BANK LIMITED
AXISINBB,AXISINBB023,AXIS BANK LIMITED
AXISINBB,AXISINBB024,AXIS BANK LIMITED
AXISINBB,AXISINBB025,AXIS BANK LIMITED
AXISINBB,AXISINBB026,AXIS BANK LIMITED
AXISINBB,AXISINBB027,AXIS BANK LIMITED
AXISINBB,AXISINBB028,AXIS BANK LIMITED
AXISINBB,AXISINBB029,AXIS BANK LIMITED
AXISINBB,AXISINBB030,AXIS BANK LIMITED
AXISINBB,AXISINBB031,AXIS BANK LIMITED
AXISINBB,AXISINBB032,AXIS BANK LIMITED
AXISINBB,AXISINBB034,AXIS BANK LIMITED
AXISINBB,AXISINBB035,AXIS BANK LIMITED
AXISINBB,AXISINBB036,AXIS BANK LIMITED
AXISINBB,AXISINBB037,AXIS BANK LIMITED
AXISINBB,AXISINBB038,AXIS BANK LIMITED
AXISINBB,AXISINBB039,AXIS BANK LIMITED
AXISINBB,AXISINBB040,AXIS BANK LIMITED
AXISINBB,AXISINBB041,AXIS BANK LIMITED
AXISINBB,AXISINBB042,AXIS BANK LIMITED
AXISINBB,AXISINBB043,AXIS BANK LIMITED
AXISINBB,AXISINBB044,AXIS BANK LIMITED
AXISINBB,AXISINBB045,AXIS BANK LIMITED
AXISINBB,AXISINBB046,AXIS BANK LIMITED
AXISINBB,AXISINBB047,AXIS BANK LIMITED
AXISINBB,AXISINBB048,AXIS BANK LIMITED
AXISINBB,AXISINBB049,AXIS BANK LIMITED
AXISINBB,AXISINBB051,AXIS BANK LIMITED
AXISINBB,AXISINBB053,AXIS BANK LIMITED
AXISINBB,AXISINBB054,AXIS BANK LIMITED
AXISINBB,AXISINBB055,AXIS BANK LIMITED
AXISINBB,AXISINBB056,AXIS BANK LIMITED
AXISINBB,AXISINBB057,AXIS BANK LIMITED
