bic_8,bic,bank
AAIBIQBA,AAIBIQBAXXX,AL-ANSSARI ISLAMIC INVESTMENT AND FINANCE PSC
ABCOIQB1,ABCOIQB1XXX,ARAB BANKING CORPORATION
ABDIIQBA,ABDIIQBAXXX,ABU DHABI ISLAMIC BANK
AIBIIQBA,AIBIIQBAXXX,ASHUR INTERNATIONAL BANK FOR INVESTMENT
AIIFIQB1,AIIFIQB1XXX,AL-BILAD ISLAMIC BANK FOR INVESTMENT AND FINANCE
AILAIQBA,AILAIQBAXXX,MISK ISLAMIC BANK PRIVATE SHAREHOLDING
AINIIQBA,AINIIQBAXXX,AL-TAIF ISLAMIC BANK FOR INVESTMENT AND FINANCE
AJILIQBA,AJILIQBAXXX,AL-JANOOB ISLAMIC BANK
AMINIQBA,AMINIQBAXXX,AMEEN AL-IRAQ ISLAMIC BANK FOR INVESTMENT AND FINANCE
AMLDIQBA,AMLDIQBAXXX,AL SANAM ISLAMIC BANK P.S.C.
ANATIQBA,ANATIQBAXXX,AL NIBAL AL ARABYA FOR MONEY TRANSFER
AQSBIQBA,AQSBIQBAXXX,AL-QURTAS ISLAMIC BANK FOR INVESTMENT AND FINANCE
ARABIQBA,ARABIQBAXXX,ARAB BANK IRAQ - PRIVATE JOINT STOCK COMPANY
ARLMIQBA,ARLMIQBAXXX,AL ARABIYA ISLAMIC BANK
AUBBIQBA,AUBBIQBA801,COMMERCIAL ISLAMIC BANK OF IRAQ
AUBBIQBA,AUBBIQBA802,COMMERCIAL ISLAMIC BANK OF IRAQ
AUBBIQBA,AUBBIQBA803,COMMERCIAL ISLAMIC BANK OF IRAQ
AUBBIQBA,AUBBIQBA804,COMMERCIAL ISLAMIC BANK OF IRAQ
AUBBIQBA,AUBBIQBA805,COMMERCIAL ISLAMIC BANK OF IRAQ
AUBBIQBA,AUBBIQBA806,COMMERCIAL ISLAMIC BANK OF IRAQ
AUBBIQBA,AUBBIQBA807,COMMERCIAL ISLAMIC BANK OF IRAQ
AUBBIQBA,AUBBIQBA808,COMMERCIAL ISLAMIC BANK OF IRAQ
AUBBIQBA,AUBBIQBA809,COMMERCIAL ISLAMIC BANK OF IRAQ
AUBBIQBA,AUBBIQBA810,COMMERCIAL ISLAMIC BANK OF IRAQ
AUBBIQBA,AUBBIQBAXXX,COMMERCIAL ISLAMIC BANK OF IRAQ
BABIIQBA,BABIIQBAXXX,BANK OF BAGHDAD
BABKIQBA,BABKIQBAXXX,BABYLON BANK
BBACIQBA,BBACIQBAXXX,BBAC SAL ERBIL BRANCH
BHDAIQBA,BHDAIQBAXXX,AL-HUDA BANK
BIBIIQB1,BIBIIQB1XXX,BASRAH INTERNATIONAL BANK FOR INVESTMENT
BJORIQBA,BJORIQBAXXX,"BANK OF JORDAN PLC, IRAQ BRANCH"
BKPAIQB1,BKPAIQB1XXX,PARSIAN BANK
BMMCIQBA,BMMCIQBAXXX,AL-QABIDH ISLAMIC BANK CO. FOR FINANCE AND INVESTMENT
BTFHIQBA,BTFHIQBAXXX,AL BARAKA TURK KATILIM BANKASI A.S.
BYBAIQBA,BYBAIQBABAG,BYBLOS BANK SAL ARBIL BRANCH
BYBAIQBA,BYBAIQBABAS,BYBLOS BANK SAL ARBIL BRANCH
BYBAIQBA,BYBAIQBASUL,BYBLOS BANK SAL ARBIL BRANCH
BYBAIQBA,BYBAIQBAXXX,BYBLOS BANK SAL ARBIL BRANCH
BZIIIQBA,BZIIIQBAXXX,ZAIN IRAQ ISLAMIC BANK FOR INVESTMENT AND FINANCE
CBIQIQBA,CBIQIQBAXXX,CREDIT BANK OF IRAQ
CBIRIQBA,CBIRIQBAXXX,CENTRAL BANK OF IRAQ
