bic_8,bic,bank
ARNIISR1,ARNIISR1XXX,ARCTICA FINANCE HF.
AUCAISR1,AUCAISR1XXX,KVIKA BANKI HF.
BLHUISR2,BLHUISR2XXX,BLIKK HUGBUNADARTHJONUSTA HF.
BORGISRE,BORGISREXXX,TEYA ICELAND HF.
BYSEISR1,BYSEISR1XXX,BYR SECURITIES
ESJAISRE,ESJAISREXXX,ARION BANK HF
FOMRISR1,FOMRISR1XXX,FOSSAR MARKADIR HF
GLITISRE,GLITISREXXX,ISLANDSBANKI HF
ICGIISR1,ICGIISR1XXX,"ICELAND POST LTD., POSTAL GIRO"
ICSCISR1,ICSCISR1XXX,ICELANDIC SECURITIES LTD.
INDJISR2,INDJISR2XXX,INDO SPARISJODUR HF
ISFJISR1,ISFJISR1XXX,ISLENSKIR FJARFESTAR HF.
JOKLISR1,JOKLISR1XXX,JOKLAR-VERDBREF HF
LASVISR1,LASVISR1XXX,LANASJODUR SVEITARFELAGA
LVPFISR2,LVPFISR2XXX,LIFEYRISSJODUR VERZLUNARMANNA (PENSION FUND OF COMMERCE)
MPBAISRE,MPBAISREXXX,KVIKA BANKI HF.
NARIISR1,NARIISR1XXX,NATIONAL REGISTRY OF ICELAND
NBIIISRE,NBIIISREXXX,LANDSBANKINN HF
NOVEISR1,NOVEISR1XXX,NORDVEST VERDBREF HF
SISLISRE,SISLISREASA,CENTRAL BANK OF ICELAND
SISLISRE,SISLISRETIA,CENTRAL BANK OF ICELAND
SISLISRE,SISLISREXXX,CENTRAL BANK OF ICELAND
SISLISRX,SISLISRXXXX,CENTRAL BANK OF ICELAND
SLTPISRE,SLTPISREXXX,TEYA ICELAND HF.
SPAUISAE,SPAUISAEXXX,SPARISJODUR AUSTURLANDS HF.
SPDSISR2,SPDSISR2XXX,SPARISJODUR HOFDHVERFINGA SES
SPKFISR1,SPKFISR1XXX,SPARISJOOURINN I KEFLAVIK
SPUAISR2,SPUAISR2XXX,SPARISJODUR AUSTURLANDS HF.
SPYEISR2,SPYEISR2XXX,SPARISJODUR SUDUR-THINGEYINGA SES.
SSRSISR2,SSRSISR2XXX,SPARISJODUR STRANDAMANNA SES.
TEYAISR2,TEYAISR2XXX,TEYA ICELAND HF.
TIVEISR1,TIVEISR1XXX,KVIKA BANKI HF
TPLSISR1,TPLSISR1XXX,T PLUS
VATOISRE,VATOISREXXX,RAPYD EUROPE HF
VEIAISR2,VEIAISR2XXX,VERDBREFAMIDSTOD ISLANDS HF. (VBM LTD.)
VIRDISR1,VIRDISR1XXX,KVIKA BANKI HF
VISLISR1,VISLISR1XXX,ISLANDSBANKI SECURITIES
XICEISR1,XICEISR1XXX,KAUPHOLL ISLANDS HF. (NASDAQ ICELAND HF.)
