bic_8,bic,bank
AADAIT21,AADAIT21XXX,CAD IT SPA
AAINIT21,AAINIT21XXX,AUTO ABS ITALIAN LOANS 2018-1 S.R.L
AAIOIT21,AAIOIT21XXX,AUTO ABS ITALIAN LOANS MASTER S.R.L .
AAOAIT21,AAOAIT21XXX,CARRARO S.P.A.
AAPLIT21,AAPLIT21XXX,ALBA 8 SPV S.R.L.
AAPRIT21,AAPRIT21XXX,ALBA 7 SPV SRL
AAPSIT21,AAPSIT21XXX,ALBA 6 SPV S.R.L.
AARBITR1,AARBITR1XXX,AAREAL BANK AG
AATBITM2,AATBITM2XXX,AUTO ABS ITALIAN BALLOON 2019-1 SRL
AATTITG1,AATTITG1XXX,HITACHI RAIL STS S.P.A.
AAVRIT21,AAVRIT21XXX,ALBA 9 SPV S.R.L.
AAVSIT21,AAVSIT21XXX,AGAVE SPV S.R.L.
ABBBIT22,ABBBIT22XXX,AMB S.P.A.
ABBYITT1,ABBYITT1XXX,ABBEY NATIONAL PLC
ABCOITMM,ABCOITMMXXX,ARAB BANKING CORPORATION SA MILAN BRANCH
ABMLITM1,ABMLITM1XXX,2019 POPOLARE BARI SME S.R.L.
ABRLIT22,ABRLIT22XXX,ALBA 11 WH S.R.L.
ABRRIT21,ABRRIT21XXX,2019 POPOLARE BARI RMBS S.R.L.
ABSMITM1,ABSMITM1XXX,A.B.P. SIM MILANO
ABTAITM1,ABTAITM1XXX,ABITARE IN SPA
ABTGITM1,ABTGITM1XXX,ALFIO BARDOLLA TRAINING GROUP S.P.A.
ACASITM1,ACASITM1XXX,ANTHILIA SGR S.P.A.
ACBNIT21,ACBNIT21XXX,LIVENZA TAGLIAMENTO ACQUE S.P.A.
ACBOIT21,ACBOIT21XXX,CASA IN SPA
ACEAIT21,ACEAIT21XXX,ACOMEA SGR S.P.A.
ACEAITMM,ACEAITMMXXX,ACOMEA SGR S.P.A.
ACFRITM1,ACFRITM1XXX,ARCOBALENO FINANCE S.R.L.
ACGOITR1,ACGOITR1XXX,ACOTEL GROUP SPA
ACHHIT21,ACHHIT21XXX,ACQUE DEL CHIAMPO S.P.A.
ACLSITM1,ACLSITM1XXX,AXACTOR CAPITAL ITALY S.R.L.
ACLTIT21,ACLTIT21XXX,ACERBIS ITALIA S.P.A.
ACPOITT1,ACPOITT1XXX,ACQUE POTABILI S.P.A.
ACSMIT21,ACSMIT21XXX,ACSM-AGAM SPA
ACTRITR1,ACTRITR1XXX,GDF SUEZ ENERGIA ITALIA SPA
ACVEIT21,ACVEIT21XXX,ACQUE VERONESI
ACVIIT21,ACVIIT21XXX,VIACQUA S.P.A.
ACVSIT21,ACVSIT21XXX,ALCHERA SPV SRL
ADFLITR1,ADFLITR1XXX,ADRIATICA FINANCE SRL
ADGRIT21,ADGRIT21XXX,ADVICE GROUP SPA
ADJWITM1,ADJWITM1XXX,ADIGE JEWELS SPA
ADVCITR1,ADVCITR1XXX,ADVICORP PLC
AEDEITM1,AEDEITM1XXX,"RESTART SOCIETA' PER AZIONI O, IN FORMA ABBREVIATA, RESTART S.P.A."
AEEAITR1,AEEAITR1XXX,ACEA SPA
AEEIITM1,AEEIITM1XXX,AMUNDI REAL ESTATE ITALIA SGR SPA
AEENIT31,AEENIT31XXX,ARENA SPA
AEESIT21,AEESIT21SPV,ADRIANO LEASE SEC S.R.L.
AEESIT21,AEESIT21XXX,ADRIANO LEASE SEC S.R.L.
