bic_8,bic,bank
AIFVJMK2,AIFVJMK2XXX,ALLIANCE FINANCIAL SERVICES LIMITED
ALNGJMK1,ALNGJMK1XXX,ALLIANCE INVESTMENT MANAGEMENT LIMITED
ASAEJMK1,ASAEJMK1XXX,MF AND G ASSET MANAGEMENT LIMITED
BAJAJMK1,BAJAJMK11KN,BANK OF JAMAICA
BAJAJMKN,BAJAJMKNXXX,BANK OF JAMAICA
BATSJMK1,BATSJMK1XXX,CARRERAS LIMITED
BAVSJMK1,BAVSJMK1XXX,BARITA INVESTMENTS LIMITED
BPFIJMK1,BPFIJMK1XXX,BPM FINANCIAL LIMITED
CCENJMK1,CCENJMK1XXX,COK SODALITY CO-OPERATIVE CREDIT UNION LTD
CCMKJMK1,CCMKJMK1XXX,CAPITAL AND CREDIT MERCHANT BANK LIMITED
CIAFJMK1,CIAFJMK1XXX,CITIFINANCE LIMITED
CITIJMK1,CITIJMK1XXX,CITIBANK N.A.
CPCSJMK1,CPCSJMK1XXX,CAPITAL AND CREDIT SECURITIES LIMITED
CPSOJMK1,CPSOJMK1XXX,CAPITAL SOLUTIONS LIMITED
CUFMJMK1,CUFMJMK1XXX,CREDIT UNION FUND MANAGEMENT COMPANY LTD
FCIBJM21,FCIBJM21XXX,FIRSTCARIBBEAN INTERNATIONAL TRUST AND MERCHANT BANK (JAMAICA) LIMITED
FCIBJMKN,FCIBJMKNXXX,CIBC CARIBBEAN BANK (JAMAICA) LIMITED
FGFSJMK1,FGFSJMK1XXX,PROVEN WEALTH LIMITED
FHCRJMK1,FHCRJMK1XXX,FIRST HERITAGE CO-OPERATIVE CREDIT UNION LIMITED
FILBJMKN,FILBJMKNXXX,FIRST GLOBAL BANK LIMITED
FUNMJMK1,FUNMJMK1XXX,JN FUND MANAGERS LIMITED
GKCMJMK2,GKCMJMK2XXX,GK CAPITAL MANAGEMENT LIMITED
GULIJMK1,GULIJMK1XXX,GUARDIAN LIFE LIMTED
IDFCJMK1,IDFCJMK1XXX,IDEAL FINANCE CORPORATION LIMITED
IDPSJMK1,IDPSJMK1XXX,IDEAL PORTFOLIO SERVICES CO LTD
IFCPJMK1,IFCPJMK1XXX,INFINITI CAPITAL
JAPLJMK1,JAPLJMK1XXX,AUTOMATED PAYMENTS LIMITED
JCCUJMK1,JCCUJMK1XXX,JAMAICA CO-OPERATIVE CREDIT UNION LEAGUE LIMITED
JCSDJMKN,JCSDJMKNJRR,JAMAICA CENTRAL SECURITIES DEPOSITORY LTD
JCSDJMKN,JCSDJMKNXXX,JAMAICA CENTRAL SECURITIES DEPOSITORY LTD
JMJAJMKN,JMJAJMKNXXX,JMMB BANK (JAMAICA) LIMITED
JMMBJMK1,JMMBJMK1XXX,JAMAICA MONEY MARKET BROKERS LTD
JMSEJMK2,JMSEJMK2XXX,JMMB SECURITIES LIMITED
JNBSJMKN,JNBSJMKNXXX,JN BANK LIMITED
JNCBJMK1,JNCBJMK10K2,NATIONAL COMMERCIAL BANK JAMAICA LIMITED
JNCBJMKX,JNCBJMKXXXX,NATIONAL COMMERCIAL BANK JAMAICA LIMITED
JOIVJMK2,JOIVJMK2XXX,JOH INVESTMENTS LIMITED
LAAVJMK2,LAAVJMK2XXX,LASCO FINANCIAL SERVICES LIMITED
MAYNJMK1,MAYNJMK1XXX,MAYBERRY INVESTMENTS LIMITED
MFGTJMK1,MFGTJMK1XXX,CORNERSTONE TRUST AND MERCHANT BANK
MFSFJMK2,MFSFJMK2XXX,MICRO-FINANCING SOLUTIONS (MFS) LTD
MONMJMK1,MONMJMK1XXX,MONEYMASTERS LIMITED
MTINJMK2,MTINJMK2XXX,M-TWENTYFOUR INVESTMENTS LIMITED
MVSTJMK1,MVSTJMK1XXX,M/VL STOCKBROKERS LTD.
NAEBJMKI,NAEBJMKIXXX,NATIONAL EXPORT-IMPORT BANK OF JAMAICA LIMITED
NCCMJMK1,NCCMJMK1XXX,NCB CAPITAL MARKETS LIMITED
NCICJMK1,NCICJMK1XXX,NCB INSURANCE COMPANY LIMITED
NDBJJMK1,NDBJJMK1XXX,DEVELOPMENT BANK OF JAMAICA LIMITED
NOSCJMKN,NOSCJMKNXXX,THE BANK OF NOVA SCOTIA JAMAICA LTD
PRTGJMK1,PRTGJMK1XXX,VICTORIA MUTUAL PENSIONS MANAGEMENT
PWELJMK1,PWELJMK1XXX,PROVEN WEALTH LIMITED
SAJAJMKN,SAJAJMKNXXX,SAGICOR BANK JAMAICA LIMITED
SCDMJMK1,SCDMJMK1XXX,THE BANK OF NOVA SCOTIA JAMAICA LTD
SCNJJMKN,SCNJJMKNXXX,SCOTIA INVESTMENTS JAMAICA LTD
SSERJMK1,SSERJMK1XXX,STOCKS AND SECURITIES LIMITED
STEGJMK1,STEGJMK1XXX,STERLING ASSET MANAGEMENT LTD.
STJPJMK2,STJPJMK2XXX,ST. JAMES PLAZA DISTRIBUTORS LTD
TAREJMK2,TAREJMK2XXX,TARCAP ENTERPRISES LTD
UGFIJMK1,UGFIJMK1XXX,UGI FINANCE AND INVESTMENTS LIMITED
VMBSJMKN,VMBSJMKNXXX,VICTORIA MUTUAL BUILDING SOCIETY
VMWMJMK1,VMWMJMK1XXX,VICTORIA MUTUAL WEALTH MANAGEMENT LIMITED
WITTJMK2,WITTJMK2XXX,WINTRADERS LIMITED
WIUIJMK1,WIUIJMK1XXX,WEST INDIES UNION INVESTMENT MANAGEMENT LIMITED
XJAMJMK1,XJAMJMK1XXX,"JAMAICA STOCK EXCHANGE, THE"
