bic_8,bic,bank
ABCJJOAM,ABCJJOAMXXX,ARAB BANKING CORPORATION (JORDAN)
ABCVJOA1,ABCVJOA1XXX,ABC INVESTMENTS
ABOXJOA1,ABOXJOA1XXX,MOH'D FAWAS ABU ENNASER AND PARTNERS EXCHANGE COMPANY
ABXLJOA1,ABXLJOA1XXX,ABUSHEIKHA EXCHANGE LLC
ACRCJOA1,ACRCJOA1XXX,AGRICULTURAL CREDIT CORPORATION
AFSUJOA1,AFSUJOA1XXX,ARAB FALCON FOR SELLING AND BUYING SECURITIES
AHBOJOA1,AHBOJOA1XXX,AHLI BROKERAGE
AIGMJOA1,AIGMJOA1XXX,AL ARABI INVESTMENT GROUP COMPANY
AIIRJOA1,AIIRJOA1XXX,AL-SAHM INTERNATIONAL FOR INVESTMENT AND BROKERAGE
AJIBJOAX,AJIBJOAX600,ARAB JORDAN INVESTMENT BANK
AJIBJOAX,AJIBJOAXXXX,ARAB JORDAN INVESTMENT BANK
AJSEJOA1,AJSEJOA1XXX,AJIAD SECURITIES
ALELJOAM,ALELJOAMXXX,ALAWNEH EXCHANGE L.L.C
ALLEJOA1,ALLEJOA1XXX,AL-HEKMA FINANCIAL SERVICES
ALNEJOA1,ALNEJOA1XXX,AL-WATANIEH FOR FINANCIAL SERVICES CO.
ALNTJOA1,ALNTJOA1XXX,ALAULA FINANCIAL INVESTMENTS
ALSVJOA1,ALSVJOA1XXX,AL-BILAD FOR SECURITIES AND INVESTMENT
AMBIJOM1,AMBIJOM1XXX,AMMAN BANK FOR INVESTMENTS
AMFNJOA1,AMFNJOA1XXX,AL AMAL FINANCIAL INVESMENTS CO. LTD
ANFNJOA1,ANFNJOA1XXX,ARAB SWISS FINANCIAL INVESTMENTS
ARABJOA1,ARABJOA1023,ARAB BANK PLC
ARABJOA1,ARABJOA1026,ARAB BANK PLC
ARABJOA1,ARABJOA102M,ARAB BANK PLC
ARABJOAX,ARABJOAX100,ARAB BANK PLC
ARABJOAX,ARABJOAX102,ARAB BANK PLC
ARABJOAX,ARABJOAX104,ARAB BANK PLC
ARABJOAX,ARABJOAX105,ARAB BANK PLC
ARABJOAX,ARABJOAX107,ARAB BANK PLC
ARABJOAX,ARABJOAX108,ARAB BANK PLC
ARABJOAX,ARABJOAX110,ARAB BANK PLC
