bic_8,bic,bank
ABOCJPJT,ABOCJPJTXXX,AGRICULTURAL BANK OF CHINA TOKYO BRANCH
ACAMJPJ1,ACAMJPJ1XXX,ALLIANCEBERNSTEIN JAPAN LTD
ACSRJPJ1,ACSRJPJ1XXX,"ACE SECURITIES CO., LTD."
ADOMJPJ1,ADOMJPJ1XXX,"MUSASHI SECURITIES CO.,LTD."
AEONJPJ1,AEONJPJ1XXX,"AEON BANK, LTD."
AEONJPJT,AEONJPJTXXX,"AEON BANK, LTD."
AGRIJPJ1,AGRIJPJ1XXX,AMUNDI JAPAN LTD
AICHJPJ1,AICHJPJ10JS,"AICHI BANK, LTD."
AICHJPJ1,AICHJPJ10JT,"AICHI BANK, LTD."
AICHJPJN,AICHJPJNXXX,"AICHI BANK, LTD."
AIGGJPJ1,AIGGJPJ1XXX,PINEBRIDGE INVESTMENTS JAPAN CO. LTD
AIGJJPJT,AIGJJPJTXXX,"FWD LIFE INSURANCE COMPANY, LIMITED"
AIMIJPJ1,AIMIJPJ1XXX,"PINEBRIDGE INVESTMENTS JAPAN CO., LTD."
AIZAJPJ1,AIZAJPJ1XXX,AIZAWA SECURITIES CO.
AKANJPJ1,AKANJPJ1XXX,"MONEX SECURITIES CO., LTD"
AKITJPJT,AKITJPJTXXX,THE AKITA BANK LIMITED
AKSCJPJ1,AKSCJPJ1XXX,"AKATSUKI SECURITIES, INC."
AKSEJPJ1,AKSEJPJ1XXX,"AKAGIYA HOLDINGS CO., LTD"
ALSJJPJT,ALSJJPJTXXX,AFLAC LIFE INSURANCE JAPAN LTD.
AMASJPJZ,AMASJPJZXXX,THE AMAGASAKI SHINKIN BANK
AMEXJPJ1,AMEXJPJ1XXX,AMERICAN EXPRESS ASSET MANAGEMENT INTERNATIONAL (JAPAN) LTD
ANDNJPJ1,ANDNJPJ1XXX,"AIOI NISSAY DOWA INSURANCE CO.,LTD."
ANOOJPJ1,ANOOJPJ1XXX,ANDO SECURITIES CO
ANZBJPJX,ANZBJPJXXXX,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
AOMBJPJT,AOMBJPJTXXX,"AOMORI MICHINOKU BANK, LTD."
AOSCJPJ1,AOSCJPJ1XXX,"AOZORA SECURITIES CO., LTD."
ARKKJPJ1,ARKKJPJ1XXX,ARK SECURITIES CO
ASIKJPJT,ASIKJPJTXXX,THE ASHIKAGABANK LTD
ASKBJPJT,ASKBJPJTXXX,THE ASAHI SHINKIN BANK
AWABJPJT,AWABJPJTXXX,THE AWA BANK LIMITED
AXIPJPJT,AXIPJPJTCRI,"AXA LIFE INSURANCE CO., LTD."
AXIPJPJT,AXIPJPJTIDN,"AXA LIFE INSURANCE CO., LTD."
AXIPJPJT,AXIPJPJTPHI,"AXA LIFE INSURANCE CO., LTD."
AXIPJPJT,AXIPJPJTSGP,"AXA LIFE INSURANCE CO., LTD."
AXIPJPJT,AXIPJPJTXXX,"AXA LIFE INSURANCE CO., LTD."
BAIWJPJT,BAIWJPJTXXX,THE BANK OF IWATE LIMITED
BAMJJPJ1,BAMJJPJ1XXX,BARINGS JAPAN LIMITED
BANYJPJ1,BANYJPJ1XXX,"BANYO SECURITIES CO., LTD"
BARCJPJ2,BARCJPJ2MFX,BARCLAYS BANK PLC TOKYO BRANCH
BARCJPJ2,BARCJPJ2XXX,BARCLAYS BANK PLC TOKYO BRANCH
BARCJPJ9,BARCJPJ9XXX,BARCLAYS SECURITIES JAPAN LIMITED
BBHCJPJT,BBHCJPJTXXX,BROWN BROTHERS HARRIMAN SECURITIES (JAPAN) INC.
BBVAJPJT,BBVAJPJTXXX,BANCO BILBAO VIZCAYA ARGENTARIA TOKYO BRANCH
BCITJPJT,BCITJPJTXXX,INTESA SANPAOLO S.P.A. - TOKYO
BIKEJPJS,BIKEJPJSXXX,"THE SENSHU IKEDA BANK, LTD"
BIRDJPJZ,BIRDJPJZXXX,"TOTTORI BANK LTD., THE"
BITFJPJ2,BITFJPJ2XXX,BITFLYER INC.
BKCHJPJT,BKCHJPJTCNY,BANK OF CHINA
BKCHJPJT,BKCHJPJTNGY,BANK OF CHINA
BKCHJPJT,BKCHJPJTOSA,BANK OF CHINA
BKCHJPJT,BKCHJPJTOTM,BANK OF CHINA
BKCHJPJT,BKCHJPJTXXX,BANK OF CHINA
BKCHJPJT,BKCHJPJTYHA,BANK OF CHINA
BKIDJPJT,BKIDJPJTOSK,BANK OF INDIA
BKIDJPJT,BKIDJPJTXXX,BANK OF INDIA
BKKBJPJT,BKKBJPJTOSA,BANGKOK BANK PUBLIC CO. LIMITED
BKKBJPJT,BKKBJPJTXXX,BANGKOK BANK PUBLIC CO. LIMITED
BKSGJPJT,BKSGJPJTSAG,THE BANK OF SAGA LTD.
BKSGJPJT,BKSGJPJTXXX,THE BANK OF SAGA LTD.
BKTWJPJT,BKTWJPJTXXX,"BANK OF TAIWAN, TOKYO BRANCH"
BLKSJPJ1,BLKSJPJ1XXX,"BLACKROCK JAPAN CO., LTD."
BNINJPJT,BNINJPJTXXX,BANK NEGARA INDONESIA (PERSERO) PT TOKYO BRANCH
BNPAJPJ2,BNPAJPJ2XXX,BNP PARIBAS SECURITIES (JAPAN) LTD.
BNPAJPJT,BNPAJPJTXXX,BNP PARIBAS S.A. - TOKYO BRANCH
BOFAJPJX,BOFAJPJXCMS,"BANK OF AMERICA, N.A., TOKYO BRANCH"
BOFAJPJX,BOFAJPJXJGB,"BANK OF AMERICA, N.A., TOKYO BRANCH"
BOFAJPJX,BOFAJPJXXXX,"BANK OF AMERICA, N.A., TOKYO BRANCH"
BOJPJPJT,BOJPJPJTBJ1,BANK OF JAPAN
BOJPJPJT,BOJPJPJTMF1,BANK OF JAPAN
BOJPJPJT,BOJPJPJTXXX,BANK OF JAPAN
BOKFJPJZ,BOKFJPJZXXX,THE BANK OF KYOTO LIMITED
BOKIJPJZ,BOKIJPJZXXX,THE BANK OF OKINAWA LIMITED
BOSSJPJT,BOSSJPJTXXX,THE 77 BANK LIMITED
BOTKJPJ2,BOTKJPJ2XXX,"MUFG BANK, LTD."
BOTKJPJT,BOTKJPJTCLS,"MUFG BANK, LTD."
BOTKJPJT,BOTKJPJTFGN,"MUFG BANK, LTD."
BOTKJPJT,BOTKJPJTFND,"MUFG BANK, LTD."
BOTKJPJT,BOTKJPJTFUK,"MUFG BANK, LTD."
BOTKJPJT,BOTKJPJTHIR,"MUFG BANK, LTD."
BOTKJPJT,BOTKJPJTKOB,"MUFG BANK, LTD."
BOTKJPJT,BOTKJPJTNGY,"MUFG BANK, LTD."
BOTKJPJT,BOTKJPJTOSA,"MUFG BANK, LTD."
BOTKJPJT,BOTKJPJTSAD,"MUFG BANK, LTD."
BOTKJPJT,BOTKJPJTSAP,"MUFG BANK, LTD."
BOTKJPJT,BOTKJPJTSMO,"MUFG BANK, LTD."
BOTKJPJT,BOTKJPJTXXX,"MUFG BANK, LTD."
