bic_8,bic,bank
ABCLKENA,ABCLKENAXXX,AFRICAN BANKING CORPORATION LTD
ABNGKENA,ABNGKENAXXX,ACCESS BANK (KENYA) PLC
AFDBKEN1,AFDBKEN1XXX,AFRICAN DEVELOPMENT BANK
AFRIKENX,AFRIKENX002,BANK OF AFRICA KENYA LTD
AFRIKENX,AFRIKENXXXX,BANK OF AFRICA KENYA LTD
ASHSKEN1,ASHSKEN1XXX,AIB CAPITAL LIMITED
BARBKENA,BARBKENADIA,BANK OF BARODA (KENYA) LTD
BARBKENA,BARBKENAELD,BANK OF BARODA (KENYA) LTD
BARBKENA,BARBKENAIND,BANK OF BARODA (KENYA) LTD
BARBKENA,BARBKENAKAK,BANK OF BARODA (KENYA) LTD
BARBKENA,BARBKENAKIS,BANK OF BARODA (KENYA) LTD
BARBKENA,BARBKENAMER,BANK OF BARODA (KENYA) LTD
BARBKENA,BARBKENAMOM,BANK OF BARODA (KENYA) LTD
BARBKENA,BARBKENAMRN,BANK OF BARODA (KENYA) LTD
BARBKENA,BARBKENANAK,BANK OF BARODA (KENYA) LTD
BARBKENA,BARBKENANMO,BANK OF BARODA (KENYA) LTD
BARBKENA,BARBKENANYA,BANK OF BARODA (KENYA) LTD
BARBKENA,BARBKENASAR,BANK OF BARODA (KENYA) LTD
BARBKENA,BARBKENATHI,BANK OF BARODA (KENYA) LTD
BARBKENA,BARBKENAXXX,BANK OF BARODA (KENYA) LTD
BARCKENX,BARCKENXCBO,ABSA BANK KENYA PLC
BARCKENX,BARCKENXDLR,ABSA BANK KENYA PLC
BARCKENX,BARCKENXELD,ABSA BANK KENYA PLC
BARCKENX,BARCKENXMDR,ABSA BANK KENYA PLC
BARCKENX,BARCKENXMNR,ABSA BANK KENYA PLC
BARCKENX,BARCKENXNCC,ABSA BANK KENYA PLC
BARCKENX,BARCKENXNDC,ABSA BANK KENYA PLC
BARCKENX,BARCKENXNPB,ABSA BANK KENYA PLC
BARCKENX,BARCKENXOCB,ABSA BANK KENYA PLC
BARCKENX,BARCKENXPIS,ABSA BANK KENYA PLC
BARCKENX,BARCKENXTPC,ABSA BANK KENYA PLC
BARCKENX,BARCKENXVPC,ABSA BANK KENYA PLC
BARCKENX,BARCKENXXXX,ABSA BANK KENYA PLC
BATSKE31,BATSKE31XXX,BRITISH AMERICAN TOBACCO AREA LTD
BATSKEN1,BATSKEN1XXX,BRITISH AMERICAN TOBACCO KENYA PLC
BKIDKEM1,BKIDKEM10NA,BANK OF INDIA
BKIDKEM1,BKIDKEM1XXX,BANK OF INDIA
BKIDKENA,BKIDKENAIAB,BANK OF INDIA
BKIDKENA,BKIDKENAMSA,BANK OF INDIA
BKIDKENA,BKIDKENAWST,BANK OF INDIA
BKIDKENA,BKIDKENAXXX,BANK OF INDIA
CBAFKENX,CBAFKENXXXX,NCBA BANK KENYA PLC
CBKEKEN1,CBKEKEN1ELD,CENTRAL BANK OF KENYA
CBKEKEN1,CBKEKEN1KSM,CENTRAL BANK OF KENYA
CBKEKEN1,CBKEKEN1MSA,CENTRAL BANK OF KENYA
CBKEKENA,CBKEKENAXXX,CENTRAL BANK OF KENYA
CBKEKENB,CBKEKENBXXX,CENTRAL BANK OF KENYA
CBKEKENX,CBKEKENXBKG,CENTRAL BANK OF KENYA
CBKEKENX,CBKEKENXCNY,CENTRAL BANK OF KENYA
CBKEKENX,CBKEKENXNDO,CENTRAL BANK OF KENYA
CBKEKENX,CBKEKENXXXX,CENTRAL BANK OF KENYA
CDSNKENA,CDSNKENAXXX,CENTRAL DEPOSITORY AND SETTLEMENT CORPORATION
CFFSKEN1,CFFSKEN1XXX,CFC FINANCIAL SERVICES LIMITED
CHBLKEN1,CHBLKEN1XXX,CHARTERHOUSE BANK LIMITED
CHFIKENX,CHFIKENXXXX,CHOICE MICROFINANCE BANK LIMITED
CIFIKENA,CIFIKENAXXX,KINGDOM BANK LTD
CITIKENA,CITIKENACTI,CITIBANK N.A.
CITIKENA,CITIKENATRD,CITIBANK N.A.
CITIKENA,CITIKENAXXX,CITIBANK N.A.
CONKKENA,CONKKENAXXX,CONSOLIDATED BANK OF KENYA LTD
CRBTKENA,CRBTKENAXXX,CREDIT BANK PLC
CRMFKENA,CRMFKENAXXX,CARITAS MICROFINANCE BANK LIMITED
DEVKKENA,DEVKKENAXXX,DEVELOPMENT BANK OF KENYA LIMITED
DISRKEN1,DISRKEN1XXX,DISCOUNT SECURITIES LTD
DTKEKENA,DTKEKENAXXX,DIAMOND TRUST BANK KENYA LIMITED
DUIBKENA,DUIBKENAXXX,DIB BANK KENYA LTD
DYBRKEN1,DYBRKEN1XXX,DYER AND BLAIR INVESTMENT BANK LIMITED
EADBKEN1,EADBKEN1XXX,EAST AFRICAN DEVELOPMENT BANK
ECOCKENA,ECOCKENAXXX,ECOBANK KENYA LTD.
EFHKKEN1,EFHKKEN1XXX,EFG HERMES KENYA LIMITED
EQBLKENA,EQBLKENAXXX,EQUITY BANK (KENYA) LIMITED
ESATKENA,ESATKENAXXX,EASTERN AND SOUTHERN AFRICAN TRADE AND DEVELOPMENT BANK
FABLKENA,FABLKENAXXX,FAMILY BANK LIMITED
FASRKEN1,FASRKEN1XXX,FAIDA INVESTMENT BANK LIMITED
FAUMKENA,FAUMKENAXXX,FAULU MICROFINANCE BANK LIMITED
FRDRKEN1,FRDRKEN1XXX,FRANCIS DRUMMOND AND COMPANY LIMITED
GAFRKENA,GAFRKENAXXX,GULF AFRICAN BANK LTD
GTBIKENA,GTBIKENAXXX,GUARANTY TRUST BANK (KENYA) LTD
GUARKENA,GUARKENAXXX,GUARDIAN BANK LIMITED
HAKSKEN1,HAKSKEN1XXX,HAK SECURITIES LTD
HBZUKEN1,HBZUKEN1MSA,HABIB BANK AG ZURICH
HBZUKENA,HBZUKENAXXX,HABIB BANK AG ZURICH
HFCOKENA,HFCOKENAXXX,HFC LIMITED
IFCBKENA,IFCBKENAXXX,PREMIER BANK KENYA LIMITED
IMBLKENA,IMBLKENAFTR,IANDM BANK LTD
IMBLKENA,IMBLKENASTL,IANDM BANK LTD
IMBLKENA,IMBLKENATRD,IANDM BANK LTD
IMBLKENA,IMBLKENAXXX,IANDM BANK LTD
KCBLKENX,KCBLKENX002,KCB BANK KENYA LIMITED
KCBLKENX,KCBLKENX005,KCB BANK KENYA LIMITED
KCBLKENX,KCBLKENX012,KCB BANK KENYA LIMITED
KCBLKENX,KCBLKENX017,KCB BANK KENYA LIMITED
KCBLKENX,KCBLKENX077,KCB BANK KENYA LIMITED
KCBLKENX,KCBLKENX080,KCB BANK KENYA LIMITED
KCBLKENX,KCBLKENXCUS,KCB BANK KENYA LIMITED
KCBLKENX,KCBLKENXDMM,KCB BANK KENYA LIMITED
KCBLKENX,KCBLKENXTFS,KCB BANK KENYA LIMITED
KCBLKENX,KCBLKENXTMK,KCB BANK KENYA LIMITED
KCBLKENX,KCBLKENXXXX,KCB BANK KENYA LIMITED
KCEAKEN1,KCEAKEN1XXX,KESTREL CAPITAL EAST AFRICA LTD.
KCOOKENA,KCOOKENAXXX,THE CO-OPERATIVE BANK OF KENYA LTD
KEWSKEN1,KEWSKEN1XXX,KENYA WIDE SECURITIES LIMITED
KPOBKEN1,KPOBKEN1XXX,KENYA POST OFFICE SAVINGS BANK
KWMIKENX,KWMIKENXXXX,KENYA WOMEN MICROFINANCE BANK
MIEKKENA,MIEKKENAXXX,MIDDLE EAST BANK KENYA LTD
MMTSKENA,MMTSKENAXXX,MOBEX MONEY TRANSFER SERVICES LIMITED
MORBKENA,MORBKENAXXX,M-ORIENTAL BANK LIMITED
MYBKKENA,MYBKKENAXXX,COMMERCIAL INTERNATIONAL BANK (CIB) KENYA LIMITED
NBKEKENX,NBKEKENX302,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX310,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX329,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX337,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX711,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX725,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX739,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX743,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX757,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX761,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX789,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX808,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX815,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX828,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX833,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX841,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX868,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX876,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX884,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX922,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX930,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX949,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX957,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX965,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENX973,NATIONAL BANK OF KENYA
NBKEKENX,NBKEKENXXXX,NATIONAL BANK OF KENYA
NGKAKEN1,NGKAKEN1XXX,NGENYE KARIUKI AND CO. LTD.
PAUTKENA,PAUTKENAXXX,PARAMOUNT BANK LIMITED
PRIEKENX,PRIEKENXTRF,PRIME BANK LTD.
PRIEKENX,PRIEKENXXXX,PRIME BANK LTD.
RECYKEN1,RECYKEN1XXX,RENAISSANCE CAPITAL (KENYA) LIMITED
RELSKEN1,RELSKEN1XXX,RELIABLE SECURITIES LIMITED
RMFBKENA,RMFBKENAXXX,RAFIKI MICROFINANCE BANK
SBICKEN1,SBICKEN10MB,STANBIC BANK KENYA LIMITED
SBICKENX,SBICKENXXXX,STANBIC BANK KENYA LIMITED
SBMKKENA,SBMKKENAXXX,SBM BANK (KENYA) LIMITED
SCBLKENX,SCBLKENXSSU,STANDARD CHARTERED BANK KENYA LIMITED
SCBLKENX,SCBLKENXTRD,STANDARD CHARTERED BANK KENYA LIMITED
SCBLKENX,SCBLKENXXXX,STANDARD CHARTERED BANK KENYA LIMITED
SHMPKEN1,SHMPKEN1XXX,SHAH MUNGE AND PARTNERS LTD
SIDNKENA,SIDNKENAXXX,SIDIAN BANK LIMITED
SLMIKENA,SLMIKENAXXX,SALAAM MICROFINANCE BANK LIMITED
SLTEKENA,SLTEKENAXXX,THE COMPANY FOR HABITAT AND HOUSING IN AFRICA (SHELTER - AFRIQUE)
SOISKEN1,SOISKEN1XXX,SOLID INVESTMENT SECURITIES LTD
STSKKEN1,STSKKEN1XXX,STANDARD INVESTMENT BANK LIMITED
SUSTKEN1,SUSTKEN1XXX,SUNTRA STOCKS LIMITED
UNAFKENA,UNAFKENAXXX,UBA KENYA BANK LIMITED
VICMKENA,VICMKENAXXX,VICTORIA COMMERCIAL BANK PLC
XNAIKEN1,XNAIKEN1XXX,NAIROBI STOCK EXCHANGE
