bic_8,bic,bank
AIYLKG22,AIYLKG22XXX,OJSC AIYL BANK
AKILKG22,AKILKG22XXX,THE OPEN JOINT-STOCK COMPANY CAPITAL BANK OF CENTRAL ASIA
ASCJKG22,ASCJKG22XXX,BANK OF ASIA CJSC
BAKAKG22,BAKAKG22XXX,BAKAI BANK OJSC
BBTPKG22,BBTPKG22XXX,BAI-TUSHUM BANK OJSC
DEMIKG22,DEMIKG22XXX,DEMIR KYRGYZ INTERNATIONAL BANK
DOSSKG22,DOSSKG22XXX,DOS-CREDOBANK OJSC
ECBIKG22,ECBIKG22XXX,CJSC ECOISLAMICBANK
ENEJKG22,ENEJKG22XXX,OPTIMA BANK OJSC
FBANKG22,FBANKG22XXX,CJSC FINCA BANK
FIKBKG22,FIKBKG22XXX,OPEN JOINT STOCK COMPANY FINANCECREDITBANK
KAKYKG22,KAKYKG22XXX,OJSC KYRGYZKOMMERTSBANK
KICBKG22,KICBKG22XXX,KYRGYZ INVESTMENT AND CREDIT BANK
KOMPKG22,KOMPKG22XXX,KOMPANION BANK CLOSED JOINT-STOCK COMPANY
KSBCKG22,KSBCKG22XXX,KSB COMMERCIAL BANK CLOSED JOINT- STOCK COMPANY
KYRGKG22,KYRGKG22XXX,"EURASIAN SAVINGS BANK, OJSC"
KYRSKG22,KYRSKG22XXX,OJSC MBANK
MAKAKG22,MAKAKG22XXX,OJSC OBANK
NBKIKG22,NBKIKG22XXX,NATIONAL BANK OF THE KYRGYZ REPUBLIC
OEVDKG22,OEVDKG22XXX,OPEN JOINT STOCK COMPANY 'ENVOYS VISION DIGITAL EXCHANGE'
RINBKG22,RINBKG22XXX,OPEN JOINT STOCK COMPANY 'KEREMET BANK'
SDKBKG22,SDKBKG22XXX,OJSC 'STATE DEVELOPMENT BANK OF THE KYRGYZ REPUBLIC'
SESVKG22,SESVKG22XXX,OPEN JOINT STOCK COMPANY ELDIK BANK
TOLUKG22,TOLUKG22XXX,TOLUBAY BANK - CLOSED JOINT STOCK COMPANY
