bic_8,bic,bank
ABAAKHPP,ABAAKHPPXXX,ADVANCED BANK OF ASIA LIMITED
ACBCKHP1,ACBCKHP1XXX,ANGKOR CAPITAL SPECIALIZED BANK
ACLBKHPP,ACLBKHPPXXX,ACLEDA BANK PLC.
ADEOKHPP,ADEOKHPPXXX,ASIA-PACIFIC DEVELOPMENT BANK PLC.
AMIUKHPP,AMIUKHPPXXX,AMK MICROFINANCE INSTITUTION PLC
APCOKHPP,APCOKHPPXXX,ALPHA COMMERCIAL BANK PLC .
ARDMKHPP,ARDMKHPPXXX,AGRICULTURAL AND RURAL DEVELOPMENT BANK
BATSKH21,BATSKH21XXX,BRITISH AMERICAN TOBACCO (CAMBODGE) INT LTD
BATSKHP1,BATSKHP1XXX,BRITISH AMERICAN TOBACCO CAMBODIA LTD
BIDGKHPP,BIDGKHPPXXX,BRIDGE BANK PLC.
BIOBKHPP,BIOBKHPPXXX,IBANK (CAMBODIA) PLC.
BKBCKHPP,BKBCKHPPXXX,BOOYOUNG KHMER BANK
BKCHKHPP,BKCHKHPPCLR,BANK OF CHINA (HONG KONG) LIMITED PHNOM PENH BRANCH
BKCHKHPP,BKCHKHPPXXX,BANK OF CHINA (HONG KONG) LIMITED PHNOM PENH BRANCH
BKKBKHPP,BKKBKHPPXXX,BANGKOK BANK PUBLIC COMPANY LIMITED CAMBODIA BRANCH
BREDKHP2,BREDKHP2XXX,BRED BANK (CAMBODIA) PLC
CABCKHPP,CABCKHPPXXX,CAMBODIA ASIA BANK LIMITED
CADIKHPP,CADIKHPPXXX,CANADIA BANK PLC
CHBCKHPP,CHBCKHPPXXX,CHIEF (CAMBODIA) COMMERCIAL BANK PLC.
CHNOKHPP,CHNOKHPPXXX,CHIP MONG COMMERCIAL BANK PLC.
CIBBKHPP,CIBBKHPPXXX,CIMB BANK PLC
CLMCKHPP,CLMCKHPPXXX,CCU COMMERCIAL BANK PLC.
CPBLKHPP,CPBLKHPPXXX,CAMBODIAN PUBLIC BANK PLC
CPBPKHP2,CPBPKHP2XXX,CAMBODIA POST BANK PLC.
CSBCKHPP,CSBCKHPPXXX,CATHAY UNITED BANK (CAMBODIA) PLC.
CZNBKHPP,CZNBKHPPXXX,KB PRASAC BANK PLC.
DAEBKHPP,DAEBKHPPXXX,DGB BANK PLC.
FCBKKHPP,FCBKKHPP001,FIRST COMMERCIAL BANK PHNOM PENH BRANCH
FCBKKHPP,FCBKKHPP002,FIRST COMMERCIAL BANK PHNOM PENH BRANCH
FCBKKHPP,FCBKKHPP003,FIRST COMMERCIAL BANK PHNOM PENH BRANCH
FCBKKHPP,FCBKKHPP004,FIRST COMMERCIAL BANK PHNOM PENH BRANCH
FCBKKHPP,FCBKKHPP005,FIRST COMMERCIAL BANK PHNOM PENH BRANCH
FCBKKHPP,FCBKKHPP006,FIRST COMMERCIAL BANK PHNOM PENH BRANCH
FCBKKHPP,FCBKKHPP007,FIRST COMMERCIAL BANK PHNOM PENH BRANCH
FCBKKHPP,FCBKKHPP008,FIRST COMMERCIAL BANK PHNOM PENH BRANCH
FCBKKHPP,FCBKKHPP009,FIRST COMMERCIAL BANK PHNOM PENH BRANCH
FCBKKHPP,FCBKKHPPXXX,FIRST COMMERCIAL BANK PHNOM PENH BRANCH
FTCCKHPP,FTCCKHPPXXX,FOREIGN TRADE BANK OF CAMBODIA
HATHKHPP,HATHKHPPXXX,HATTHA BANK PLC.
HDSBKHPP,HDSBKHPPXXX,PHILLIP BANK PLC
HEFBKHPP,HEFBKHPPXXX,HENG FENG (CAMBODIA) BANK PLC.
HLBBKHPP,HLBBKHPPXXX,HONG LEONG BANK (CAMBODIA) PLC
HVBKKHPP,HVBKKHPPXXX,WOORI BANK (CAMBODIA) PLC.
IBKOKHPP,IBKOKHPPXXX,INDUSTRIAL BANK OF KOREA 'PHNOM PENH' BRANCH
ICBCKHPP,ICBCKHPPCKM,"MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD PHNOM PENH BRANCH"
ICBCKHPP,ICBCKHPPOLY,"MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD PHNOM PENH BRANCH"
ICBCKHPP,ICBCKHPPPPA,"MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD PHNOM PENH BRANCH"
ICBCKHPP,ICBCKHPPTKK,"MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD PHNOM PENH BRANCH"
ICBCKHPP,ICBCKHPPTKM,"MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD PHNOM PENH BRANCH"
ICBCKHPP,ICBCKHPPXXX,"MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD PHNOM PENH BRANCH"
ICBKKHPP,ICBKKHPPXXX,BRANCH OF INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED AKA ICBC LIMITED PHNOM PENH BRANCH
