bic_8,bic,bank
BIYIKNN1,BIYIKNN1GB1,BIRDIE YAS INSURANCE
BIYIKNN1,BIYIKNN1XXX,BIRDIE YAS INSURANCE
BNEIKNNE,BNEIKNNEXXX,BANK OF NEW INNOVATION (BONI) LTD.
BNEVKNNE,BNEVKNNEXXX,"BANK OF NEVIS LTD,THE"
ECCBKNSK,ECCBKNSKXXX,EASTERN CARIBBEAN CENTRAL BANK
ECSXKNSK,ECSXKNSKXXX,EASTERN CARIBBEAN SECURITIES EXCHANGE LTD
FCIBKNSK,FCIBKNSKXXX,CIBC CARIBBEAN BANK (BARBADOS) LIMITED
GVKNKNSK,GVKNKNSKXXX,GOVERNMENT OF ST. KITTS AND NEVIS
KNANKNSK,KNANKNSKXXX,ST. KITTS NEVIS ANGUILLA NATIONAL BANK
NIBTKNNE,NIBTKNNEXXX,HAMILTON RESERVE BANK LTD.
RBNKKNSK,RBNKKNSKKNA,REPUBLIC BANK (EC) LIMITED
RBNKKNSK,RBNKKNSKXXX,REPUBLIC BANK (EC) LIMITED
