bic_8,bic,bank
BOELKPP1,BOELKPP1XXX,BANK OF EAST LAND
BRBKKPP1,BRBKKPP1XXX,BRILLIANCE BANKING CORPORATION LTD.
DCBKKPP1,DCBKKPP1XXX,DAEDONG CREDIT BANK
FTBDKPP1,FTBDKPP1KBC,FOREIGN TRADE BANK OF THE D.P.R. OF KOREA
FTBDKPP1,FTBDKPP1XXX,FOREIGN TRADE BANK OF THE D.P.R. OF KOREA
KCBKKPP1,KCBKKPP1XXX,KORYO COMMERCIAL BANK LTD.
KDBKKPP1,KDBKKPP1XXX,KOREA DAESONG BANK
KGCBKPP1,KGCBKPP1XXX,KORYO CREDIT DEVELOPMENT BANK
KGTBKPP1,KGTBKPP1XXX,GOLDEN TRIANGLE BANK
KKBCKPP1,KKBCKPP1XXX,KOREA KWANGSON BANKING CORPORATION
KMBKKPP1,KMBKKPP1XXX,KUMGANG BANK
NEABKPP1,NEABKPP1XXX,NORTH EAST ASIA BANK
