bic_8,bic,bank
ABOCKRSE,ABOCKRSEXXX,AGRICULTURAL BANK OF CHINA SEOUL BRANCH
AMEGKRSE,AMEGKRSEXXX,"NH-AMUNDI ASSET MANAGEMENT CO., LTD."
ANZBKRSX,ANZBKRSXXXX,AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD
APIMKR22,APIMKR22XXX,ASSETPLUS INVESTMENT MANAGEMENT CO LTD
ASGTKRS1,ASGTKRS1XXX,"W ASSET MANAGEMENT CO., LTD"
ASNMKRS1,ASNMKRS1XXX,"VIA ASSET MANAGEMENT CO., LTD."
AUVKKRS1,AUVKKRS1XXX,AUDI VOLKSWAGEN KOREA LTD.
BATSKR21,BATSKR21XXX,BRITISH AMERICAN TOBACCO KOREA MANUFACTURING LIMITED
BATSKR31,BATSKR31XXX,ROTHMANS FAR EAST B.V. KOREA
BATSKRS1,BATSKRS1XXX,BRITISH AMERICAN TOBACCO KOREA
BKCHKRSE,BKCHKRSEANS,BANK OF CHINA SEOUL BRANCH
BKCHKRSE,BKCHKRSEDAE,BANK OF CHINA SEOUL BRANCH
BKCHKRSE,BKCHKRSEGRO,BANK OF CHINA SEOUL BRANCH
BKCHKRSE,BKCHKRSEGUR,BANK OF CHINA SEOUL BRANCH
BKCHKRSE,BKCHKRSEICN,BANK OF CHINA SEOUL BRANCH
BKCHKRSE,BKCHKRSEXXX,BANK OF CHINA SEOUL BRANCH
BKMTKRS1,BKMTKRS1XXX,"BANK MELLAT, SEOUL BRANCH"
BNINKRSE,BNINKRSEXXX,BANK NEGARA INDONESIA SEOUL BRANCH
BNKSKR22,BNKSKR22XXX,"BNK SECURITIES CO., LTD."
BNPAKRS2,BNPAKRS2XXX,"BNP PARIBAS SECURITIES KOREA CO., LTD."
BNPAKRSE,BNPAKRSEXXX,BNP PARIBAS SEOUL BRANCH
BOFAKR21,BOFAKR2102P,"BANK OF AMERICA, N.A. SEOUL BRANCH"
BOFAKR21,BOFAKR21XXX,"BANK OF AMERICA, N.A. SEOUL BRANCH"
BOFAKR2X,BOFAKR2XXXX,"BANK OF AMERICA, N.A. SEOUL BRANCH"
BOKRKRSE,BOKRKRSEXXX,BANK OF KOREA
BOKRKRSP,BOKRKRSPXXX,BANK OF KOREA
BOKRKRST,BOKRKRSTXXX,BANK OF KOREA
BOOSKRS1,BOOSKRS1XXX,BOOKOOK SECURITIES CO LTD
BOTKKRSX,BOTKKRSXXXX,"MUFG BANK, LTD., SEOUL BRANCH"
BRIUKRS1,BRIUKRS1XXX,"BARO INVESTMENT AND SECURITIES CO., LTD."
BRNAKRS1,BRNAKRS1XXX,"KTB INVESTMENT AND SECURITIES CO., LTD"
BSKLKRS1,BSKLKRS1XXX,MACQUARIE SECURITIES KOREA LTD
BZSEKRS1,BZSEKRS1XXX,BZW SECURITIES LTD.
CHASKRSE,CHASKRSEENQ,"J.P.MORGAN SECURITIES (FAR EAST) LTD., SEOUL BR."
CHASKRSE,CHASKRSEXXX,"J.P.MORGAN SECURITIES (FAR EAST) LTD., SEOUL BR."
CHASKRSX,CHASKRSXENQ,"JPMORGAN CHASE BANK, N.A.- SEOUL BRANCH"
CHASKRSX,CHASKRSXXXX,"JPMORGAN CHASE BANK, N.A.- SEOUL BRANCH"
CITIKRSX,CITIKRSXCTI,CITIBANK KOREA INC.
CITIKRSX,CITIKRSXWLS,CITIBANK KOREA INC.
CITIKRSX,CITIKRSXXXX,CITIBANK KOREA INC.
CLSAKRS1,CLSAKRS1XXX,CLSA SECURITIES KOREA LTD.
COMMKRSE,COMMKRSE888,"BANK OF COMMUNICATIONS CO., LTD. SEOUL BRANCH"
COMMKRSE,COMMKRSEXXX,"BANK OF COMMUNICATIONS CO., LTD. SEOUL BRANCH"
CRESKRSE,CRESKRSEXXX,"UBS AG, SEOUL BRANCH"
CRLYKRSE,CRLYKRSEXXX,"CREDIT AGRICOLE CIB, SEOUL BRANCH"
CRUVKRS1,CRUVKRS1XXX,"CORVUS CO., LTD."
CSAKKRS2,CSAKKRS2XXX,CELENIAN ASSET MANAGEMENT (KOREA) LIMITED
CSKRKRS1,CSKRKRS1XXX,"CGS INTERNATIONAL SECURITIES HONG KONG LIMITED, KOREA BRANCH"
CZNBKRSE,CZNBKRSECLS,KOOKMIN BANK
CZNBKRSE,CZNBKRSECTD,KOOKMIN BANK
CZNBKRSE,CZNBKRSEGAM,KOOKMIN BANK
CZNBKRSE,CZNBKRSERFI,KOOKMIN BANK
CZNBKRSE,CZNBKRSETRD,KOOKMIN BANK
CZNBKRSE,CZNBKRSEWLS,KOOKMIN BANK
CZNBKRSE,CZNBKRSEXXX,KOOKMIN BANK
DAEBKR22,DAEBKR22SEL,IM BANK
DAEBKR22,DAEBKR22XXX,IM BANK
DAMGKRS1,DAMGKRS1XXX,"DIV ASSET MANAGEMENT CO., LTD."
DAMSKRS1,DAMSKRS1XXX,"DAISHIN ASSET MANAGEMENT CO., LTD."
DBMNKRS2,DBMNKRS2XXX,"DB ASSET MANAGEMENT CO., LTD"
DBSKKRS2,DBSKKRS2XXX,"DB SECURITIES CO.,LTD."
DBSSKRSE,DBSSKRSEIBD,"DBS BANK LTD, SEOUL BRANCH"
DBSSKRSE,DBSSKRSEXXX,"DBS BANK LTD, SEOUL BRANCH"
DEUTKRS1,DEUTKRS102P,"DEUTSCHE BANK AG, SEOUL BRANCH"
DEUTKRSE,DEUTKRSEF4C,"DEUTSCHE BANK AG, SEOUL BRANCH"
DEUTKRSE,DEUTKRSEF4R,"DEUTSCHE BANK AG, SEOUL BRANCH"
DEUTKRSE,DEUTKRSEXXX,"DEUTSCHE BANK AG, SEOUL BRANCH"
DOSUKRS1,DOSUKRS1186,"KOREA INVESTMENT AND SECURITIES CO., LTD"
DOSUKRS1,DOSUKRS1XXX,"KOREA INVESTMENT AND SECURITIES CO., LTD"
DSALKRS1,DSALKRS1XXX,DEUTSCHE SECURITIES KOREA CO.
DSCCKRS1,DSCCKRS1XXX,DAIWA SECURITIES CAPITAL MARKETS KOREA
DSEUKRS1,DSEUKRS1XXX,"DB FINANCIAL INVESTMENT CO., LTD."
DSSCKRS1,DSSCKRS1XXX,"DAISHIN SECURITIES CO., LTD"
DSSCKRS3,DSSCKRS3XXX,"DAISHIN SECURITIES CO., LTD"
EAMKKRS2,EAMKKRS2XXX,"KARDIAN ASSET MANAGEMENT CO., LTD"
EASMKRS2,EASMKRS2XXX,"EUGENE ASSET MANAGEMENT CO., LTD."
ENGUKRSE,ENGUKRSEXXX,ENGINEERING GUARANTEE INSURANCE
ETSIKRS1,ETSIKRS1XXX,"EVEST INVESTMENT AND SECURITIES CO,. LTD."
EVERKRSE,EVERKRSEXXX,CHINA EVERBRIGHT BANK SEOUL BRANCH
EXIKKRSE,EXIKKRSEFEF,THE EXPORT-IMPORT BANK OF KOREA
EXIKKRSE,EXIKKRSEIFD,THE EXPORT-IMPORT BANK OF KOREA
EXIKKRSE,EXIKKRSESCF,THE EXPORT-IMPORT BANK OF KOREA
EXIKKRSE,EXIKKRSEXXX,THE EXPORT-IMPORT BANK OF KOREA
FIHBKRS2,FIHBKRS2XXX,U FINTECH HUB INC.
FNMEKRS2,FNMEKRS2XXX,"FIDES INVESTMENT MANAGEMENT CO., LTD"
GSALKRSE,GSALKRSEXXX,GOLDMAN SACHS (ASIA) L.L.C. SEOUL BRANCH
HAATKRS2,HAATKRS2XXX,"HANWHA ASSET MANAGEMENT CO.,LTD"
HAFVKRS1,HAFVKRS1XXX,"HANA SECURITIES CO., LTD"
HAFVKRS3,HAFVKRS3XXX,"HANA SECURITIES CO., LTD"
HAITKRS1,HAITKRS1XXX,"HANWHA INVESTMENT AND SECURITIES CO., LTD"
HANEKRS1,HANEKRS1XXX,MERITZ SECURITIES
HANPKRS2,HANPKRS2XXX,HANA ASSET MANAGEMENT COMPANY LTD
HEANKRS2,HEANKRS2XXX,HEUNGKUK ASSET MANAGEMENT
HESTKRS1,HESTKRS1XXX,"HEUNGKUK SECURITIES CO., LTD."
HJCEKRS1,HJCEKRS1XXX,"HONGKONG AND SHANGHEI BANKING CORPO RATION LIMITED SEOUL SECURITIES BRA NCH, THE"
HNISKRS1,HNISKRS1XXX,"NH INVESTMENT AND SECURITIES CO.,LTD"
HNSEKRS1,HNSEKRS1XXX,HANSHIN SECURITIES CO. LTD.
HNWSKRS1,HNWSKRS1XXX,"HANWHA INVESTMENT AND SECURITIES CO., LTD."
HNWSKRSS,HNWSKRSSXXX,"HANWHA INVESTMENT AND SECURITIES CO., LTD."
HSBCKRSE,HSBCKRSEBSN,"THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED, SEOUL BRANCH"
HSBCKRSE,HSBCKRSECLS,"THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED, SEOUL BRANCH"
HSBCKRSE,HSBCKRSEXXX,"THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED, SEOUL BRANCH"
HSECKRS1,HSECKRS1XXX,HANYANG SECURITIES CO. LTD.
HVBKKRSE,HVBKKRSECLS,"WOORI BANK, SEOUL"
HVBKKRSE,HVBKKRSECUS,"WOORI BANK, SEOUL"
HVBKKRSE,HVBKKRSEXXX,"WOORI BANK, SEOUL"
HVSCKRS2,HVSCKRS2XXX,"IM SECURITIES CO., LTD."
HWLIKRSE,HWLIKRSEXXX,HANWHA LIFE INSURANCE
HYAMKRS1,HYAMKRS1XXX,"HYUNDAI ASSET MANAGEMENT CO., LTD"
HYMEKRSE,HYMEKRSEXXX,"HYUNDAI MOTOR SECURITIES CO., LTD."
HYSEKRSE,HYSEKRSEXXX,"KB SECURITIES CO., LTD."
HYUNKRS2,HYUNKRS2XXX,"HYUNDAI INVESTMENTS CO.,LTD"
IBKMKRS2,IBKMKRS2XXX,"IBK ASSET MANAGEMENT CO.,LTD."
IBKOKRSE,IBKOKRSEXXX,INDUSTRIAL BANK OF KOREA
IBKSKRS1,IBKSKRS1XXX,"IBK SECURITIES CO., LTD."
IBKSKRSE,IBKSKRSEXXX,"IBK SECURITIES CO., LTD."
ICBKKRSE,ICBKKRSEXXX,INDUSTRIAL AND COMMERCIAL BANK OF CHINA SEOUL BRANCH
IGAAKRS2,IGAAKRS2XXX,"IGIS ASSET MANAGEMENT CO., LTD"
INGBKRSE,INGBKRSEXXX,ING BANK N.V SEOUL
INGBKRSS,INGBKRSSXXX,"ING BANK N.V., SEOUL SECURITIES BRANCH"
IRVTKRSX,IRVTKRSXXXX,BANK OF NEW YORK MELLON
IVCEKRS2,IVCEKRS2XXX,"DS INVESTMENT AND SECURITIES CO.,LTD."
JEONKRS1,JEONKRS1022,JEONBUK BANK-INT'L BANKING OFFICE
JEONKRS1,JEONKRS1XXX,JEONBUK BANK-INT'L BANKING OFFICE
JEONKRSE,JEONKRSECLS,JEONBUK BANK-INT'L BANKING OFFICE
JEONKRSE,JEONKRSEXXX,JEONBUK BANK-INT'L BANKING OFFICE
JJBKKR22,JJBKKR22XXX,JEJU BANK
JMSAKRS1,JMSAKRS1XXX,"J.P.MORGAN SECURITIES (FAR EAST) LT LTD., SEOUL BRANCH"
KAIGKRS1,KAIGKRS1XXX,"KYOBO AXA INVESTMENT MANAGERS CO., LTD."
KAKOKR22,KAKOKR22XXX,KAKAOBANK CORP
KBAMKRS1,KBAMKRS1XXX,KB ASSET MANAGEMENT
KBSSKRS1,KBSSKRS1XXX,CITIGROUP GLOBAL MARKETS KOREA SECURITIES LIMITED
KCGCKRSE,KCGCKRSEXXX,CONSTRUCTION GUARANTEE COOPERATIVE
KDAMKRS1,KDAMKRS1XXX,"MULTI ASSET GLOBAL INVESTMENTS CO., LTD"
KFBCKRSE,KFBCKRSEXXX,"MERITZ SECURITIES CO.,LTD"
KFTCKRS1,KFTCKRS1XXX,"KOREA FINANCIAL TELECOMMUNICATIONS AND CLEARING INSTITUTE, KFTC"
KHMBKRSE,KHMBKRSEXXX,WOORI INVESTMENT SECURITIES CO. LTD.
KISEKRSE,KISEKRSEXXX,"KOREA INVESTMENT AND SECURITIES CO., LTD."
KITNKRS1,KITNKRS1XXX,KOREA INVESTMENT TRUST MANAGEMENT CO
KITNKRS1,KITNKRS1YES,KOREA INVESTMENT TRUST MANAGEMENT CO
KIWCKRS1,KIWCKRS1XXX,"KIWOOM SECURITIES CO,. LTD."
KIWCKRSE,KIWCKRSEXXX,"KIWOOM SECURITIES CO,. LTD."
KIWMKRS2,KIWMKRS2XXX,"KIWOOM ASSET MANAGEMENT CO., LTD"
KIWSKRS1,KIWSKRS1XXX,KIWOOM SECURITIES
KODBKRSE,KODBKRSE001,THE KOREA DEVELOPMENT BANK
KODBKRSE,KODBKRSEXXX,THE KOREA DEVELOPMENT BANK
KOEXKRSE,KOEXKRSECLS,KEB HANA BANK
KOEXKRSE,KOEXKRSEFCL,KEB HANA BANK
KOEXKRSE,KOEXKRSEFCN,KEB HANA BANK
KOEXKRSE,KOEXKRSEXXX,KEB HANA BANK
KOICKRSE,KOICKRSEXXX,KOREA INVESTMENT CORPORATION
KOPOKRS1,KOPOKRS1XXX,POSTAL BUSINESS HEADQUARTERS
KORXKR21,KORXKR21XXX,KOREA EXCHANGE
KOSFKRS1,KOSFKRS1XXX,THE KOREA SECURITIES FINANCE CORPORATION
KOSFKRSK,KOSFKRSKXXX,THE KOREA SECURITIES FINANCE CORPORATION
KSCFKRSE,KSCFKRSEXXX,KOREA FINANCE FOR CONSTRUCTION
KSDCKRSE,KSDCKRSEFOT,KOREA SECURITIES DEPOSITORY
KSDCKRSE,KSDCKRSEFUN,KOREA SECURITIES DEPOSITORY
KSDCKRSE,KSDCKRSEGFS,KOREA SECURITIES DEPOSITORY
KSDCKRSE,KSDCKRSEKDR,KOREA SECURITIES DEPOSITORY
KSDCKRSE,KSDCKRSESLB,KOREA SECURITIES DEPOSITORY
KSDCKRSE,KSDCKRSEXXX,KOREA SECURITIES DEPOSITORY
KSGIKRSE,KSGIKRSEXXX,SEOUL GUARANTEE INSURANCE COMPANY
KTAMKRS1,KTAMKRS1XXX,"KTB ASSET MANAGEMENT CO., LTD."
KTASKRS1,KTASKRS1XXX,KOH THIRD ASSET SECURITIZATION SPECIALTY COMPANY
KWABKRSE,KWABKRSEXXX,THE KWANGJU BANK LIMITED
KYBOKRSE,KYBOKRSEXXX,"KYOBO LIFE INSURANCE CO., LTD."
KYNAKR22,KYNAKR22ITL,KYONGNAM BANK
KYNAKR22,KYNAKR22XXX,KYONGNAM BANK
KYOBKRS1,KYOBKRS1XXX,"KYOBO SECURITIES CO., LTD."
KYOBKRSK,KYOBKRSKXXX,"KYOBO SECURITIES CO., LTD."
LISCKRS1,LISCKRS1XXX,"LEADING INVESTMENT AND SECURITIES C O., LTD"
LOYDKRS1,LOYDKRS1XXX,LLOYDS BANK PLC
LUSEKRS1,LUSEKRS1XXX,"NH INVESTMENT AND SECURITIES CO., LTD."
MALSKRS1,MALSKRS1XXX,"MIRAE ASSET ASSET MANAGEMENT CO., LTD."
MAONKRS1,MAONKRS1XXX,"MIRAE ASSET ASSET MANAGEMENT CO., LTD."
MAVAKRS1,MAVAKRS1BON,"MIRAE ASSET GLOBAL INVESTMENTS CO., LTD."
MAVAKRS1,MAVAKRS1XXX,"MIRAE ASSET GLOBAL INVESTMENTS CO., LTD."
MBTCKRSE,MBTCKRSEXXX,METROPOLITAN BANK AND TRUST COMPANY
MEEMKRS1,MEEMKRS1XXX,"MERITZ ASSET MANAGEMENT CO., LTD"
MHCBKRSE,MHCBKRSEXXX,MIZUHO BANK SEOUL BRANCH
MIAEKR21,MIAEKR21XXX,"MIRAE ASSET SECURITIES CO.,LTD."
MIAEKRSE,MIAEKRSECUS,"MIRAE ASSET SECURITIES CO.,LTD."
MIAEKRSE,MIAEKRSEXXX,"MIRAE ASSET SECURITIES CO.,LTD."
MLCOKRS1,MLCOKRS1XXX,"MERRILL LYNCH INTERNATIONAL INCORPORATED, SEOUL BRANCH"
MLKRKRSE,MLKRKRSEXXX,"MERRILL LYNCH INTERNATIONAL LLC, SEOUL BRANCH"
MNNNKRS2,MNNNKRS2XXX,"MOIN, INC."
MRFSKRSE,MRFSKRSEXXX,KOREA FUND PARTNERS
MSBKKRSE,MSBKKRSEXXX,"MORGAN STANLEY BANK INTERNATIONAL LIMITED, SEOUL BRANCH"
MSKRKRSX,MSKRKRSXASL,"MORGAN STANLEY AND CO. INTERNATIONAL PLC, SEOUL BRANCH"
MSKRKRSX,MSKRKRSXGPR,"MORGAN STANLEY AND CO. INTERNATIONAL PLC, SEOUL BRANCH"
MSKRKRSX,MSKRKRSXTSY,"MORGAN STANLEY AND CO. INTERNATIONAL PLC, SEOUL BRANCH"
MSKRKRSX,MSKRKRSXXXX,"MORGAN STANLEY AND CO. INTERNATIONAL PLC, SEOUL BRANCH"
MSNYKRS1,MSNYKRS1XXX,MORGAN STANLEY AND CO. INTERNATIONAL PLC SEOUL BRANCH
MUAGKRS2,MUAGKRS2XXX,MUST ASSET MANAGEMENT INC.
NACFKRSE,NACFKRSEXXX,NONGHYUP BANK (NH BANK)
NBPAKRSI,NBPAKRSIXXX,"NATIONAL BANK OF PAKISTAN, SEOUL BRANCH KOREA"
NFFCKRSE,NFFCKRSEXXX,SUHYUP BANK
NFIKKRSE,NFIKKRSEXXX,"NOMURA FINANCIAL INVESTMENT (KOREA) CO., LTD."
NHAMKRS1,NHAMKRS1XXX,"NH-AMUNDI ASSET MANAGEMENT CO., LTD."
NINPKRSE,NINPKRSEXXX,E9PAY CO. LTD
NPSFKRS1,NPSFKRS1XXX,NATIONAL PENSION SERVICE
NPSFKRSJ,NPSFKRSJXXX,NATIONAL PENSION SERVICE
OCBCKRSE,OCBCKRSEXXX,"OVERSEA-CHINESE BANKING CORPORATION LIMITED, SEOUL BRANCH"
PCBCKRSE,PCBCKRSEXXX,CHINA CONSTRUCTION BANK SEOUL BR.
PMCFKRSE,PMCFKRSEXXX,CI GUARANTEE
PNBPKRSX,PNBPKRSXXXX,"WELLS FARGO BANK N.A.,SEOUL BRANCH"
PUSBKR2P,PUSBKR2PINT,BUSAN BANK
PUSBKR2P,PUSBKR2PMAS,BUSAN BANK
PUSBKR2P,PUSBKR2PSEL,BUSAN BANK
PUSBKR2P,PUSBKR2PXXX,BUSAN BANK
QIMCKRS1,QIMCKRS1XXX,QUAD INVESTMENT MANAGEMENT CORPORATION
SAMCKRS1,SAMCKRS1DER,"SAMSUNG SECURITIES CO.,LTD"
SAMCKRS1,SAMCKRS1PRT,"SAMSUNG SECURITIES CO.,LTD"
SAMCKRS1,SAMCKRS1XXX,"SAMSUNG SECURITIES CO.,LTD"
SAMCKRSL,SAMCKRSLCUS,"SAMSUNG SECURITIES CO.,LTD"
SAMCKRSL,SAMCKRSLXXX,"SAMSUNG SECURITIES CO.,LTD"
SBINKRSE,SBINKRSEXXX,STATE BANK OF INDIA
SBOSKRSE,SBOSKRSEXXX,"STATE STREET BANK AND TRUST COMPANY , KOREA BRANCH"
SBPAKRS1,SBPAKRS1XXX,"SHINHAN B AND P PARIBAS ASSET MANAGEMENT CO., LTD."
SCBLKRSE,SCBLKRSEEQI,STANDARD CHARTERED BANK KOREA LIMITED
SCBLKRSE,SCBLKRSEXXX,STANDARD CHARTERED BANK KOREA LIMITED
SCKRKRS1,SCKRKRS1XXX,STANDARD CHARTERED SECURITIES KOREA LIMITED
SECTKRS2,SECTKRS2XXX,"SAMSUNG ACTIVE ASSET MANAGEMENT CO., LTD."
SEOSKRS1,SEOSKRS1XXX,EUGENE INVESTMENT AND SECURITIES
SFMIKRSE,SFMIKRSEXXX,"SAMSUNG FIRE AND MARINE INSURANCE CO., LTD"
SGSEKRS1,SGSEKRS1XXX,"SG SECURITIES KOREA CO., LTD."
SGSEKRSL,SGSEKRSLXXX,"SG SECURITIES KOREA CO., LTD."
SHBKKRSE,SHBKKRSECLS,SHINHAN BANK
SHBKKRSE,SHBKKRSECUS,SHINHAN BANK
SHBKKRSE,SHBKKRSEKPO,SHINHAN BANK
SHBKKRSE,SHBKKRSETST,SHINHAN BANK
SHBKKRSE,SHBKKRSEXXX,SHINHAN BANK
SHHEKRS1,SHHEKRS1XXX,"HYUNDAI MOTOR SECURITIES CO., LTD."
SHHSKRS1,SHHSKRS1XXX,SHIN HAN SECURITIES CO. LTD.
SHSEKRS1,SHSEKRS1XXX,SHINYOUNG SECURITIES CO. LTD.
SITAKRS1,SITAKRS1XXX,"SAMSUNG ASSET MANAGEMENT CO., LTD."
SITAKRS2,SITAKRS2XXX,"SAMSUNG ASSET MANAGEMENT CO.,LTD."
SKSEKRS1,SKSEKRS1XXX,SK SECURITIES
SMBCKRSE,SMBCKRSEXXX,SUMITOMO MITSUI BANKING CORPORATION
SNTBKRS2,SNTBKRS2XXX,SENTBE INC
SOGEKRSE,SOGEKRSEXXX,"SOCIETE GENERALE, SEOUL BRANCH"
SOLAKRSE,SOLAKRSEXXX,"LANDESBANK BADEN-WUERTTEMBERG, SEOUL"
SSATKRSE,SSATKRSEXXX,"SHINHAN ASSET MANAGEMENT CO.,LTD."
SSISKRS1,SSISKRS1BKO,"SHINHAN SECURITIES CO., LTD."
SSISKRS1,SSISKRS1GEB,"SHINHAN SECURITIES CO., LTD."
SSISKRS1,SSISKRS1MGT,"SHINHAN SECURITIES CO., LTD."
SSISKRS1,SSISKRS1XXX,"SHINHAN SECURITIES CO., LTD."
SSISKRSS,SSISKRSSCUS,"SHINHAN SECURITIES CO., LTD."
SSISKRSS,SSISKRSSXXX,"SHINHAN SECURITIES CO., LTD."
SSLIKRSE,SSLIKRSEXXX,"SAMSUNG LIFE INSURANCE CO., LTD"
TAUSKRS2,TAUSKRS2XXX,"TAURUS ASSET MANAGEMENT CO., LTD."
THAOKRS1,THAOKRS1XXX,"THANOS CO., LTD."
TIAEKRS2,TIAEKRS2XXX,"TI ASSET MANAGEMENT CO., LTD."
TMCOKRS2,TMCOKRS2XXX,"TIMEFOLIO ASSET MANAGEMENT CO.,LTD"
TOBNKRSE,TOBNKRSEXXX,TOSSBANK CORP
TOYIKRS1,TOYIKRS1XXX,"WOORI ASSET MANAGEMENT CO., LTD."
TRTMKRS1,TRTMKRS1XXX,"TRUSTON ASSET MANAGEMENT CO., LTD."
TRWLKRS2,TRWLKRS2XXX,"TRAVEL WALLET CO., LTD."
TYAMKRS1,TYAMKRS1XXX,"WOORI ASSET MANAGEMENT CO., LTD."
TYITKRS1,TYITKRS1XXX,"WOORI ASSET MANAGEMENT CO., LTD."
TYMBKRSE,TYMBKRSEXXX,"YUANTA SECURITIES KOREA CO.,LTD"
TYSEKRS1,TYSEKRS1XXX,TONG YANG SECURITIES CO. LTD
UBAFKRSX,UBAFKRSXXXX,UBAF - UNION DES BANQUES ARABES ET FRANCAISES
UOVBKRSE,UOVBKRSEXXX,"UNITED OVERSEAS BANK LIMITED, SEOUL BRANCH"
VIAEKRS2,VIAEKRS2XXX,"VI ASSET MANAGEMENT KOREA CO., LTD."
WAREKRS1,WAREKRS1XXX,UBS SECURITIES PTE. LTD. SEOUL BRANCH
WICAKRS1,WICAKRS1XXX,W.I. CARR (FAR EAST) LIMITED
WIOOKRS2,WIOOKRS2XXX,WIREBARLEY CORPORATION
WISHKRSE,WISHKRSECUS,NH INVESTMENT AND SECURITIES CO LTD
WISHKRSE,WISHKRSEXXX,NH INVESTMENT AND SECURITIES CO LTD
YUAMKRS2,YUAMKRS2XXX,YURIE ASSET MANAGEMENT INC.
