bic_8,bic,bank
AAACKWKW,AAACKWKWXXX,AL MUZAINI EXCHANGE CO. KSCC
ABKKKWKW,ABKKKWKWACI,AL AHLI BANK OF KUWAIT K.S.C.P
ABKKKWKW,ABKKKWKWXXX,AL AHLI BANK OF KUWAIT K.S.C.P
AFBOKWK2,AFBOKWK2XXX,AL-WASEET FINANCIAL BUSINESS COMPANY (K.S.C.C)
AFEDKWKW,AFEDKWKWXXX,ARAB FUND FOR ECONOMIC AND SOCIAL DEVELOPMENT
AFGPKWKW,AFGPKWKWXXX,ARZAN FINANCIAL GROUP FOR FINANCING AND INVESTMENTS K.P.S.C
ALZLKWKW,ALZLKWKWXXX,AL ZAMIL EXCHANGE COMPANY LLC
AMIEKWKW,AMIEKWKW1ME,AL MULLA INTERNATIONAL EXCHANGE CO
AMIEKWKW,AMIEKWKW2ME,AL MULLA INTERNATIONAL EXCHANGE CO
AMIEKWKW,AMIEKWKWXXX,AL MULLA INTERNATIONAL EXCHANGE CO
AMKCKWK1,AMKCKWK1XXX,AL-MAL KUWAITI COMPANY
AXCWKWKW,AXCWKWKWXXX,AMAN EXCHANGE CO. WLL
BAYTKWK1,BAYTKWK1XXX,BAYT AL MAL INVESTMENT COMPANY
BBKUKWKW,BBKUKWKWXXX,BBK
BBYNKWKW,BBYNKWKWXXX,BOUBYAN BANK (K.S.C)
BECXKWKW,BECXKWKWXXX,BAHRAIN EXCHANGE COMPANY WLL
BNPAKWKW,BNPAKWKWXXX,BNP PARIBAS KUWAIT
BRGNKWKW,BRGNKWKWXXX,BURGAN BANK K.P.S.C
CBKUKWKW,CBKUKWKWBOD,CENTRAL BANK OF KUWAIT
CBKUKWKW,CBKUKWKWXXX,CENTRAL BANK OF KUWAIT
CITIKWKW,CITIKWKWCTI,CITIBANK N.A.
CITIKWKW,CITIKWKWXXX,CITIBANK N.A.
COMBKWKW,COMBKWKWA01,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA02,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA04,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA05,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA06,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA07,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA08,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA09,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA10,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA11,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA12,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA13,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA14,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA15,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA16,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA17,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA18,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA19,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA20,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA21,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA23,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA24,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA25,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA26,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA27,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA28,COMMERCIAL BANK OF KUWAIT KPSC
COMBKWKW,COMBKWKWA2O,COMMERCIAL BANK OF KUWAIT KPSC
