bic_8,bic,bank
AILSKZ2K,AILSKZ2KXXX,AL SAFI BANK LTD.
ASIHKZ22,ASIHKZ22CSD,ASTANA INTERNATIONAL EXCHANGE LIMITED
ASIHKZ22,ASIHKZ22REG,ASTANA INTERNATIONAL EXCHANGE LIMITED
ASIHKZ22,ASIHKZ22XXX,ASTANA INTERNATIONAL EXCHANGE LIMITED
ATYNKZKA,ATYNKZKAXXX,JSC 'ALTYN BANK' SB OF CHINA CITIC BANK CORPORATION
BATSKZK1,BATSKZK1XXX,BRITISH AMERICAN TOBACCO KAZAKHSTAN TRADING LLP
BKCHKZKA,BKCHKZKAXXX,BANK OF CHINA KAZAKHSTAN
BRKEKZKA,BRKEKZKAXXX,BEREKE BANK JOINT STOCK COMPANY (SUBSIDIARY BANK OF LESHA BANK LLC (PUBLIC))
BRLPKZ22,BRLPKZ22XXX,BRILLINK BANK CORPORATION LIMITED
CASPKZKA,CASPKZKAXXX,KASPI BANK JSC
CEDUKZKA,CEDUKZKAXXX,"CENTRAL SECURITIES DEPOSITORY, JSC"
CHASKZK1,CHASKZK1XXX,CHASE MANHATTAN BANK
CITIKZKA,CITIKZKAXXX,CJSC CITIBANK KAZAKHSTAN
CITIKZX1,CITIKZX1TRD,CJSC CITIBANK KAZAKHSTAN
CITIKZX1,CITIKZX1XXX,CJSC CITIBANK KAZAKHSTAN
CLPYKZ2A,CLPYKZ2AXXX,COLLECT AND PAY LTD.
CRAYKZK1,CRAYKZK1XXX,CREDIT ALTYN BANK
DVKAKZKA,DVKAKZKAXXX,DEVELOPMENT BANK OF KAZAKHSTAN JSC
EABRKZKA,EABRKZKAACF,EURASIAN DEVELOPMENT BANK
EABRKZKA,EABRKZKAXXX,EURASIAN DEVELOPMENT BANK
EURIKZKA,EURIKZKAXXX,EURASIAN BANK JOINT STOCK COMPANY
HALYKZK1,HALYKZK1XXX,JOINT STOCK COMPANY HALYK SAVINGS BANK OF KAZAKHSTAN
HCSKKZKA,HCSKKZKAXXX,JOINT STOCK COMPANY 'OTBASY BANK' HOUSE CONSTRUCTION SAVINGS BANK
HLALKZKZ,HLALKZKZXXX,ADCB ISLAMIC BANK JSC
HSBCKZB1,HSBCKZB1XXX,HSBC SECURITIES KAZAKHSTAN LLP
HSBKKZKX,HSBKKZKXTSY,HALYK BANK OF KAZAKHSTAN
