bic_8,bic,bank
ACLBLALA,ACLBLALAXXX,ACLEDA BANK LAO LTD
AGPBLALA,AGPBLALAXXX,"AGRICULTURAL PROMOTION BANK CO.,LTD"
ANZBLALA,ANZBLALAXXX,"AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,LAO BRANCH"
AYUDLALA,AYUDLALAXXX,BANK OF AYUDHYA PCL VIENTIANE BRANCH
BFLLLALA,BFLLLALAXXX,BANQUE FRANCO-LAO LTD
BFTVLALL,BFTVLALLXXX,VIETCOMBANK LAOS LIMITED
BKCHLALA,BKCHLALAXXX,BANK OF CHINA (HONG KONG) LIMITED VIENTIANE BRANCH
BKKBLALA,BKKBLALAXXX,"BANGKOK BANK PUBLIC CO. LTD, VIENTIANE BRANCH"
CADILALA,CADILALAXXX,CANADIA BANK LAO CO LTD.
COEBLALA,COEBLALACPS,BANQUE POUR LE COMMERCE EXTERIEUR LAO PUBLIC
COEBLALA,COEBLALAKMN,BANQUE POUR LE COMMERCE EXTERIEUR LAO PUBLIC
COEBLALA,COEBLALALBP,BANQUE POUR LE COMMERCE EXTERIEUR LAO PUBLIC
COEBLALA,COEBLALALNT,BANQUE POUR LE COMMERCE EXTERIEUR LAO PUBLIC
COEBLALA,COEBLALAODX,BANQUE POUR LE COMMERCE EXTERIEUR LAO PUBLIC
COEBLALA,COEBLALASVN,BANQUE POUR LE COMMERCE EXTERIEUR LAO PUBLIC
COEBLALA,COEBLALAXXX,BANQUE POUR LE COMMERCE EXTERIEUR LAO PUBLIC
FCBKLALA,FCBKLALAXXX,"FIRST COMMERCIAL BANK LTD, VIENTIANE BRANCH"
ICBKLALA,ICBKLALACLR,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED VIENTIANE BRANCH
ICBKLALA,ICBKLALAXXX,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED VIENTIANE BRANCH
ICBVLALA,ICBVLALAXXX,VIETINBANK LAO LIMITED
IDCBLALA,IDCBLALAXXX,INDOCHINA BANK LTD
JDBKLALA,JDBKLALAXXX,JOINT DEVELOPMENT BANK
KASILALA,KASILALAXXX,KASIKORNTHAI BANK SOLE LIMITED
LAOVLALA,LAOVLALACPS,"LAO-VIET BANK CO,LTD"
LAOVLALA,LAOVLALAXXX,"LAO-VIET BANK CO,LTD"
LCBVLALA,LCBVLALAXXX,LAO CONSTRUCTION BANK LIMITED
LCNBLALA,LCNBLALAXXX,"LAO CHINA BANK CO., LTD."
LCONLAL1,LCONLAL1XXX,LAO CONSTRUCTION BANK LIMITED
LDBBLALA,LDBBLALAXXX,"LAO DEVELOPMENT BANK CO.,LTD"
LICBLALA,LICBLALAXXX,"BIC BANK LAO CO.,LTD"
LPDRLALA,LPDRLALAXXX,BANK OF THE LAO P.D.R.
MBBELALA,MBBELALAXXX,MAYBANK LAO BRANCH
MJBLLALA,MJBLLALAXXX,"MARUHAN JAPAN BANK LAO CO., LTD"
PBBELALA,PBBELALAXXX,PUBLIC BANK LAO LIMITED
PSVBLALA,PSVBLALAXXX,PHONGSAVANH BANK LTD
RHBBLALA,RHBBLALAXXX,"RHB BANK LAO SOLE CO.,LTD"
SICOLALA,SICOLALAXXX,"SIAM COMMERCIAL BANK PCL., THE"
STBDLALA,STBDLALAXXX,ST BANK LTD
TACBLALT,TACBLALTXXX,"TAIWAN COOPERATIVE BANK CO., LTD VIENTIANE CAPITAL BRANCH"
