bic_8,bic,bank
AEEBLBBE,AEEBLBBEDLP,AREEBA SAL
AEEBLBBE,AEEBLBBEXXX,AREEBA SAL
AFCOLBBE,AFCOLBBEXXX,ARAB FINANCE CORPORATION SAL
AFHOLBBE,AFHOLBBEXXX,ARAB FINANCE HOUSE (ISLAMIC BANK)
ALCVLBBE,ALCVLBBEDLP,AL BARAKA BANK S.A.L.
ALCVLBBE,ALCVLBBEXXX,AL BARAKA BANK S.A.L.
ARABLBB1,ARABLBB1022,ARAB BANK PLC
ARABLBB1,ARABLBB1023,ARAB BANK PLC
ARABLBB1,ARABLBB1024,ARAB BANK PLC
ARABLBB1,ARABLBB1025,ARAB BANK PLC
ARABLBB1,ARABLBB1026,ARAB BANK PLC
ARABLBB1,ARABLBB10B2,ARAB BANK PLC
ARABLBB1,ARABLBB10B3,ARAB BANK PLC
ARABLBB1,ARABLBB10B4,ARAB BANK PLC
ARABLBB1,ARABLBB10B5,ARAB BANK PLC
ARABLBB1,ARABLBB10B6,ARAB BANK PLC
ARABLBB1,ARABLBB1XXX,ARAB BANK PLC
ARABLBBX,ARABLBBX0B7,ARAB BANK PLC
ARABLBBX,ARABLBBX0B8,ARAB BANK PLC
ARABLBBX,ARABLBBX0B9,ARAB BANK PLC
ARABLBBX,ARABLBBXTBO,ARAB BANK PLC
ARABLBBX,ARABLBBXXXX,ARAB BANK PLC
ARAILBBE,ARAILBBEDLP,ARAB AFRICAN INTERNATIONAL BANK
ARAILBBE,ARAILBBEXXX,ARAB AFRICAN INTERNATIONAL BANK
ARBVLBBE,ARBVLBBEXXX,ARAB BANK (SWITZERLAND) LEBANON SAL
AUDBLBBX,AUDBLBBXXXX,BANK AUDI S.A.L.
BABELBBE,BABELBBEDLP,BANK OF BEIRUT S.A.L
BABELBBE,BABELBBEXXX,BANK OF BEIRUT S.A.L
BABILBBE,BABILBBEXXX,BANK OF BAGHDAD
BBACLBBX,BBACLBBXXXX,BBAC S.A.L
BCNBLBBE,BCNBLBBEDLP,BANQUE DE CREDIT NATIONAL S.A.L.
BCNBLBBE,BCNBLBBEXXX,BANQUE DE CREDIT NATIONAL S.A.L.
BDBLLBBE,BDBLLBBEXXX,BLOM DEVELOPMENT BANK S.A.L.
BDLCLBBA,BDLCLBBAXXX,BANQUE DU LIBAN
BDLCLBBC,BDLCLBBCXXX,BANQUE DU LIBAN
BDLCLBBF,BDLCLBBFXXX,BANQUE DU LIBAN
BDLCLBBG,BDLCLBBGXXX,BANQUE DU LIBAN
BDLCLBBX,BDLCLBBXACD,BANQUE DU LIBAN
BDLCLBBX,BDLCLBBXASA,BANQUE DU LIBAN
BDLCLBBX,BDLCLBBXCOD,BANQUE DU LIBAN
BDLCLBBX,BDLCLBBXFOD,BANQUE DU LIBAN
BDLCLBBX,BDLCLBBXFXD,BANQUE DU LIBAN
BDLCLBBX,BDLCLBBXMOF,BANQUE DU LIBAN
BDLCLBBX,BDLCLBBXTIA,BANQUE DU LIBAN
BDLCLBBX,BDLCLBBXXXX,BANQUE DU LIBAN
BEMSLBB1,BEMSLBB1XXX,BEMO SECURITISATION SAL
BKAWLBBE,BKAWLBBEXXX,FENICIA BANK S.A.L. (FORMERLY BKAW S.A.L.)
BLFSLBBX,BLFSLBBXXXX,BANQUE LIBANO FRANCAISE SAL
BLINLBBE,BLINLBBEXXX,BLOMINVEST BANK S.A.L.
BLOMLBBX,BLOMLBBXXXX,BLOM BANK S.A.L.
BMISLBB1,BMISLBB1022,BANQUE MISR LIBAN S.A.L. HEAD OFFICE
BMISLBB1,BMISLBB1023,BANQUE MISR LIBAN S.A.L. HEAD OFFICE
BMISLBB1,BMISLBB1024,BANQUE MISR LIBAN S.A.L. HEAD OFFICE
BMISLBB1,BMISLBB1025,BANQUE MISR LIBAN S.A.L. HEAD OFFICE
BMISLBB1,BMISLBB1026,BANQUE MISR LIBAN S.A.L. HEAD OFFICE
BMISLBB1,BMISLBB10B2,BANQUE MISR LIBAN S.A.L. HEAD OFFICE
BMISLBBE,BMISLBBEXXX,BANQUE MISR LIBAN S.A.L. HEAD OFFICE
BOBPLBBE,BOBPLBBEDLP,BANK OF BEIRUT INVEST S.A.L
BOBPLBBE,BOBPLBBEXXX,BANK OF BEIRUT INVEST S.A.L
BTLVLBBE,BTLVLBBEXXX,SARADAR BANK S.A.L.
BYBALBBX,BYBALBBXXXX,BYBLOS BANK S.A.L
BYBILBBX,BYBILBBXXXX,BYBLOS INVEST BANK S.A.L.
CBCBLBBE,CBCBLBBEXXX,CREDITBANK SAL FREEWAY CENTRE
CCSCLBBE,CCSCLBBEXXX,CSCBANK SAL
CDRALBB1,CDRALBB1XXX,COUNCIL FOR DEVELOPMENT AND RECONSTRUCTION
CEDXLBBE,CEDXLBBEXXX,CEDRUS BANK S.A.L.
CEFVLBB1,CEFVLBB1XXX,CREDIT FINANCIER INVEST S.A.L
CIBXLBBE,CIBXLBBEXXX,CEDRUS INVEST BANK S.A.L
CITILBBE,CITILBBEDLP,CITIBANK NA-BEIRUT BRANCH
CITILBBE,CITILBBEXXX,CITIBANK NA-BEIRUT BRANCH
CLIBLBBX,CLIBLBBXDLP,CREDIT LIBANAIS S.A.L
CLIBLBBX,CLIBLBBXXXX,CREDIT LIBANAIS S.A.L
ELBKLBBX,ELBKLBBXXXX,EMIRATES LEBANON BANK SAL
EUMOLBBE,EUMOLBBEXXX,BANQUE BEMO SAL
FBLBLBBX,FBLBLBBXXXX,FINANCE BANK SAL
FBLELBBX,FBLELBBXDLP,FEDERAL BANK OF LEBANON S.A.L
FBLELBBX,FBLELBBXXXX,FEDERAL BANK OF LEBANON S.A.L
FFAILBBE,FFAILBBEDLP,INVESTMENT AND CAPITAL BANK (I AND C) S.A.L
FFAILBBE,FFAILBBEXXX,INVESTMENT AND CAPITAL BANK (I AND C) S.A.L
FIDRLBB1,FIDRLBB1XXX,FIDUS SAL
FIDRLBBX,FIDRLBBXXXX,FIDUS SAL
FINKLBBE,FINKLBBEDLP,FIRST NATIONAL BANK S.A.L.
FINKLBBE,FINKLBBEXXX,FIRST NATIONAL BANK S.A.L.
FSABLBBX,FSABLBBXXXX,FRANSABANK S.A.L
HABBLBBE,HABBLBBEXXX,HABIB BANK LIMITED
IBTFLBBE,IBTFLBBEXXX,INVEST BANK (P.S.C.)
INFSLBB1,INFSLBB1XXX,AUDI INVESTMENT BANK SAL
INLELBBE,INLELBBEXXX,IBL BANK SAL
LEBSLBBX,LEBSLBBXXXX,LEBANESE SWISS BANK SAL
LGBALBBE,LGBALBBEXXX,LGB BANK SAL
LHBALBBX,LHBALBBXDLP,BANQUE DE L'HABITAT S.A.L.
LHBALBBX,LHBALBBXXXX,BANQUE DE L'HABITAT S.A.L.
LIBKLBBE,LIBKLBBEDLP,LIBANK S.A.L. (LEVANT INVESTMENT BANK)
LIBKLBBE,LIBKLBBEXXX,LIBANK S.A.L. (LEVANT INVESTMENT BANK)
LICOLBBX,LICOLBBXXXX,B.L.C. BANK S.A.L.
LINVLBB1,LINVLBB1XXX,LEBANON INVEST S.A.L
LUCILBBX,LUCILBBXXXX,LUCID INVESTMENT BANK S.A.L.
MABALBBE,MABALBBEDLP,AM BANK S.A.L.
MABALBBE,MABALBBEXXX,AM BANK S.A.L.
MADILBL1,MADILBL1XXX,BANK AL MADINA SAL.
MEABLBBE,MEABLBBEXXX,MEAB BANK S.A.L.
MECALBBE,MECALBBEXXX,MECATTAF S.A.L
MEDLLBBX,MEDLLBBXXXX,"BANKMED,SAL"
MENVLBB1,MENVLBB1XXX,MEDSECURITIES INVESTMENT SAL
MIBLLBBX,MIBLLBBXXXX,MEDINVESTMENT BANK S.A.L
MIDDLBB1,MIDDLBB1XXX,FNB CAPITAL S.A.L.
MIDRLBBE,MIDRLBBEASA,MIDCLEAR S.A.L.
MIDRLBBE,MIDRLBBEXXX,MIDCLEAR S.A.L.
MINFLBBE,MINFLBBEXXX,MINISTRY OF FINANCE
MPFSLBB1,MPFSLBB1XXX,MERRILL LYNCH PIERCE FENNER AND SMITH (ME) S.A.L.
NACBLBBE,NACBLBBEXXX,NORTH AFRICA COMMERCIAL BANK S.A.L.
NBADLBB1,NBADLBB1XXX,NATIONAL BANK OF ABU DHABI
NBOKLBBE,NBOKLBBEXXX,NATIONAL BANK OF KUWAIT (LEBANON) SAL
NUDTLBB1,NUDTLBB1XXX,IBL BANK S.A.L.
OPTILBBE,OPTILBBEDLP,OPTIMUM INVEST SAL
OPTILBBE,OPTILBBEXXX,OPTIMUM INVEST SAL
PARBLBB1,PARBLBB1XXX,BNP PARIBAS BANK AND TRUST CAYMAN LIMITED
QNBALBBE,QNBALBBEDLP,QATAR NATIONAL BANK
QNBALBBE,QNBALBBEXXX,QATAR NATIONAL BANK
RAFBLBBE,RAFBLBBEXXX,RAFIDAIN BANK
SGLILBBX,SGLILBBXXXX,SOCIETE GENERALE DE BANQUE AU LIBAN S.A.L.
SLBLLBBX,SLBLLBBXXXX,SAUDI LEBANESE BANK SAL BEIRUT
SODALBB1,SODALBB1XXX,SOCIETE D'INVESTISSEMENTS FINANCIER S SAL
SONBLBBE,SONBLBBEXXX,BSL BANK S.A.L.
SYLCLBBE,SYLCLBBEXXX,SYRIAN LEBANESE COMMERCIAL BANK SAL
UBSLLBB1,UBSLLBB1XXX,FRANSABANK S.A.L.
XBEYLBB1,XBEYLBB1XXX,BOURSE DE BEYROUTH
