bic_8,bic,bank
BKNOLCL1,BKNOLCL1XXX,BANKINNO INC
BOSLLCLC,BOSLLCLCXXX,BANK OF SAINT LUCIA LIMITED
BSLULCLC,BSLULCLCXXX,PROVEN BANK (SAINT LUCIA) LIMITED
EULULCL1,EULULCL1XXX,EUROEXIM BANK (ST. LUCIA) LTD
FCIBLCLC,FCIBLCLCXXX,CIBC CARIBBEAN BANK (BARBADOS) LIMITED
GVLCLCLC,GVLCLCLCXXX,GOVERNMENT OF SAINT LUCIA
HEMMLCL2,HEMMLCL2XXX,HERMES BANK LIMITED
HMBTLCLC,HMBTLCLCXXX,BERKELEY BANK AND TRUST LIMITED
LUOBLCLC,LUOBLCLCXXX,1ST NATIONAL BANK ST.LUCIA LIMITED
PTRVLCLC,PTRVLCLCXXX,PETRUS PRIVATE BANK LIMITED
RBNKLCLC,RBNKLCLCLCA,REPUBLIC BANK (EC) LIMITED
RBNKLCLC,RBNKLCLCXXX,REPUBLIC BANK (EC) LIMITED
STTTLCLC,STTTLCLCXXX,STATETRUST BANK AND TRUST LTD.
