bic_8,bic,bank
AMNSLI22,AMNSLI22XXX,AMNIS EUROPE AG
AMNSLI23,AMNSLI23XXX,AMNIS EUROPE AG
BAIHLI21,BAIHLI21XXX,BALOISE LIFE LIECHTENSTEIN AG
BCIRLI22,BCIRLI22XXX,BANKING CIRCLE (LIECHTENSTEIN) AG
BFRILI22,BFRILI22XXX,BANK FRICK AG
BLFLLI2X,BLFLLI2X224,LGT BANK AG
BLFLLI2X,BLFLLI2X225,LGT BANK AG
BLFLLI2X,BLFLLI2X252,LGT BANK AG
BLFLLI2X,BLFLLI2X253,LGT BANK AG
BLFLLI2X,BLFLLI2X275,LGT BANK AG
BLFLLI2X,BLFLLI2X276,LGT BANK AG
BLFLLI2X,BLFLLI2X279,LGT BANK AG
BLFLLI2X,BLFLLI2X281,LGT BANK AG
BLFLLI2X,BLFLLI2X283,LGT BANK AG
BLFLLI2X,BLFLLI2X314,LGT BANK AG
BLFLLI2X,BLFLLI2X315,LGT BANK AG
BLFLLI2X,BLFLLI2X495,LGT BANK AG
BLFLLI2X,BLFLLI2X496,LGT BANK AG
BLFLLI2X,BLFLLI2XAGX,LGT BANK AG
BLFLLI2X,BLFLLI2XEXC,LGT BANK AG
BLFLLI2X,BLFLLI2XXXX,LGT BANK AG
CLNCLI22,CLNCLI22XXX,CELSION FINANCE AG
EFGBLI22,EFGBLI22XXX,EFG BANK VON ERNST AG
EMCOLI21,EMCOLI21XXX,EMCORE AG
FDSFLI22,FDSFLI22ASM,FDS FINANCIAL DATA SERVICES AG
FDSFLI22,FDSFLI22LV1,FDS FINANCIAL DATA SERVICES AG
FDSFLI22,FDSFLI22XXX,FDS FINANCIAL DATA SERVICES AG
GWCGLI21,GWCGLI21XXX,GWS CONSULTING GMBH
HYIBLI22,HYIBLI22XXX,BENDURA BANK AG
INUYLI21,INUYLI21TRE,INTEROGO TREASURY AG
INUYLI21,INUYLI21XXX,INTEROGO TREASURY AG
LILALI2X,LILALI2XXXX,LIECHTENSTEINISCHE LANDESBANK AG
LPENLI21,LPENLI21XXX,CS LIFE AND PENSIONS
NBANLI22,NBANLI22XXX,NEUE BANK AG
NETILI21,NETILI21XXX,THE NATIONAL EMISSIONS TRADING REGISTRY OF LIECHTENSTEIN ENVIRONMENTAL PROTECTION
SERBLI22,SERBLI22XXX,KAISER PARTNER PRIVATBANK AG
SFBALI22,SFBALI22XXX,BANQUE HAVILLAND (LIECHTENSTEIN) AG
SWLCLI22,SWLCLI22XXX,SWISS LIFE (LIECHTENSTEIN) AG
TANTLI22,TANTLI22XXX,TANTUM AG
TLIELI21,TLIELI21XXX,CREDIT SUISSE TRUST AKTIENGESELLSCHAFT
VOAGLI22,VOAGLI22XXX,SIGMA BANK AG
VPBVLI2X,VPBVLI2XLIC,VP BANK AG
VPBVLI2X,VPBVLI2XXXX,VP BANK AG
