bic_8,bic,bank
ALSBLKL1,ALSBLKL1XXX,ALLIED PHILLIP SECURITIES LTD.
AMNALKLX,AMNALKLXXXX,AMANA BANK PLC
ARAVLKL1,ARAVLKL1XXX,SOFTLOGIC STOCKBROKERS (PVT) LTD
ASSPLKL1,ASSPLKL1XXX,ASIA SECURITIES (PRIVATE) LIMITED
BATSLKA1,BATSLKA1XXX,CEYLON TOBACCO COMPANY PLC
BCEYLKLX,BCEYLKLX002,BANK OF CEYLON
BCEYLKLX,BCEYLKLX004,BANK OF CEYLON
BCEYLKLX,BCEYLKLX125,BANK OF CEYLON
BCEYLKLX,BCEYLKLX131,BANK OF CEYLON
BCEYLKLX,BCEYLKLX573,BANK OF CEYLON
BCEYLKLX,BCEYLKLX618,BANK OF CEYLON
BCEYLKLX,BCEYLKLXPRI,BANK OF CEYLON
BCEYLKLX,BCEYLKLXXXX,BANK OF CEYLON
BKCHLKLX,BKCHLKLXXXX,BANK OF CHINA LIMITED COLOMBO BRANCH
BMSVLKL1,BMSVLKL1XXX,BARTLEET RELIGARE SECURITIES (PRIVATE) LIMITED
BSAMLKLX,BSAMLKLXXXX,SAMPATH BANK PLC
CALDLKLX,CALDLKLXXXX,CAPITAL ALLIANCE PLC
CBCELKLS,CBCELKLSXXX,CENTRAL BANK OF SRI LANKA
CBCELKLX,CBCELKLXEPF,CENTRAL BANK OF SRI LANKA
CBCELKLX,CBCELKLXXXX,CENTRAL BANK OF SRI LANKA
CBPDLKL1,CBPDLKL1XXX,COMMERCIAL BANK PRIMARY DEALER LTD.
CCEYLKLX,CCEYLKLXXXX,COMMERCIAL BANK OF CEYLON PLC
CDSPLKLC,CDSPLKLCXXX,CENTRAL DEPOSITORY SYSTEMS (PVT) LTD
CGRBLKLX,CGRBLKLXXXX,CARGILLS BANK PLC
CITILKLX,CITILKLXXXX,CITIBANK N.A
CSSLLKLX,CSSLLKLXXXX,ENTRUST SECURITIES PLC
DEUTLKLX,DEUTLKLX001,"DEUTSCHE BANK AG, COLOMBO BRANCH"
DEUTLKLX,DEUTLKLXF4C,"DEUTSCHE BANK AG, COLOMBO BRANCH"
DEUTLKLX,DEUTLKLXGMO,"DEUTSCHE BANK AG, COLOMBO BRANCH"
DEUTLKLX,DEUTLKLXXXX,"DEUTSCHE BANK AG, COLOMBO BRANCH"
DFCCLKLX,DFCCLKLXXXX,DFCC BANK PLC
FCTLLKLX,FCTLLKLXXXX,FIRST CAPITAL TREASURIES PLC
FRIPLKL1,FRIPLKL1XXX,FITCH RATINGS LANKA LTD.
FWSPLKL1,FWSPLKL1XXX,FORBES AND WALKER TEA BROKERS (PRIVATE) LIMITED
HABBLKLC,HABBLKLCXXX,HABIB BANK LTD.
HBLILKLX,HBLILKLX001,HATTON NATIONAL BANK PLC
HBLILKLX,HBLILKLXXXX,HATTON NATIONAL BANK PLC
HDSPLKL1,HDSPLKL1XXX,HDF SECURITIES (PVT) LTD.
HNBSLKLX,HNBSLKLXXXX,ACUITY SECURITIES LIMITED
HSBCLKLX,HSBCLKLXGTS,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED
HSBCLKLX,HSBCLKLXXXX,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED
IDIBLKLC,IDIBLKLCXXX,INDIAN BANK COLOMBO BRANCH
IFLLLKL1,IFLLLKL1XXX,IIFL SECURITIES CEYLON (PVT) LTD
IOBALKLC,IOBALKLCXXX,INDIAN OVERSEAS BANK
JKSPLKL1,JKSPLKL1XXX,JOHN KEELS STOCKBROKERS (PVT) LTD
JSPLLKL1,JSPLLKL1XXX,JB SECURITIES (PVT) LTD
LASPLKL1,LASPLKL1XXX,LANKA SECURITIES (PVT) LTD
