bic_8,bic,bank
ACLILRLM,ACLILRLMXXX,ACCESS BANK LIBERIA LIMITED
CBLRLRLA,CBLRLRLAXXX,CENTRAL BANK OF LIBERIA
CBLRLRLM,CBLRLRLMXXX,CENTRAL BANK OF LIBERIA
CCEILRLM,CCEILRLMXXX,AFRILAND FIRST BANK LIBERIA LIMITED
CITILRL1,CITILRL1XXX,CITIBANK N.A.
CTSLLRLM,CTSLLRLMXXX,"CITITRUST SAVINGS AND LOANS LIMITED (LIBERIA), INC."
ECOCLRLM,ECOCLRLMXXX,ECOBANK LIBERIA
GNERLRLM,GNERLRLMXXX,SAPELLE INTERNATIONAL BANK LIBERIA LIMITED (SIBLL)
GTBILRLM,GTBILRLMXXX,GUARANTY TRUST BANK (LIBERIA) LIMITED
IBLRLRLM,IBLRLRLMXXX,INTERNATIONAL BANK (LIBERIA) LIMITED
LBDELRLM,LBDELRLMXXX,LIBERIAN BANK FOR DEVELOPMENT AND INVESTMENT
NBLILRL1,NBLILRL1XXX,NATIONAL BANK OF LIBERIA
PHBXLRLM,PHBXLRLMXXX,BLOOM BANK AFRICA LIBERIA LIMITED
UNAFLRLM,UNAFLRLMXXX,UNITED BANK FOR AFRICA (LIBERIA) LIMITED
