bic_8,bic,bank
ABLPLT21,ABLPLT21XXX,AKCINE BENDROVE LIETUVOS PASTAS
AGBLLT2X,AGBLLT2XTGT,LUMINOR BANK AS LITHUANIAN BRANCH
AGBLLT2X,AGBLLT2XXXX,LUMINOR BANK AS LITHUANIAN BRANCH
AIMULT22,AIMULT22XXX,"AIM INVEST, UAB"
AKKULT21,AKKULT21XXX,AKADEMINE KREDITO UNIJA
AMKRLT21,AMKRLT21XXX,AMBERIO KREDITAS
AMLULT22,AMLULT22XXX,'ALENDE MARKETPLACE (LITHUANIA)' UAB
AMPULT22,AMPULT22XXX,NEWRAILS UAB
ARNPLT21,ARNPLT21XXX,UAB ARN GROUP
ARUALT22,ARUALT22XXX,EBURY PARTNERS LITHUANIA UAB
AUJALT21,AUJALT21XXX,II AUJAMA-CREDIT
AUKULT21,AUKULT21XXX,AUKSITIJOS KREDITO UNIJA
AWXLLT22,AWXLLT22XXX,AWX LITHUANIA UAB
BAXXLT22,BAXXLT22XXX,"FINCI, UAB"
BCFNLT21,BCFNLT21XXX,UAB BC FINANCE
BEMULT22,BEMULT22001,BEM EUROPE UAB
BEMULT22,BEMULT22XXX,BEM EUROPE UAB
BIGKLT21,BIGKLT21XXX,BIGBANK AS FILIALAS
BIKNLT21,BIKNLT21XXX,BIRZU KREDITO UNIJA
BLDRLT21,BLDRLT21XXX,UAB BLENDER LITHUANIA
BNFNLT21,BNFNLT21XXX,"BNP FINANCE, UAB"
BNUALT22,BNUALT22XXX,FUNDSTR UAB
BVPPLT21,BVPPLT21XXX,UAB FM ORION SECURITIES POPLERLAI
BZENLT22,BZENLT22XXX,UAB ZEN.COM
CBNULT2V,CBNULT2VXXX,CBI MONEY UAB
CBSBLT26,CBSBLT26DCA,AB ARTEA BANKAS
CBSBLT26,CBSBLT26XXX,AB ARTEA BANKAS
CBVILT2X,CBVILT2XTPS,AB SEB BANKAS
CBVILT2X,CBVILT2XXXX,AB SEB BANKAS
CDSVLT21,CDSVLT21XXX,UAB CREDIT SERVICE
CFLZLT21,CFLZLT21XXX,CITADELE FAKTORINGAS IR LIZINGAS
CFMALT21,CFMALT21XXX,UAB FM MRC MARKETS
CLUALT22,CLUALT22XXX,CLEARSHIFT UAB
CNUALT21,CNUALT21XXX,"CONNECTPAY, UAB"
CRHBLT21,CRHBLT21XXX,"CREDITSTAR LITHUANIA, UAB"
CRUBLT22,CRUBLT22XXX,"CRIUS LT, UAB"
CRUGLT21,CRUGLT21XXX,CREDIT UNION SAULEGRAZA
CRVULT21,CRVULT21XXX,CORPORATE SERVICES UAB
CSDLLT22,CSDLLT22577,NASDAQ CSD SE LITHUANIAN BRANCH
CSDLLT22,CSDLLT22RTG,NASDAQ CSD SE LITHUANIAN BRANCH
CSDLLT22,CSDLLT22XXX,NASDAQ CSD SE LITHUANIAN BRANCH
CUEULT22,CUEULT22XXX,UAB CURVE EUROPE
DFGBLT22,DFGBLT22XXX,DELFINGROUP LT UAB
DIUALT22,DIUALT22XXX,"DIPOCKET, UAB"
DMVOLT22,DMVOLT22XXX,"DEMIVOLT,UAB"
DVINLT21,DVINLT21XXX,UAB FM DV INVEST DV INVEST LTD
