bic_8,bic,bank
AAILLUL1,AAILLUL1XXX,MONUMENT ASSURANCE LUXEMBOURG S.A.
AAMALULL,AAMALULLXXX,ANDBANK ASSET MANAGEMENT LUXEMBOURG
AASGLUL2,AASGLUL2XXX,ASSENAGON ASSET MANAGEMENT S.A.
AAVULUL1,AAVULUL1XXX,AXA ASSURANCE VIE LUXEMBOURG SA
ABOCLULB,ABOCLULBXXX,AGRICULTURAL BANK OF CHINA (LUXEMBOURG) BRANCH
ABOCLULL,ABOCLULLXXX,AGRICULTURAL BANK OF CHINA (LUXEMBOURG) S.A.
ACMFLUL1,ACMFLUL1XXX,ACM FUND SERVICES S.A.
ACNMLULL,ACNMLULLXXX,ALMA CAPITAL INVESTMENT MANAGEMENT SA
ADAELUL2,ADAELUL2IMD,ADEPA ASSET MANAGEMENT S.A.
ADAELUL2,ADAELUL2XXX,ADEPA ASSET MANAGEMENT S.A.
ADLALULL,ADLALULLXXX,ALTER DOMUS ALTERNATIVE ASSET FUND ADMINISTRATION S.A.R.L.
ADVZLULL,ADVZLULLXXX,ADVANZIA BANK S.A.
AEUSLUL1,AEUSLUL1XXX,AMAZON PAYMENTS EUROPE S.C.A
AFIELULL,AFIELULLXXX,AFI.ESCA LUXEMBOURG S.A
AGRHLUL1,AGRHLUL1XXX,CALI EUROPE
AGRILULA,AGRILULAXXX,CA INDOSUEZ WEALTH (EUROPE)
AILULUL1,AILULUL1XXX,ALPHA INVESTOR SERVICES MANAGEMENT
ALLFLULL,ALLFLULLAFI,"ALLFUNDS BANK S.A.U., LUXEMBOURG BRANCH"
ALLFLULL,ALLFLULLXXX,"ALLFUNDS BANK S.A.U., LUXEMBOURG BRANCH"
ALLOLUL1,ALLOLUL1XXX,ALLEGRO S.A R.L.
ALOVLUL1,ALOVLUL1XXX,ALPHA ONE SICAV-FIS
ALUALUL1,ALUALUL1XXX,ALCEDA FUND MANAGEMENT S.A
AMFELULL,AMFELULLXXX,AMFIE - ASSOCIATION COOPERATIVE FINANCIERE DES FONCTIONNAIRES INTERNATIONAUX
ANCILUL1,ANCILUL1XXX,ANOA CAPITAL S.A.
APFSLU22,APFSLU22001,APEX FUND SERVICES S.A.
APFSLU22,APFSLU22CLS,APEX FUND SERVICES S.A.
APFSLU22,APFSLU22DNK,APEX FUND SERVICES S.A.
APFSLU22,APFSLU22JEY,APEX FUND SERVICES S.A.
APFSLU22,APFSLU22LUX,APEX FUND SERVICES S.A.
APFSLU22,APFSLU22NLD,APEX FUND SERVICES S.A.
APFSLU22,APFSLU22SWE,APEX FUND SERVICES S.A.
APFSLU22,APFSLU22XXX,APEX FUND SERVICES S.A.
ARBILUL1,ARBILUL1XXX,TRADITION LUXEMBOURG S.A.
ARLULUL1,ARLULUL1XXX,ARGENTA ASSET MANAGEMENT S.A.
ASENLUL1,ASENLUL1XXX,ASSYA ASSET MANAGEMENT
ATLELUL1,ATLELUL1XXX,FWU LIFE INSURANCE LUX S.A.
ATRXLULL,ATRXLULLXXX,ATTRAX FINANCIAL SERVICES S.A.
AUFILUL1,AUFILUL1XXX,AUREA FINANCE SOPARFI
AWMULUL1,AWMULUL1XXX,ALPHA WEALTH MANAGEMENT LUXEMBOURG S.A.
AXXNLULL,AXXNLULLXXX,NAVAXX S.A.
AZEULULL,AZEULULLXXX,AZ EURO INVESTMENTS S.A.
AZFMLU21,AZFMLU21XXX,AZIMUT INVESTMENTS SA
AZFMLUL2,AZFMLUL2XXX,AZIMUT INVESTMENTS SA
AZFMLULL,AZFMLULLXXX,AZIMUT INVESTMENTS SA
BACALULL,BACALULLXXX,ANDBANK LUXEMBOURG S.A.
BAERLULU,BAERLULUXXX,BANK JULIUS BAER EUROPE S.A.
BARCLULL,BARCLULLXXX,"BARCLAYS BANK IRELAND PLC, LUXEMBOURG BRANCH"
BAVOLULL,BAVOLULLXXX,BANCO VOTORANTIM S.A. - LUXEMBOURG BRANCH
BBDALULX,BBDALULXTAR,HSBC CONTINENTAL EUROPE
BBDALULX,BBDALULXXXX,HSBC CONTINENTAL EUROPE
BBDELULL,BBDELULLXXX,BANCO BRADESCO EUROPA S.A.
BBHCLULL,BBHCLULLXXX,BROWN BROTHERS HARRIMAN(LUXEMBOURG) S.C.A.
BBPPLULL,BBPPLULL100,BANQUE DE PATRIMOINES PRIVES
BBPPLULL,BBPPLULLXXX,BANQUE DE PATRIMOINES PRIVES
BCEELULL,BCEELULLXXX,"BANQUE ET CAISSE D'EPARGNE DE L'ETAT, LUXEMBOURG"
BCIRLULL,BCIRLULLXXX,BANKING CIRCLE S.A.
BCLXLULL,BCLXLULLASP,BANQUE CENTRALE DU LUXEMBOURG
BCLXLULL,BCLXLULLECM,BANQUE CENTRALE DU LUXEMBOURG
BCLXLULL,BCLXLULLERX,BANQUE CENTRALE DU LUXEMBOURG
BCLXLULL,BCLXLULLLCH,BANQUE CENTRALE DU LUXEMBOURG
BCLXLULL,BCLXLULLTP1,BANQUE CENTRALE DU LUXEMBOURG
BCLXLULL,BCLXLULLTP2,BANQUE CENTRALE DU LUXEMBOURG
BCLXLULL,BCLXLULLXXX,BANQUE CENTRALE DU LUXEMBOURG
