bic_8,bic,bank
AIZKLV22,AIZKLV22CLN,"ABLV BANK, AS IN LIQUIDATION"
AIZKLV22,AIZKLV22XXX,"ABLV BANK, AS IN LIQUIDATION"
ALFPLV21,ALFPLV21XXX,ALFAPAY
AOSALV22,AOSALV22XXX,AP OPERATIONS SIA
BIGKLV21,BIGKLV21XXX,BIGBANK AS LATVIJAS FILIALE
BLPBLV21,BLPBLV21XXX,AS BALTIJAS PRIVATBANKA
CBBRLV22,CBBRLV22OVE,BLUOR BANK AS
CBBRLV22,CBBRLV22TIP,BLUOR BANK AS
CBBRLV22,CBBRLV22XXX,BLUOR BANK AS
HABALV22,HABALV22TIP,SWEDBANK AS
HABALV22,HABALV22XXX,SWEDBANK AS
IDXOLV22,IDXOLV22TIP,AS INDEXO BANKA
IDXOLV22,IDXOLV22XXX,AS INDEXO BANKA
IIPALV22,IIPALV22LTU,SIA PACE FS
IIPALV22,IIPALV22XXX,SIA PACE FS
JOPSLV22,JOPSLV22XXX,JOOL PAY SIA
JSSILV21,JSSILV21XXX,DUKASCOPY EUROPE IBS AS
KKSDLV21,KKSDLV21XXX,LATVIJAS ARODBIEDRIBU KRAJAIZDEVU SABIEDRIBA
KKSLLV22,KKSLLV22XXX,KOOPERATIVA KRAJAIZDEVU SABIEDRIBA ALFABETA
LACBLV2X,LACBLV2XAMS,BANK OF LATVIA
LACBLV2X,LACBLV2XCCB,BANK OF LATVIA
LACBLV2X,LACBLV2XEKS,BANK OF LATVIA
LACBLV2X,LACBLV2XXXX,BANK OF LATVIA
LACBLV2X,LACBLV2XZMS,BANK OF LATVIA
LAPBLV2X,LAPBLV2X011,AS MAGNETIQ BANK
LAPBLV2X,LAPBLV2X012,AS MAGNETIQ BANK
LAPBLV2X,LAPBLV2XTIP,AS MAGNETIQ BANK
LAPBLV2X,LAPBLV2XXXX,AS MAGNETIQ BANK
LATSLV21,LATSLV21XXX,"E LATS, SIA"
LAVFLV22,LAVFLV22XXX,TF BANK AB LATVIJAS FILIALE
LCDELV22,LCDELV22CEE,NASDAQ CSD SE
LCDELV22,LCDELV22CLM,NASDAQ CSD SE
LCDELV22,LCDELV22CLT,NASDAQ CSD SE
LCDELV22,LCDELV22EEX,NASDAQ CSD SE
LCDELV22,LCDELV22LTX,NASDAQ CSD SE
LCDELV22,LCDELV22LVX,NASDAQ CSD SE
LCDELV22,LCDELV22XXX,NASDAQ CSD SE
LFIKLV21,LFIKLV21XXX,AKCIJU SABIEDRIBA 'LATGALES FINANSU KOMPANIJA'
LKJFLV21,LKJFLV21XXX,LTFJA KKS JURNIEKU FORUMS
LLBBLV2X,LLBBLV2X111,SIGNET BANK AS
LLBBLV2X,LLBBLV2X222,SIGNET BANK AS
LLBBLV2X,LLBBLV2XXXX,SIGNET BANK AS
LPNSLV21,LPNSLV21XXX,STATE JOINT STOCK COMPANY LATVIJAS PASTS
MIMKLV22,MIMKLV22XXX,MINTOS MARKETPLACE AS
MOXSLV21,MOXSLV21XXX,MONEY EXPRESS SIA
MULTLV2X,MULTLV2XTIP,AS INDUSTRA BANK
MULTLV2X,MULTLV2XXXX,AS INDUSTRA BANK
NIXGLV21,NIXGLV21XXX,NIXGROUP
OKBALV21,OKBALV21XXX,OGRES KOMERCBANKA
OKOYLV2X,OKOYLV2XXXX,OP CORPORATE BANK PLC FILIALE LATVIJA
OPAYLV21,OPAYLV21XXX,"XOPAY, SIA"
PAEXLV21,PAEXLV21XXX,"CITADELE BANKA, AKCIJU SABIEDRIBA"
PANXLV22,PANXLV22XXX,UNIFIEDPOST PAYMENTS SA FILIALE LATVIJA
PARXLV22,PARXLV22TIP,JSC CITADELE BANKA
PARXLV22,PARXLV22XXX,JSC CITADELE BANKA
PAYELV21,PAYELV21XXX,PAYSERA LT
RIBRLV22,RIBRLV22TIP,REGIONALA INVESTICIJU BANKA
RIBRLV22,RIBRLV22XXX,REGIONALA INVESTICIJU BANKA
RIKOLV2X,RIKOLV2XIPA,LUMINOR BANK AS LATVIAN BRANCH
RIKOLV2X,RIKOLV2XXXX,LUMINOR BANK AS LATVIAN BRANCH
RTMBLV2X,RTMBLV2XTIP,RIETUMU BANKA
RTMBLV2X,RTMBLV2XXXX,RIETUMU BANKA
SECTLV21,SECTLV21961,SAMSUNG ELECTRONICS BALTICS
SECTLV21,SECTLV21XXX,SAMSUNG ELECTRONICS BALTICS
SEFMLV21,SEFMLV21XXX,SIA 'SEMFOPAY'
SIAFLV21,SIAFLV21XXX,SIA PAYBANCO
SIAILV21,SIAILV21XXX,"STEITS, SIA"
SIAXLV22,SIAXLV22XXX,SIA 'XPATE'
SIMZLV21,SIMZLV21XXX,SIA MONETIZATOR
TGSILV22,TGSILV22XXX,TIGSIPAY SIA
TPROLV22,TPROLV22XXX,SIA TRANSACT PRO
TRELLV22,TRELLV22XXX,"TREASURY OF THE REPUBLIC OF LATVIA, THE"
TRELLV22,TRELLV22ZIB,"TREASURY OF THE REPUBLIC OF LATVIA, THE"
UNLALV2X,UNLALV2XTPS,SEB BANKA
UNLALV2X,UNLALV2XXXX,SEB BANKA
WOSILV21,WOSILV21XXX,"WOT, SIA"
XRISLV21,XRISLV21XXX,AKCIJU SABIEDRIBA NASDAQ RIGA
