bic_8,bic,bank
ABCNLYLT,ABCNLYLT015,AMAN BANK FOR COMMERCE AND INVESTMENT
ABCNLYLT,ABCNLYLT017,AMAN BANK FOR COMMERCE AND INVESTMENT
ABCNLYLT,ABCNLYLTXXX,AMAN BANK FOR COMMERCE AND INVESTMENT
ACOMLYLT,ACOMLYLTXXX,TADHAMUN BANK
AIIILYLT,AIIILYLT002,ARAB INVESTMENT ISLAMIC BANK
AIIILYLT,AIIILYLTXXX,ARAB INVESTMENT ISLAMIC BANK
ALWFLYLT,ALWFLYLTXXX,AL WAFA BANK
ANLSLYLT,ANLSLYLTXXX,ANDALUS BANK
ATIBLYLT,ATIBLYLTXXX,ASSARAY TRADE AND INVESTMENT BANK
BSAHLYLX,BSAHLYLXXXX,BANQUE SAHELO-SAHARIENNE POUR L'INVESTISSEMENT ET LE COMMERCE
CBLJLYLX,CBLJLYLX001,CENTRAL BANK OF LIBYA
CBLJLYLX,CBLJLYLX002,CENTRAL BANK OF LIBYA
CBLJLYLX,CBLJLYLX004,CENTRAL BANK OF LIBYA
CBLJLYLX,CBLJLYLXXXX,CENTRAL BANK OF LIBYA
CBLJLYLY,CBLJLYLYXXX,CENTRAL BANK OF LIBYA
CDBLLYLT,CDBLLYLT011,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.)
CDBLLYLT,CDBLLYLT012,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.)
CDBLLYLT,CDBLLYLT013,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.)
CDBLLYLT,CDBLLYLT014,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.)
CDBLLYLT,CDBLLYLT015,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.)
CDBLLYLT,CDBLLYLT017,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.)
CDBLLYLT,CDBLLYLT018,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.)
CDBLLYLT,CDBLLYLT019,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.)
CDBLLYLT,CDBLLYLT021,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.)
CDBLLYLT,CDBLLYLT022,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.)
CDBLLYLT,CDBLLYLT023,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.)
CDBLLYLT,CDBLLYLT025,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.)
CDBLLYLT,CDBLLYLT026,BANK OF COMMERCE AND DEVELOPMENT (L.J.S.C.)
