bic_8,bic,bank
ABBMMAMC,ABBMMAMCXXX,AL BARID BANK
AIBSMAMT,AIBSMAMTXXX,ATTIJARI INTERNATIONAL BANK S.A
AKDRMAMM,AKDRMAMMXXX,AL AKHDAR BANK
ARABMAM1,ARABMAM10M4,ARAB BANK PLC.
ARABMAMC,ARABMAMC210,ARAB BANK PLC.
ARABMAMC,ARABMAMC220,ARAB BANK PLC.
ARABMAMC,ARABMAMC221,ARAB BANK PLC.
ARABMAMC,ARABMAMC230,ARAB BANK PLC.
ARABMAMC,ARABMAMC240,ARAB BANK PLC.
ARABMAMC,ARABMAMC250,ARAB BANK PLC.
ARABMAMC,ARABMAMC260,ARAB BANK PLC.
ARABMAMC,ARABMAMCXXX,ARAB BANK PLC.
ASSFMAMC,ASSFMAMCXXX,BANK ASSAFA
BCMAMAMC,BCMAMAMCATI,ATTIJARIWAFA BANK (FORMERLY BANQUE COMMERCIALE DU MAROC)
BCMAMAMC,BCMAMAMCBAS,ATTIJARIWAFA BANK (FORMERLY BANQUE COMMERCIALE DU MAROC)
BCMAMAMC,BCMAMAMCDEV,ATTIJARIWAFA BANK (FORMERLY BANQUE COMMERCIALE DU MAROC)
BCMAMAMC,BCMAMAMCXXX,ATTIJARIWAFA BANK (FORMERLY BANQUE COMMERCIALE DU MAROC)
BCPOMAM1,BCPOMAM10MG,BANQUE CENTRALE POPULAIRE
BCPOMAM1,BCPOMAM10MH,BANQUE CENTRALE POPULAIRE
BCPOMAM1,BCPOMAM10MJ,BANQUE CENTRALE POPULAIRE
BCPOMAM1,BCPOMAM10MS,BANQUE CENTRALE POPULAIRE
BCPOMAM1,BCPOMAM10MV,BANQUE CENTRALE POPULAIRE
BCPOMAM1,BCPOMAM10MW,BANQUE CENTRALE POPULAIRE
BCPOMAM1,BCPOMAM10MY,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCALH,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCBKO,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCBNM,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCBRK,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCCAS,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCCES,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCCIB,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCDOC,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCELJ,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCFES,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCFIN,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCGHA,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCLAY,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCMEK,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCMKH,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCMON,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCMRE,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCNAD,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCOUJ,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCRAB,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCREC,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCSAF,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCTAT,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCXXX,BANQUE CENTRALE POPULAIRE
BCPOMAMC,BCPOMAMCYSR,BANQUE CENTRALE POPULAIRE
BKAMMAMA,BKAMMAMAXXX,BANK AL-MAGHRIB
BKAMMAMR,BKAMMAMRXXX,BANK AL-MAGHRIB
BMCEMAMC,BMCEMAMCBCB,BANK OF AFRICA
BMCEMAMC,BMCEMAMCBTI,BANK OF AFRICA
BMCEMAMC,BMCEMAMCCOR,BANK OF AFRICA
BMCEMAMC,BMCEMAMCMRE,BANK OF AFRICA
BMCEMAMC,BMCEMAMCSDM,BANK OF AFRICA
BMCEMAMC,BMCEMAMCTCM,BANK OF AFRICA
BMCEMAMC,BMCEMAMCTZF,BANK OF AFRICA
BMCEMAMC,BMCEMAMCXXX,BANK OF AFRICA
BMCIMAMC,BMCIMAMCNFP,BANQUE MAROCAINE POUR LE COMMERCE ET L'INDUSTRIE (BMCI)
BMCIMAMC,BMCIMAMCTOF,BANQUE MAROCAINE POUR LE COMMERCE ET L'INDUSTRIE (BMCI)
BMCIMAMC,BMCIMAMCXXX,BANQUE MAROCAINE POUR LE COMMERCE ET L'INDUSTRIE (BMCI)
BSABMAMC,BSABMAMCXXX,"BANCO DE SABADELL, S.A."
CADGMAMR,CADGMAMRXXX,CAISSE DE DEPOT ET DE GESTION
CAFGMAMC,CAFGMAMCCFM,CFG BANK
CAFGMAMC,CAFGMAMCXXX,CFG BANK
CAIXMAMC,CAIXMAMCXXX,"CAIXABANK,S.A. SUCCURSALE AU MAROC"
CDMAMAMC,CDMAMAMC700,CREDIT DU MAROC
CDMAMAMC,CDMAMAMC701,CREDIT DU MAROC
CDMAMAMC,CDMAMAMC702,CREDIT DU MAROC
CDMAMAMC,CDMAMAMC703,CREDIT DU MAROC
CDMAMAMC,CDMAMAMC704,CREDIT DU MAROC
CDMAMAMC,CDMAMAMC705,CREDIT DU MAROC
CDMAMAMC,CDMAMAMC706,CREDIT DU MAROC
CDMAMAMC,CDMAMAMC707,CREDIT DU MAROC
CDMAMAMC,CDMAMAMC708,CREDIT DU MAROC
CDMAMAMC,CDMAMAMC709,CREDIT DU MAROC
CDMAMAMC,CDMAMAMCCOS,CREDIT DU MAROC
CDMAMAMC,CDMAMAMCPAR,CREDIT DU MAROC
CDMAMAMC,CDMAMAMCXXX,CREDIT DU MAROC
CIHMMAMC,CIHMMAMCDEP,CREDIT IMMOBILIER ET HOTELIER
CIHMMAMC,CIHMMAMCSDM,CREDIT IMMOBILIER ET HOTELIER
CIHMMAMC,CIHMMAMCUBP,CREDIT IMMOBILIER ET HOTELIER
CIHMMAMC,CIHMMAMCXXX,CREDIT IMMOBILIER ET HOTELIER
CITIMAMC,CITIMAMCTRD,CITIBANK MAGHREB S.A.
CITIMAMC,CITIMAMCXXX,CITIBANK MAGHREB S.A.
CNCAMAMR,CNCAMAMRAAB,CREDIT AGRICOLE DU MAROC
CNCAMAMR,CNCAMAMRXXX,CREDIT AGRICOLE DU MAROC
CRPMMAM1,CRPMMAM1XXX,CREDIT POPULAIRE DU MAROC
ITABMAM1,ITABMAM1XXX,BANQUE INTERNATIONALE DE TANGER
ITBOMAM1,ITBOMAM1XXX,MENA .C.P
MAROMAM1,MAROMAM1XXX,MAROCLEAR
MAVIMAM1,MAVIMAM1XXX,MAROC SERVICES INTERMEDIATION
MEDCMAMC,MEDCMAMCXXX,BCP SECURITIES SERVICES
OFCHMAMR,OFCHMAMRXXX,OFFICE DES CHANGES
RDGCMAMR,RDGCMAMRXXX,CDG CAPITAL
SECTMAM1,SECTMAM1780,SAMSUNG ELECTRONICS MOROCCO
SECTMAM1,SECTMAM1XXX,SAMSUNG ELECTRONICS MOROCCO
SGMBMAMC,SGMBMAMCCMI,SAHAM BANK
SGMBMAMC,SGMBMAMCFCM,SAHAM BANK
SGMBMAMC,SGMBMAMCPA1,SAHAM BANK
SGMBMAMC,SGMBMAMCSFS,SAHAM BANK
SGMBMAMC,SGMBMAMCTIT,SAHAM BANK
SGMBMAMC,SGMBMAMCXXX,SAHAM BANK
SGTGMAMC,SGTGMAMCXXX,SAHAM BANK OFFSHORE
UMABMAMC,UMABMAMCXXX,UNION MAROCAINE DE BANQUES
UMNIMAMM,UMNIMAMMXXX,UMNIA BANK
UPLNMAM1,UPLNMAM1XXX,UPLINE INTERNATIONAL S.A.
XCASMAM1,XCASMAM1XXX,BOURSE DE CASABLANCA SA
