bic_8,bic,bank
AGRIMCM1,AGRIMCM1XXX,CREDIT AGRICOLE MONACO (CRCA PROVENCE COTE D'AZUR MONACO)
AZFMMCMC,AZFMMCMCXXX,CGM-AZIMUT MONACO
BACAMCMC,BACAMCMCXXX,ANDBANK MONACO SAM
BAERMCMC,BAERMCMCXXX,BANK JULIUS BAER (MONACO) S.A.M.
BARCMCC1,BARCMCC1XXX,"BARCLAYS BANK PLC, MONACO"
BARCMCMX,BARCMCMXXXX,"BARCLAYS BANK PLC, MONACO"
BCGMMCM1,BCGMMCM1XXX,BNP PARIBAS WEALTH MANAGEMENT MONACO
BERLMCMC,BERLMCMCBDF,EDMOND DE ROTHSCHILD - MONACO
BERLMCMC,BERLMCMCXXX,EDMOND DE ROTHSCHILD - MONACO
BJSBMCMX,BJSBMCMXLCO,BANQUE J. SAFRA SARASIN (MONACO) SA
BJSBMCMX,BJSBMCMXXXX,BANQUE J. SAFRA SARASIN (MONACO) SA
BNPAMCM1,BNPAMCM1XXX,BNP PARIBAS (MONACO BRANCH)
BPPBMCMC,BPPBMCMCXXX,BNP PARIBAS (MONACO BRANCH)
CCBPMCM1,CCBPMCM1XXX,BANQUE POPULAIRE MEDITERRANEE
CEPAMCM1,CEPAMCM1XXX,CAISSE D'EPARGNE ET DE PREVOYANCE COTE D'AZUR - AGENCE DE MONACO
CFMOMCMX,CFMOMCMXXXX,CFM INDOSUEZ WEALTH
CGPMMCM1,CGPMMCM1XXX,CGM-AZIMUT MONACO
CLSMMCM1,CLSMMCM1XXX,CAPITALIA LUXEMBOURG - SUCCURSALE DE MONACO
CMBMMCMX,CMBMMCMXXXX,CMB MONACO
CMCIMCM1,CMCIMCM1BEC,SA LYONNAISE DE BANQUE
CMCIMCM1,CMCIMCM1LYB,SA LYONNAISE DE BANQUE
CMCIMCM1,CMCIMCM1XXX,SA LYONNAISE DE BANQUE
CMMDMCM1,CMMDMCM1XXX,CREDIT MOBILIER DE MONACO
CRLYMCM1,CRLYMCM1BAS,LCL (LE CREDIT LYONNAIS) MONACO
CRLYMCM1,CRLYMCM1CAE,LCL (LE CREDIT LYONNAIS) MONACO
CRLYMCM1,CRLYMCM1FVI,LCL (LE CREDIT LYONNAIS) MONACO
CRLYMCM1,CRLYMCM1LCM,LCL (LE CREDIT LYONNAIS) MONACO
CRLYMCM1,CRLYMCM1LMO,LCL (LE CREDIT LYONNAIS) MONACO
CRLYMCM1,CRLYMCM1MCA,LCL (LE CREDIT LYONNAIS) MONACO
CRLYMCM1,CRLYMCM1XXX,LCL (LE CREDIT LYONNAIS) MONACO
CRSGMCM1,CRSGMCM1XXX,CREDIT SUISSE ASSET MANAGEMENT
EFGBMCMC,EFGBMCMCXXX,EFG BANK (MONACO)
ERMOMCM1,ERMOMCM1XXX,BNP PARIBAS WEALTH MANAGEMENT MONACO
HAVLMCMX,HAVLMCMXBDF,MONCRIEF PRIVATE BANK (MONACO) S.A.M.
HAVLMCMX,HAVLMCMXXXX,MONCRIEF PRIVATE BANK (MONACO) S.A.M.
KBLXMCMC,KBLXMCMCXXX,BANQUE RICHELIEU MONACO
MAEAMCM1,MAEAMCM1XXX,BANQUE MARTIN MAUREL
MMSEMCM1,MMSEMCM1XXX,ROTHSCHILD AND CO WEALTH MANAGEMENT MONACO
NORDMCM1,NORDMCM1XXX,CREDIT DU NORD
PICTMCMC,PICTMCMCCOR,BANK PICTET AND CIE (EUROPE) AG SUCCURSALE DE MONACO
PICTMCMC,PICTMCMCXXX,BANK PICTET AND CIE (EUROPE) AG SUCCURSALE DE MONACO
POSOMCM1,POSOMCM1XXX,BANCA POPOLARE DI SONDRIO (SUISSE) SA
RTLDMCMC,RTLDMCMCXXX,ROTHELAND S.A.M.
SDBMMCM2,SDBMMCM2TPS,SOCIETE GENERALE (FORMERLY SOCIETE DE BANQUE MONACO)
SDBMMCM2,SDBMMCM2XXX,SOCIETE GENERALE (FORMERLY SOCIETE DE BANQUE MONACO)
SEUAMCM1,SEUAMCM1XXX,SECURITAS
SGBTMCMC,SGBTMCMCXXX,SOCIETE GENERALE PRIVATE BANKING MONACO
SGTMMCM1,SGTMMCM1XXX,SOCIETE GENERALE PRIVATE BANKING (MONACO)
SMCTMCM1,SMCTMCM1P02,SOCIETE MARSEILLAISE DE CREDIT
SMCTMCM1,SMCTMCM1P04,SOCIETE MARSEILLAISE DE CREDIT
SMCTMCM1,SMCTMCM1XXX,SOCIETE MARSEILLAISE DE CREDIT
SOGEMCM1,SOGEMCM1TPS,SOCIETE GENERALE MONTE CARLO (MONACO)
SOGEMCM1,SOGEMCM1XXX,SOCIETE GENERALE MONTE CARLO (MONACO)
UBPGMCMX,UBPGMCMXT2S,"UNION BANCAIRE PRIVEE, UBP SA"
UBPGMCMX,UBPGMCMXXXX,"UNION BANCAIRE PRIVEE, UBP SA"
UBSWMCMX,UBSWMCMXXXX,UBS (MONACO) SA
