bic_8,bic,bank
AGRNMD2X,AGRNMD2XXXX,"BANCA COMERCIALA, MOLDOVA - AGROINDBANK S.A."
CMTBMD2X,CMTBMD2XXXX,BANCA COMERCIALA 'COMERTBANK' S.A.
ECBMMD2X,ECBMMD2XXXX,BC EUROCREDITBANK S.A.
ENEGMD22,ENEGMD22XXX,BC ENERGBANK S.A.
EXMMMD22,EXMMMD22XXX,BANCA COMERCIALA EXIMBANK S.A.
FTMDMD2X,FTMDMD2XXXX,BANCA DE FINANTE SI COMERT S.A.
MOBBMD22,MOBBMD22XXX,OTP BANK S.A.
MOLDMD2X,MOLDMD2XXXX,BANCA COMERCIALA MOLDINDCONBANK S.A.
NBMDMD2X,NBMDMD2XXXX,THE NATIONAL BANK OF MOLDOVA
PMODMD21,PMODMD21XXX,STATE ENTERPRISE 'POSTA MOLDOVEI'
PRCBMD22,PRCBMD22XXX,BC PROCREDIT BANK S.A.
VICBMD2X,VICBMD2XXXX,JOINT-STOCK COMMERCIAL VICTORIABANK
