bic_8,bic,bank
AZMNMEPG,AZMNMEPGXXX,ADRIATIC BANK AD PODGORICA
CBCGMEB1,CBCGMEB1XXX,CENTRALNA BANKA CRNE GORE (CENTRAL BANK OF MONTENEGRO)
CBCGMEPG,CBCGMEPGXXX,CENTRALNA BANKA CRNE GORE (CENTRAL BANK OF MONTENEGRO)
CKBCMEPG,CKBCMEPGXXX,CRNOGORSKA KOMERCIJALNA BANKA AD PODORICA (MONOTENEGRIN COM. BANKA)
HAABMEPG,HAABMEPGXXX,ADDIKO BANK A.D. PODGORICA
HBBAMEPG,HBBAMEPGXXX,HIPOTEKARNA BANKA AD
LOVBMEPG,LOVBMEPGXXX,LOVCEN BANKA AD
MNBAMEPG,MNBAMEPGXXX,NLB BANKA AD PODGORICA
OPPOMEPG,OPPOMEPGXXX,ERSTE BANK AD PODGORICA
PRVAMEPG,PRVAMEPGXXX,PRVA BANKA CRNE GORE AD PODGORICA OSNOVANA 1901. GODINE
TCZBMEPG,TCZBMEPGXXX,ZIRAAT BANK MONTENEGRO
UNCBMEPG,UNCBMEPGXXX,UNIVERSAL CAPITAL BANK
ZBCGMEPG,ZBCGMEPGXXX,ZAPAD BANKA AD PODGORICA
