bic_8,bic,bank
ABMGMGMG,ABMGMGMGXXX,ACCESBANQUE MADAGASCAR
AFGMMGMG,AFGMMGMGXXX,AFG BANK MADAGASCAR
AFRIMGMG,AFRIMGMGXXX,BANK OF AFRICA MADAGASCAR
AMDAMGM2,AMDAMGM2XXX,ACEP MADAGASCAR SA
BAIMMGMG,BAIMMGMGXXX,BANKY FIRST
BFAVMGMG,BFAVMGMGXXX,BRED MADAGASIKARA BANQUE POPULAIRE
BGFIMGMG,BGFIMGMGXXX,BGFIBANK MADAGASCAR
BMADMGMG,BMADMGMGXXX,BAOBAB BANQUE MADAGASCAR SA
BMOIMGMG,BMOIMGMGXXX,BANQUE MALGACHE DE L'OCEAN INDIEN
BSBMMGMG,BSBMMGMGXXX,BANQUE SBM MADAGASCAR
CLMDMGM1,CLMDMGM10MA,BNI MADAGASCAR
CLMDMGM1,CLMDMGM10MM,BNI MADAGASCAR
CLMDMGM1,CLMDMGM10MT,BNI MADAGASCAR
CLMDMGMG,CLMDMGMGXXX,BNI MADAGASCAR
MCBLMGMG,MCBLMGMGXXX,THE MAURITIUS COMMERCIAL BANK (MADAGASCAR) S.A.
PAMLMGM1,PAMLMGM1XXX,PAOSITRA MALAGASY
PGMPMGM2,PGMPMGM2XXX,PREMIERE AGENCE DE MICROFINANCE PAMF
REPUMGMG,REPUMGMGRTG,BANQUE CENTRALE DE MADAGASCAR
REPUMGMG,REPUMGMGXXX,BANQUE CENTRALE DE MADAGASCAR
XMDGMGM1,XMDGMGM1XXX,MARCHE INTERBANCAIRE DES DEVISES M. I.D.
