bic_8,bic,bank
CDHVMK21,CDHVMK21XXX,CENTRAL SECURITIES DEPOSITORY INC.
CECBMK22,CECBMK22XXX,CENTRAL COOPERATIVE BANK AD SKOPJE
EXPCMK22,EXPCMK22XXX,HALKBANK A.D. SKOPJE
HIFDMK21,HIFDMK21XXX,HEALTH INSURANCE FUND OF MACEDONIA
INSBMK22,INSBMK22XXX,SPARKASSE BANK AD SKOPJE
IUTEMKSK,IUTEMKSKXXX,IUTE PAY DOOEL SKOPJE
KAPBMK22,KAPBMK22XXX,KAPITAL BANKA AD SKOPJE
KIBSMK21,KIBSMK21XXX,CLEARING HOUSE CLEARING INTERBANKING SISTEMS AD SKOPJE
KOBSMK2X,KOBSMK2XBTB,KOMERCIJALNA BANKA AD SKOPJE
KOBSMK2X,KOBSMK2XGVB,KOMERCIJALNA BANKA AD SKOPJE
KOBSMK2X,KOBSMK2XKOB,KOMERCIJALNA BANKA AD SKOPJE
KOBSMK2X,KOBSMK2XKUB,KOMERCIJALNA BANKA AD SKOPJE
KOBSMK2X,KOBSMK2XKVB,KOMERCIJALNA BANKA AD SKOPJE
KOBSMK2X,KOBSMK2XOHB,KOMERCIJALNA BANKA AD SKOPJE
KOBSMK2X,KOBSMK2XPRB,KOMERCIJALNA BANKA AD SKOPJE
KOBSMK2X,KOBSMK2XSRB,KOMERCIJALNA BANKA AD SKOPJE
KOBSMK2X,KOBSMK2XSTB,KOMERCIJALNA BANKA AD SKOPJE
KOBSMK2X,KOBSMK2XTEB,KOMERCIJALNA BANKA AD SKOPJE
KOBSMK2X,KOBSMK2XVEB,KOMERCIJALNA BANKA AD SKOPJE
KOBSMK2X,KOBSMK2XXXX,KOMERCIJALNA BANKA AD SKOPJE
KRSKMK2X,KRSKMK2XXXX,SILK ROAD BANK AD SKOPJE
MBDPMK22,MBDPMK22XXX,DEVELOPMENT BANK OF NORTH MACEDONIA JSC SKOPJE
NBRMMK2A,NBRMMK2AXXX,NATIONAL BANK OF THE REPUBLIC OF NORTH MACEDONIA
NBRMMK2X,NBRMMK2XXXX,NATIONAL BANK OF THE REPUBLIC OF NORTH MACEDONIA
NPKMMK21,NPKMMK21XXX,INTERNATIONAL CARD SYSTEM AD SKOPJE
PELAMK21,PELAMK21XXX,KOMERCIJALNA BANKA AD SKOPJE
PMDLMK22,PMDLMK22XXX,PAYSERA MACEDONIA DOOEL (LLC) SKOPJE
PRBUMK22,PRBUMK22XXX,PROCREDIT BANK AD SKOPJE
STBBMK22,STBBMK22XXX,ALTA BANKA AD BITOLA
STOBMK2X,STOBMK2XXXX,STOPANSKA BANKA A.D. SKOPJE
TTXBMK2X,TTXBMK2XXXX,TTK BANKA AD SKOPJE
TUTNMK22,TUTNMK22XXX,NLB BANKA AD SKOPJE
UIBMMK22,UIBMMK22XXX,UNIVERSAL INVESTMENT BANK AD SKOPJE (UNIBANK)
XMAEMK21,XMAEMK21XXX,MACEDONIAN STOCK EXCHANGE
ZEMBMK21,ZEMBMK21XXX,CENTRAL COOPERATIVE BANK AD SKOPJE
