bic_8,bic,bank
AFGAMLBA,AFGAMLBAXXX,AFG BANK MALI
AFRIMLBA,AFRIMLBA022,BANK OF AFRICA - MALI
AFRIMLBA,AFRIMLBAXXX,BANK OF AFRICA - MALI
ALIMMLBA,ALIMMLBAXXX,BANQUE COMMERCIALE DU SAHEL SA
ATMLMLBA,ATMLMLBAXXX,BANQUE ATLANTIQUE MALI
BCAOMLBA,BCAOMLBAMOP,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST
BCAOMLBA,BCAOMLBASIK,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST
BCAOMLBA,BCAOMLBAXXX,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST
BDMAMLBA,BDMAMLBAXXX,"BANQUE DE DEVELOPPEMENT DU MALI, SA"
BIPMMLBA,BIPMMLBAXXX,BANQUE INTERNATIONALE POUR LE MALI
BMSMMLBA,BMSMMLBAXXX,BANQUE MALIENNE DE SOLIDARITE
BNADMLBA,BNADMLBAXXX,BANQUE NATIONALE DE DEVELOPPEMENT AGRICOLE (BNDA)
BSAHMLBA,BSAHMLBAXXX,BANQUE SAHELO-SAHARIENNE POUR L' INVESTISSEMENT ET LE COMMERCE MALI
COLIMLBA,COLIMLBAXXX,BCI-MALI
CORIMLBA,CORIMLBAXXX,CORIS BANK INTERNATIONAL MALI
DCRBMLB1,DCRBMLB1XXX,DEPOSITAIRE CENTRAL-BANQUE DE REGLE MENT (DCBR MALI)
ECOCMLBA,ECOCMLBAXXX,ECOBANK - MALI
ORBKMLBA,ORBKMLBAXXX,ORABANK COTE D'IVOIRE SUCCURSALE DU MALI
UNAFMLBA,UNAFMLBAXXX,UNITED BANK FOR AFRICA MALI SA
