bic_8,bic,bank
AGDBMMMY,AGDBMMMYXXX,ASIA GREEN DEVELOPMENT BANK PUBLIC COMPANY LIMITED
ANZBMMMY,ANZBMMMYXXX,AUSTRALIA AND NEWZEALAND BANKING GROUP LIMITED
AVABMMMY,AVABMMMYXXX,INNWA BANK LTD
AYABMMMY,AYABMMMYXXX,AYEYARWADY BANK PUBLIC COMPANY LIMITED
AYFDMMMY,AYFDMMMYXXX,AYEYARWADDY FARMERS DEVELOPMENT BANK PUBLIC COMPANY LIMITED
BIDVMMMY,BIDVMMMYXXX,"JOINT STOCK COMMERCIAL BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM, YANGON BRANCH."
BKCHMMMY,BKCHMMMYXXX,BANK OF CHINA (HONG KONG) LIMITED YANGON BRANCH
BKKBMMMY,BKKBMMMYXXX,BANGKOK BANK PUBLIC COMPANY LIMITED YANGON BRANCH
BOTKMMMY,BOTKMMMYXXX,"MUFG BANK, LTD., YANGON BRANCH"
CBMYMMMY,CBMYMMMYXXX,CENTRAL BANK OF MYANMAR
CHDDMMMY,CHDDMMMYXXX,"CONSTRUCTION, HOUSING AND INFRASTRUCTURE  DEVELOPMENT BANK LIMITED"
CPOBMMMY,CPOBMMMYKTG,CB BANK PCL
CPOBMMMY,CPOBMMMYMDY,CB BANK PCL
CPOBMMMY,CPOBMMMYMUS,CB BANK PCL
CPOBMMMY,CPOBMMMYMWD,CB BANK PCL
CPOBMMMY,CPOBMMMYXXX,CB BANK PCL
CZNBMMMY,CZNBMMMYXXX,KB BANK MYANMAR LTD
ESUNMMMY,ESUNMMMYXXX,"E.SUN COMMERCIAL BANK, LTD."
FDMFMMMY,FDMFMMMYXXX,FARMERS DEVELOPMENT BANK PUBLIC COMPANY LIMITED
FPBPMMMY,FPBPMMMYXXX,FIRST PRIVATE BANK LIMITED
GFADMMMY,GFADMMMYXXX,GLORY FARMER DEVELOPMENT BANK PUBLIC COMPANY LIMITED
IBKOMMMY,IBKOMMMYXXX,IBK MYANMAR COMPANY LIMITED
ICBCMMMY,ICBCMMMYXXX,"MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD. YANGON BRANCH"
ICBKMMMY,ICBKMMMYXXX,INDUSTRIAL AND COMMERCIAL BANK OF CHINA YANGON BRANCH
KBZBMMMY,KBZBMMMYMDY,KANBAWZA BANK LTD
KBZBMMMY,KBZBMMMYXXX,KANBAWZA BANK LTD
KODBMMMY,KODBMMMYXXX,THE KOREA DEVELOPMENT BANK YANGON BRANCH
MBBEMMMY,MBBEMMMYXXX,MALAYAN BANKING BERHAD YANGON BRANCH
MCIZMMMY,MCIZMMMYXXX,MYANMAR CITIZENS BANK LIMITED
MDPCMMMY,MDPCMMMYXXX,MINERAL DEVELOPMENT BANK PUBLIC. COMPANY LIMITED
MFTBMMMY,MFTBMMMYXXX,MYANMA FOREIGN TRADE BANK
MHCBMMMY,MHCBMMMYXXX,"MIZUHO BANK, LTD (YANGON BRANCH)"
MICBMMMY,MICBMMMYMAN,MYANMA INVESTMENT AND COMMERCIAL BANK
MICBMMMY,MICBMMMYXXX,MYANMA INVESTMENT AND COMMERCIAL BANK
MLFBMMMY,MLFBMMMYXXX,GLOBAL TREASURE BANK PUBLIC COMPANY LTD
MMABMMMY,MMABMMMYXXX,MYANMA APEX BANK LIMITED
MYEBMMMY,MYEBMMMYMDY,MYANMA ECONOMIC BANK
MYEBMMMY,MYEBMMMYXXX,MYANMA ECONOMIC BANK
MYEBMMMY,MYEBMMMYYGN,MYANMA ECONOMIC BANK
MYIDMMMY,MYIDMMMYXXX,SMALL AND MEDIUM ENTERPRISES DEVELOPMENT BANK LTD.
MYORMMMY,MYORMMMYXXX,MYANMAR ORIENTAL BANK LIMITED
MYTOMMMY,MYTOMMMYXXX,MYANMA TOURISM BANK PUBLIC COMPANY LIMITED
OCBCMMMY,OCBCMMMYXXX,OCBC BANK YANGON BRANCH
RDEVMMMY,RDEVMMMYXXX,RURAL DEVELOPMENT BANK LIMITED
SBINMMMY,SBINMMMYXXX,"STATE BANK OF INDIA, YANGON BRANCH"
SHBKMMMY,SHBKMMMYXXX,"SHINHAN BANK CO., LTD. (YANGON BRANCH)"
SICOMMMY,SICOMMMYXXX,SIAM COMMERCIAL BANK MYANMAR LIMITED
SMBCMMMY,SMBCMMMYXXX,SUMITOMO MITSUI BANKING CORPORATION YANGON BRANCH
SRUDMMMY,SRUDMMMYXXX,SHWE RURAL AND URBAN DEVELOPMENT BANK LIMITED
TFBKMMMY,TFBKMMMYXXX,TUN COMMERCIAL BANK LTD
UABMMMMY,UABMMMMYXXX,UAB BANK PCL
UBUBMMM1,UBUBMMM1XXX,CENTRAL BANK OF MYANMAR
UOVBMMMY,UOVBMMMYCMS,"UNITED OVERSEAS BANK LIMITED, YANGON BRANCH"
UOVBMMMY,UOVBMMMYXXX,"UNITED OVERSEAS BANK LIMITED, YANGON BRANCH"
UWCBMMMY,UWCBMMMYXXX,"CATHAY UNITED BANK CO., LTD. YANGON BRANCH"
YOMAMMMY,YOMAMMMYXXX,YOMA BANK LIMITED
