bic_8,bic,bank
AGMOMNUB,AGMOMNUBCUS,KHAN BANK JSC
AGMOMNUB,AGMOMNUBXXX,KHAN BANK JSC
AREFMNU1,AREFMNU1XXX,'ARD CREDIT' NBFI
ARGBMNUB,ARGBMNUBXXX,ARIG BANK OF MONGOLIA (ARIG BANK LLC)
BOGDMNUB,BOGDMNUBXXX,BOGD BANK
BOMUMNUB,BOMUMNUBXXX,BANK OF MONGOLIA (MONGOLBANK) THE CENTRAL BANK
CAXBMNUB,CAXBMNUBXXX,XACBANK
CBMNMNUB,CBMNMNUBXXX,CAPITAL BANK OF MONGOLIA
CHKHMNUB,CHKHMNUBXXX,CHINGGIS KHAAN BANK
CPITMNUB,CPITMNUBXXX,CAPITRON BANK
DBOMMNUB,DBOMMNUBXXX,DEVELOPMENT BANK OF MONGOLIA
FSNLMNU2,FSNLMNU2XXX,SENDMN NBFI
GLMTMNUB,GLMTMNUBCUS,GOLOMT BANK OF MONGOLIA
GLMTMNUB,GLMTMNUBXXX,GOLOMT BANK OF MONGOLIA
MBKNMNUB,MBKNMNUBXXX,M BANK JSC
NAIMMNUB,NAIMMNUBXXX,NATIONAL INVESTMENT BANK OF MONGOLIA
STBMMNUB,STBMMNUBXXX,STATE BANK
TBOMMNUB,TBOMMNUBXXX,TRANSBANK
TDBMMNUB,TDBMMNUBXXX,TRADE AND DEVELOPMENT BANK JSC
TRDMMNU1,TRDMMNU1XXX,TRANSPORT DEVELOPMENT BANK OF MONGOLIA
