bic_8,bic,bank
AMDHMRMR,AMDHMRMRXXX,BANQUE EL AMANA
AUBMMRMR,AUBMMRMRXXX,ALGERIAN UNION BANK-SA (AUB-SA)
BAAWMRMR,BAAWMRMRXXX,BANQUE AL WAVA MAURITANIENNE ISLAMIQUE (BAMIS)
BCEMMRMR,BCEMMRMRXXX,BANQUE CENTRALE DE MAURITANIE
BCMAMRMR,BCMAMRMRXXX,ATTIJARI BANK MAURITANIE
BIIMMRMR,BIIMMRMRXXX,BANQUE INTERNATIONALE D'INVESTISSEMENT SA
BIMMMRMR,BIMMMRMRXXX,BANQUE ISLAMIQUE DE MAURITANIE
BMSHMRMR,BMSHMRMRXXX,BANQUE AL MUAMELAT AS SAHIHA
BPMAMRMR,BPMAMRMRXXX,BANQUE POPULAIRE DE MAURITANIE
BQMIMRMR,BQMIMRMRXXX,BANQUE MAURITANIENNE DE L'INVESTISSEMENT
BQNMMRMR,BQNMMRMRXXX,BANQUE NATIONALE DE MAURITANIE
COLIMRMR,COLIMRMRXXX,BANQUE POUR LE COMMERCE ET L'INDUSTRIE
CZRZMRMR,CZRZMRMRXXX,CHINGUITTY BANK
FIAQMRMR,FIAQMRMRXXX,BANQUE DE FINANCEMENT ET D'INVESTISSEME
GBMCMRMR,GBMCMRMRNDB,GENERALE DE BANQUE DE MAURITANIE POUR L'INVESTISSEMENT ET COMMERCE
GBMCMRMR,GBMCMRMRXXX,GENERALE DE BANQUE DE MAURITANIE POUR L'INVESTISSEMENT ET COMMERCE
IBMRMRMR,IBMRMRMRXXX,INTERNATIONAL BANK OF MAURITANIA
MBICMRMR,MBICMRMR0MN,BANQUE MAURITANIENNE POUR LE COMMERCE INTERNATIONAL
MBICMRMR,MBICMRMRXXX,BANQUE MAURITANIENNE POUR LE COMMERCE INTERNATIONAL
NBMRMRMR,NBMRMRMRXXX,NOUVELLE BANQUE DE MAURITANIE
ORBKMRMR,ORBKMRMRXXX,ORABANK MAURITANIE
