bic_8,bic,bank
ABNGMTMT,ABNGMTMTXXX,THE ACCESS BANK MALTA LIMITED
ACFCMTM1,ACFCMTM1XXX,AMAGIS CAPITAL FUNDS SICAV PLC
AFSMMTM1,AFSMMTM1XXX,AMICORP FUND SERVICES MALTA LIMITED
AGRKMTMT,AGRKMTMTXXX,LIDION BANK PLC
AKBKMTMT,AKBKMTMTXXX,AKBANK T.A.S. (MALTA BRANCH)
ALUNMTM2,ALUNMTM2XXX,ALUNAFI LTD
ANFVMTMM,ANFVMTMMXXX,ANDARIA FINANCIAL SERVICES LIMITED
APAHMTMA,APAHMTMAXXX,ALPHA FX EUROPE LIMITED
APAHMTMT,APAHMTMTXXX,ALPHA FX EUROPE LIMITED
APAHMTMV,APAHMTMVXXX,ALPHA FX EUROPE LIMITED
APAYMTMT,APAYMTMTXXX,TRUST PAYMENTS (MALTA) LIMITED
APMEMTM1,APMEMTM1XXX,APRIL MEDITERRANEAN LIMITED
APSBMTMT,APSBMTMTXXX,APS BANK PLC.
ATISMTM1,ATISMTM1XXX,JESMOND MIZZI FINANCIAL ADVISORS LIMITED
AUFCMTM1,AUFCMTM1XXX,AQA UCITS FUNDS SICAV PLC
AUSVMTM1,AUSVMTM1XXX,AURORA SICAV PLC
AXERMTM1,AXERMTM1XXX,AXERIA RE LIMITED
BLLGMTMB,BLLGMTMBXXX,BALLINGER EUROPE LIMITED
BLLGMTMT,BLLGMTMTXXX,BALLINGER MARKETS LTD.
BNIFMTMT,BNIFMTMTXXX,BNF BANK PLC
CCUHMTMT,CCUHMTMTMBB,MONEYBASE LTD
CCUHMTMT,CCUHMTMTXXX,MONEYBASE LTD
CESDMTM1,CESDMTM1XXX,"CENTRAL SECURITIES DEPOSITORY, THE"
CFTEMTM1,CFTEMTM1XXX,OPENPAYD FINANCIAL SERVICES MALTA LIMITED
CFTEMTM3,CFTEMTM3XXX,OPENPAYD FINANCIAL SERVICES MALTA LIMITED
CISRMTM1,CISRMTM1XXX,W AND J COPPINI INVESTMENT SERVICES LIMITED
CITCMTMT,CITCMTMTXXX,CITCO CUSTODY LIMITED
COPXMTMT,COPXMTMTXXX,W AND J COPPINI AND CO
CPSCMTM1,CPSCMTM1XXX,A3E CAPITAL SICAV P.L.C.
CRFVMTM1,CRFVMTM1XXX,CRYSTAL FINANCE INVESTMENTS LTD.
CRXBMTMT,CRXBMTMTXXX,SHIFT4 LIMITED
CTBEMTM1,CTBEMTM1XXX,COMMBANK EUROPE LTD
CURPMTM1,CURPMTM1XXX,CURMI AND PARTNERS LIMITED
DBINMTM1,DBINMTM1XXX,D.B.R. INVESTMENTS LIMITED
DIEUMTMT,DIEUMTMTXXX,DERIV INVESTMENTS (EUROPE) LIMITED
DOAEMTM1,DOAEMTM1XXX,DOLFIN ASSET SERVICES LIMITED
ECMBMTMT,ECMBMTMTXXX,ECCM BANK PLC
EDMBMTM2,EDMBMTM2XXX,EUROPEAN DEPOSITARY BANK SA MALTA BRANCH
EFTGMTM1,EFTGMTM1XXX,EFT GLOBAL LIMITED
EISIMTM1,EISIMTM1XXX,EIGER SICAV PLC
EMOEMTM2,EMOEMTM2XXX,EMONEY PLC
EMONMTM2,EMONMTM2XXX,EMONEY PLC
EMSYMTMT,EMSYMTMTXXX,EMP SYSTEMS LIMITED
EUFVMTM1,EUFVMTM1XXX,EUROCHANGE FINANCIAL SERVICES LTD
EVNEMTM2,EVNEMTM2XXX,EVEREST NETWORK LTD.
EXAEMTM1,EXAEMTM1XXX,XNT LTD
FBHLMTMT,FBHLMTMTXXX,NEXENT BANK N.V.
FCMFMTMT,FCMFMTMTXXX,FCM BANK LIMITED
FEMAMTMA,FEMAMTMADCA,MULTITUDE BANK P.L.C.
FEMAMTMA,FEMAMTMAXXX,MULTITUDE BANK P.L.C.
FEMAMTMT,FEMAMTMTXXX,MULTITUDE BANK P.L.C.
FFSMMTM1,FFSMMTM1XXX,FEXSERV FINANCIAL SERVICES LIMITED
FIIHMTM1,FIIHMTM1XXX,FINACOM INVESTMENT HOUSE LIMITED
FIMBMTM3,FIMBMTM3XXX,FIMBANK P.L.C.
FINDMTMT,FINDMTMTXXX,FINDUCTIVE LTD
FNFIMTMM,FNFIMTMMXXX,FINBY FINANCE LIMITED
FPLSMTM1,FPLSMTM1XXX,FINANCIAL PLANNING SERVICES LIMITED
FTRMMTM1,FTRMMTM1XXX,FINCO TREASURY MANAGEMENT LIMITED
GLFAMTM1,GLFAMTM1XXX,GLOBALCAPITAL FINANCIAL MANAGEMENT LIMITED
GLFMMTM1,GLFMMTM1XXX,GLOBALCAPITAL FINANCIAL MANAGEMENT LIMITED
GROIMTM1,GROIMTM1XXX,GROWTH INVESTMENTS LIMITED
GSESMTMT,GSESMTMTXXX,GLOBAL SHARES EXECUTION SERVICES LIMITED
HFSIMTM1,HFSIMTM1XXX,HEKA FUNDS SICAV PLC
HOCIMTM1,HOCIMTM1XXX,HOGG CAPITAL INVESTMENTS LIMITED
HOCVMTM1,HOCVMTM1XXX,HOGG CAPITAL INVESTMENTS LIMITED
HSFMMTM1,HSFMMTM1XXX,HSBC GLOBAL ASSET MANAGEMENT (MALTA) LIMITED
ICDRMTMT,ICDRMTMTXXX,VALLETTA CREDIT FINANCE CORPORATION LTD
IFSMMTM2,IFSMMTM2XXX,IXARIS FINANCIAL SERVICES MALTA LIMITED
IIGBMTMT,IIGBMTMTTIP,IIG BANK (MALTA) LTD
IIGBMTMT,IIGBMTMTXXX,IIG BANK (MALTA) LTD
ITHOMTM2,ITHOMTM2XXX,A2A INTERNATIONAL HOLDINGS LIMITED
IZOLMTMT,IZOLMTMTXXX,IZOLA BANK PLC
JMFSMTM1,JMFSMTM1XXX,JESMOND MIZZI FINANCIAL SERVICES LIMITED
KOMNMTM2,KOMNMTM2XXX,KOALA MONEY LIMITED
LBMAMTMT,LBMAMTMTXXX,LOMBARD BANK MALTA PLC
MALTMTMT,MALTMTMTECM,CENTRAL BANK OF MALTA
MALTMTMT,MALTMTMTGCP,CENTRAL BANK OF MALTA
MALTMTMT,MALTMTMTXXX,CENTRAL BANK OF MALTA
MBLIMTM2,MBLIMTM2XXX,MONEY BLINK LIMITED
MBWMMTMT,MBWMMTMT010,MEDIRECT BANK (MALTA) PLC
MBWMMTMT,MBWMMTMTXXX,MEDIRECT BANK (MALTA) PLC
MFCBMTMS,MFCBMTMSXXX,MERKANTI BANK LIMITED
MFMAMTM2,MFMAMTM2XXX,MIFINITY MALTA LIMITED
MGFIMTM1,MGFIMTM1XXX,MICHAEL GRECH FINANCIAL INVESTMENT SERVICES LIMITED
MIPYMTM1,MIPYMTM1ALL,MISTRAL PAY LTD
MIPYMTM1,MIPYMTM1XXX,MISTRAL PAY LTD
MLLKMTM2,MLLKMTM2XXX,MELLIFERA KARTIERA LIMITED
MLLKMTMT,MLLKMTMTXXX,MELLIFERA KARTIERA LIMITED
MMEBMTM1,MMEBMTM10M2,HSBC BANK MALTA P.L.C.
MMEBMTMT,MMEBMTMTXXX,HSBC BANK MALTA P.L.C.
MSFVMTM1,MSFVMTM1XXX,CEEVO FINANCIAL SERVICES (MALTA) LIMITED
MTCCMTMT,MTCCMTMTSTJ,MTACC LIMITED
MTCCMTMT,MTCCMTMTXXX,MTACC LIMITED
MZNSMTM1,MZNSMTM1XXX,M.Z. INVESTMENT SERVICES LIMITED
NEXDMTM2,NEXDMTM2XXX,NEXTMARKETS TRADING LTD
OFSMMTMT,OFSMMTMTXXX,OPENPAYD FINANCIAL SERVICES MALTA LIMITED
PABYMTM2,PABYMTM2XXX,PAYBYPAGO LIMITED
PAHDMTM2,PAHDMTM2XXX,PAYHOUND LIMITED
PAPYMTMT,PAPYMTMTXXX,PAPAYA LTD
PAUUMTM1,PAUUMTM1XXX,FINXP LIMITED
PDKFMTM1,PDKFMTM1XXX,PDK FINANCIAL SERVICES LIMITED
PELDMTM2,PELDMTM2XXX,PAYDO EU LTD.
PELEMTM2,PELEMTM2XXX,PH EMI LIMITED
PESIMTM1,PESIMTM1XXX,PERSYSTEMCY SICAV PLC
PFFSMTMT,PFFSMTMTXXX,PAYFUTURE FS MT LTD.
PHPYMTM1,PHPYMTM1XXX,PHOENIX PAYMENTS LTD
PYMXMTMA,PYMXMTMAXXX,FINANCE INCORPORATED LIMITED
PYMXMTMT,PYMXMTMTMAL,FINANCE INCORPORATED LIMITED
PYMXMTMT,PYMXMTMTXXX,FINANCE INCORPORATED LIMITED
RECVMTM1,RECVMTM1001,REDHEDGE SICAV PLC
RECVMTM1,RECVMTM1XXX,REDHEDGE SICAV PLC
REVCMTM2,REVCMTM2XXX,REPLICA SICAV PLC
RICLMTM2,RICLMTM2XXX,RIGSAVE CAPITAL LIMITED
RIFSMTM1,RIFSMTM1XXX,RIZZO FARRUGIA AND CO. (STOCKBROKERS) LIMITED
RZBMMTM1,RZBMMTM1XXX,RAIFFEISEN MALTA BANK PLC
SBMTMTMT,SBMTMTMTXXX,SPARKASSE BANK MALTA PLC
SYPLMTM2,SYPLMTM2XXX,SYSTEM PAY SERVICES (MALTA) LIMITED
SYSPMTM1,SYSPMTM1XXX,SYSPAY LIMITED
TGAFMTM1,TGAFMTM1001,TGA FUNDS SICAV PLC
TGAFMTM1,TGAFMTM1002,TGA FUNDS SICAV PLC
TGAFMTM1,TGAFMTM1003,TGA FUNDS SICAV PLC
TGAFMTM1,TGAFMTM1XXX,TGA FUNDS SICAV PLC
TGBAMTMT,TGBAMTMTXXX,TURKIYE GARANTI BANKASI ANONIM SIRKETI
TGBPMTMT,TGBPMTMTXXX,CONVERA MALTA FINANCIAL LIMITED
TIMVMTM2,TIMVMTM2XXX,TIMBERLAND INVEST LIMITED
TPMLMTMT,TPMLMTMTXXX,TRANSACT PAYMENTS MALTA LIMITED
TRPEMTM1,TRPEMTM1XXX,TRUEVO PAYMENTS LTD
TRPEMTMT,TRPEMTMTXXX,TRUEVO PAYMENTS LTD
TRTEMTM1,TRTEMTM1XXX,TRADEXEC (TEX) LIMITED
TRUMMTM2,TRUMMTM2XXX,TRUMIA LIMITED
TRUMMTM3,TRUMMTM3XXX,TRUMIA LIMITED
UNOGMTM1,UNOGMTM1XXX,UNIONGOLDENPAY LTD
VAFMMTM1,VAFMMTM1XXX,BOV ASSET MANAGEMENT LIMITED
VAFRMTM1,VAFRMTM1XXX,BOV FUND SERVICES LIMITED
VALLMTMT,VALLMTMTXXX,BANK OF VALLETTA P.L.C.
VOCBMTMT,VOCBMTMTXXX,NOVUM BANK LTD
VPAYMTM2,VPAYMTM2XXX,VIVA PAYMENT SERVICES SINGLE MEMBER S.A. MALTA BRANCH
XAMAMTM2,XAMAMTM2XXX,XACE MALTA LTD
XMALMTMT,XMALMTMTCAP,MALTA STOCK EXCHANGE
XMALMTMT,XMALMTMTXXX,MALTA STOCK EXCHANGE
ZETMMTM1,ZETMMTM1XXX,ZFP EQUITY TRADING (MALTA) LIMITED
