bic_8,bic,bank
AASHMUM1,AASHMUM1XXX,AFRICAN ALLIANCE STOCKBROKING HOLDINGS LIMITED
ABCKMUMU,ABCKMUMUXXX,ABC BANKING CORPORATION LTD
AFBLMUMU,AFBLMUMU101,AFRASIA BANK LIMITED
AFBLMUMU,AFBLMUMUXXX,AFRASIA BANK LIMITED
AXSOMUM1,AXSOMUM1XXX,AXYS STOCKBROKING LTD
BAIMMUMU,BAIMMUMUXXX,BCP BANK (MAURITIUS) LTD
BARBMUMU,BARBMUMUOBU,BANK OF BARODA
BARBMUMU,BARBMUMUXXX,BANK OF BARODA
BARCMUMU,BARCMUMUCSU,ABSA BANK (MAURITIUS) LIMITED
BARCMUMU,BARCMUMUMAF,ABSA BANK (MAURITIUS) LIMITED
BARCMUMU,BARCMUMUOBU,ABSA BANK (MAURITIUS) LIMITED
BARCMUMU,BARCMUMUXXX,ABSA BANK (MAURITIUS) LIMITED
BATSMUM1,BATSMUM1XXX,BRITISH AMERICAN TOBACCO MAURITIUS
BKCHMUMU,BKCHMUMUCLR,BANK OF CHINA (MAURITIUS) LIMITED
BKCHMUMU,BKCHMUMUXXX,BANK OF CHINA (MAURITIUS) LIMITED
BKONMUMU,BKONMUMUXXX,BANK ONE LIMITED
BOMMMUPL,BOMMMUPLXXX,BANK OF MAURITIUS
BPLLMUMU,BPLLMUMUSSU,BANQUE PATRONUS LIMITEE
BPLLMUMU,BPLLMUMUXXX,BANQUE PATRONUS LIMITEE
BTBLMUMU,BTBLMUMUXXX,SILVER BANK LIMITED
CEDTMUM1,CEDTMUM1XXX,CENTRAL DEPOSITORY AND SETTLEMENT CO. LTD
CGMMMUM1,CGMMMUM1XXX,CITIGROUP GLOBAL MARKETS MAURITIUS PRIVATE LIMITED
CHHOMUM1,CHHOMUM1XXX,GS CHROMA HOLDINGS LIMITED
CIHAMUM1,CIHAMUM1XXX,CITIGROUP HOLDINGS MAURITIUS LTD
CIMUMUMU,CIMUMUMUXXX,ILLUMINA GLOBAL LTD
CLSAMUM1,CLSAMUM1XXX,CLSA (MAURITIUS) LIMITED
CMAKMUM1,CMAKMUM1XXX,CAPITAL MARKETS BROKERS LIMITED
COCUMUMU,COCUMUMUXXX,BANK OF MAURITIUS
CSHMMUM1,CSHMMUM1XXX,CITIGROUP STRATEGIC HOLDINGS MAURITIUS LTD.
