bic_8,bic,bank
BCEYMVMV,BCEYMVMVXXX,BANK OF CEYLON
CBMVMVMV,CBMVMVMVXXX,COMMERCIAL BANK OF MALDIVES PRIVATE LIMITED
HABBMVMV,HABBMVMVXXX,HABIB BANK LIMITED
HSBCMVMV,HSBCMVMVXXX,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED
MADVMVMV,MADVMVMVXXX,MALDIVES ISLAMIC BANK PLC.
MALBMVMV,MALBMVMVXXX,BANK OF MALDIVES PLC.
MCBLMVMV,MCBLMVMVXXX,THE MAURITIUS COMMERCIAL BANK (MALDIVES) PRIVATE LIMITED
MMAUMVMB,MMAUMVMBXXX,MALDIVES MONETARY AUTHORITY
MMAUMVMV,MMAUMVMVXXX,MALDIVES MONETARY AUTHORITY
SBINMVMV,SBINMVMVXXX,STATE BANK OF INDIA
