bic_8,bic,bank
BATSMWM1,BATSMWM1XXX,BRITISH AMERICAN TOBACCO (MALAWI) LTD
CDHIMWMW,CDHIMWMWXXX,CDH INVESTMENT BANK (CDHIB)
CODHMWM1,CODHMWM1XXX,CONTINENTAL DISCOUNT HOUSE LIMITED
ECOCMWMW,ECOCMWMWXXX,ECOBANK MALAWI LIMITED
FDHDMWMW,FDHDMWMWXXX,FIRST DISCOUNT HOUSE LIMITED
FDHFMWMW,FDHFMWMWXXX,FDH BANK PLC
FIMWMWM1,FIMWMWM1XXX,FINCOM BANK OF MALAWI LIMITED (FINCOM)
FRCGMWMW,FRCGMWMWXXX,"FIRST CAPITAL BANK PLC., MALAWI"
MBBCMWMW,MBBCMWMWXXX,CENTENARY BANK LIMITED
NBMAMWMW,NBMAMWMW001,NATIONAL BANK OF MALAWI
NBMAMWMW,NBMAMWMW002,NATIONAL BANK OF MALAWI
NBMAMWMW,NBMAMWMW003,NATIONAL BANK OF MALAWI
NBMAMWMW,NBMAMWMW004,NATIONAL BANK OF MALAWI
NBMAMWMW,NBMAMWMW005,NATIONAL BANK OF MALAWI
NBMAMWMW,NBMAMWMW007,NATIONAL BANK OF MALAWI
NBMAMWMW,NBMAMWMW008,NATIONAL BANK OF MALAWI
NBMAMWMW,NBMAMWMW044,NATIONAL BANK OF MALAWI
NBMAMWMW,NBMAMWMW045,NATIONAL BANK OF MALAWI
NBMAMWMW,NBMAMWMWXXX,NATIONAL BANK OF MALAWI
NBSTMWMW,NBSTMWMWXXX,NBS BANK PLC
NFBMMWMW,NFBMMWMWXXX,CENTENARY BANK LIMITED
RBMAMWMB,RBMAMWMBXXX,RESERVE BANK OF MALAWI
RBMAMWMR,RBMAMWMRXXX,RESERVE BANK OF MALAWI
RBMAMWMW,RBMAMWMWADV,RESERVE BANK OF MALAWI
RBMAMWMW,RBMAMWMWCOM,RESERVE BANK OF MALAWI
RBMAMWMW,RBMAMWMWDEP,RESERVE BANK OF MALAWI
RBMAMWMW,RBMAMWMWDEV,RESERVE BANK OF MALAWI
RBMAMWMW,RBMAMWMWDVT,RESERVE BANK OF MALAWI
RBMAMWMW,RBMAMWMWMIS,RESERVE BANK OF MALAWI
RBMAMWMW,RBMAMWMWMOF,RESERVE BANK OF MALAWI
RBMAMWMW,RBMAMWMWMRA,RESERVE BANK OF MALAWI
RBMAMWMW,RBMAMWMWORT,RESERVE BANK OF MALAWI
RBMAMWMW,RBMAMWMWPEN,RESERVE BANK OF MALAWI
RBMAMWMW,RBMAMWMWSAL,RESERVE BANK OF MALAWI
RBMAMWMW,RBMAMWMWXXX,RESERVE BANK OF MALAWI
SBICMWMX,SBICMWMXXXX,STANDARD BANK PLC
SBMWMWM1,SBMWMWM1XXX,STOCKBROKERS MALAWI LTD MALAWI
XMSWMWM1,XMSWMWM1XXX,MALAWI STOCK EXCHANGE
