bic_8,bic,bank
ACAOMXM1,ACAOMXM1XXX,ACTINVER CASA DE BOLSA SA DE CV
ACEPMXMM,ACEPMXMMXXX,AFORE COPPEL SA DE CV
ACIOMXMM,ACIOMXMMACB,BANCO ACTINVER SA INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO ACTINVER
ACIOMXMM,ACIOMXMMBRA,BANCO ACTINVER SA INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO ACTINVER
ACIOMXMM,ACIOMXMMFIT,BANCO ACTINVER SA INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO ACTINVER
ACIOMXMM,ACIOMXMMFND,BANCO ACTINVER SA INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO ACTINVER
ACIOMXMM,ACIOMXMMMMD,BANCO ACTINVER SA INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO ACTINVER
ACIOMXMM,ACIOMXMMPAY,BANCO ACTINVER SA INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO ACTINVER
ACIOMXMM,ACIOMXMMXXX,BANCO ACTINVER SA INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO ACTINVER
ACVLMXMM,ACVLMXMMXXX,"CITI MEXICO CASA DE BOLSA, S.A. DE C.V. GRUPO FINANCIERO CITI MEXICO"
AFINMXM1,AFINMXM1XXX,"CASA DE BOLSA BANORTE, S.A. DE C.V. , GRUPO FINANCIERO BANORTE"
AFIRMXMT,AFIRMXMTXXX,"BANCA AFIRME, S.A., INSTITUCION DE BANCA MULTIPLE, AFIRME GRUPO FINANCIERO"
AFOIMXMT,AFOIMXMTXXX,"AFORE INVERCAP, S.A. DE C.V."
AFXBMXMR,AFXBMXMRXXX,"AFORE XXI BANORTE, S.A. DE C.V."
AUMXMXM1,AUMXMXM1XXX,AUDI MEXICO
AUUAMXMM,AUUAMXMMXXX,"AFORE SURA, S.A. DE C.V."
AZTKMXMM,AZTKMXMMEKT,"BANCO AZTECA , S.A. INSTITUCION DE BANCA MULTIPLE"
AZTKMXMM,AZTKMXMMTVA,"BANCO AZTECA , S.A. INSTITUCION DE BANCA MULTIPLE"
AZTKMXMM,AZTKMXMMXXX,"BANCO AZTECA , S.A. INSTITUCION DE BANCA MULTIPLE"
BAOTMXM1,BAOTMXM1XXX,"CASA DE BOLSA BANORTE, S.A. DE C.V. GRUPO FINANCIEROBANORTE"
BARCMXMM,BARCMXMMXXX,BARCLAYS BANK MEXICO S.A.
BBSEMXMX,BBSEMXMXXXX,"BANCA BASE,S.A.,INSTIT. DE BANCA MULTIPLE,GRUPO FINANCIERO BASE"
BCMRMXMM,BCMRMXMMCBP,"BBVA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE"
BCMRMXMM,BCMRMXMMCOL,"BBVA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE"
BCMRMXMM,BCMRMXMMCOR,"BBVA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE"
BCMRMXMM,BCMRMXMMCSM,"BBVA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE"
BCMRMXMM,BCMRMXMMDIV,"BBVA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE"
BCMRMXMM,BCMRMXMMDOC,"BBVA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE"
BCMRMXMM,BCMRMXMMEXT,"BBVA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE"
BCMRMXMM,BCMRMXMMFGN,"BBVA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE"
BCMRMXMM,BCMRMXMMFID,"BBVA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE"
BCMRMXMM,BCMRMXMMGUA,"BBVA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE"
BCMRMXMM,BCMRMXMMHIP,"BBVA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE"
BCMRMXMM,BCMRMXMMIFI,"BBVA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE"
BCMRMXMM,BCMRMXMMIMD,"BBVA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE"
BCMRMXMM,BCMRMXMMMTY,"BBVA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE"
BCMRMXMM,BCMRMXMMOPC,"BBVA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE"
BCMRMXMM,BCMRMXMMOPE,"BBVA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE"
BCMRMXMM,BCMRMXMMPYM,"BBVA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE"
BCMRMXMM,BCMRMXMMREC,"BBVA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE"
BCMRMXMM,BCMRMXMMRFI,"BBVA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE"
BCMRMXMM,BCMRMXMMRPL,"BBVA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE"
BCMRMXMM,BCMRMXMMSEC,"BBVA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE"
BCMRMXMM,BCMRMXMMTIN,"BBVA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE"
BCMRMXMM,BCMRMXMMXXX,"BBVA MEXICO, S.A. INSTITUCION DE BANCA MULTIPLE"
BDEMMXMC,BDEMMXMCXXX,BANCO DE MEXICO
BDEMMXMF,BDEMMXMFXXX,BANCO DE MEXICO
BDEMMXMM,BDEMMXMMXXX,BANCO DE MEXICO
BIAFMXMT,BIAFMXMTXXX,"BANCO DE INVERSION AFIRME,S.A., INSTITUCION DE BANCA MULTIPLE, AFIRME GRUPO FINANCIERO"
BIBPMXMM,BIBPMXMMXXX,"BANCO BANCREA, S.A., INSTITUCION DE BANCA MULTIPLE"
BIMEMXMM,BIMEMXMMCLS,"HSBC MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE,GRUPO FINANCIERO HSBC"
BIMEMXMM,BIMEMXMMXXX,"HSBC MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE,GRUPO FINANCIERO HSBC"
BITLMXM1,BITLMXM1XXX,"HSBC CASA DE BOLSA, S.A. DE C.V., GRUPO FINANCIERO HSBC"
BIVLMXMM,BIVLMXMMXXX,"BOLSA INSTITUCIONAL DE VALORES, S.A. DE C.V."
BJIOMXML,BJIOMXMLXXX,"BANCO DEL BAJIO, S.A., INSTITUCION DE BANCA MULTIPLE"
BKCHMXMX,BKCHMXMXXXX,"BANK OF CHINA MEXICO, SA, INSTITUCION DE BANCO MULTIPLE"
BKOLMXMM,BKOLMXMMXXX,"BANKAOOL SA, INSTITUCION DE BANCA MULTIPLE"
BMSXMXM1,BMSXMXM1NAS,"BANCO SANTANDER MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE,"
BMSXMXMM,BMSXMXMMLMS,"BANCO SANTANDER MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE,"
BMSXMXMM,BMSXMXMMSSS,"BANCO SANTANDER MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE,"
BMSXMXMM,BMSXMXMMXXX,"BANCO SANTANDER MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE,"
BNCEMXMM,BNCEMXMMXXX,"BANCO NACIONAL DE COMERCIO EXTERIOR, S. N. C."
BNMXMXMM,BNMXMXMMGUA,BANCO NACIONAL DE MEXICO S.A. INTEGRANTE DEL GRUPO FINANCIERO BANAMEX
BNMXMXMM,BNMXMXMMINV,BANCO NACIONAL DE MEXICO S.A. INTEGRANTE DEL GRUPO FINANCIERO BANAMEX
BNMXMXMM,BNMXMXMMLEO,BANCO NACIONAL DE MEXICO S.A. INTEGRANTE DEL GRUPO FINANCIERO BANAMEX
BNMXMXMM,BNMXMXMMMTI,BANCO NACIONAL DE MEXICO S.A. INTEGRANTE DEL GRUPO FINANCIERO BANAMEX
BNMXMXMM,BNMXMXMMMTY,BANCO NACIONAL DE MEXICO S.A. INTEGRANTE DEL GRUPO FINANCIERO BANAMEX
BNMXMXMM,BNMXMXMMPUE,BANCO NACIONAL DE MEXICO S.A. INTEGRANTE DEL GRUPO FINANCIERO BANAMEX
BNMXMXMM,BNMXMXMMPYM,BANCO NACIONAL DE MEXICO S.A. INTEGRANTE DEL GRUPO FINANCIERO BANAMEX
BNMXMXMM,BNMXMXMMXXX,BANCO NACIONAL DE MEXICO S.A. INTEGRANTE DEL GRUPO FINANCIERO BANAMEX
BNNMMXMM,BNNMMXMMXXX,"BANCOPPEL, S.A., INSTITUCION DE BANCA MULTIPLE"
BNPAMXMM,BNPAMXMM2SS,"BNP PARIBAS MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE"
BNPAMXMM,BNPAMXMMXXX,"BNP PARIBAS MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE"
BOFAMXMX,BOFAMXMXCLS,"BANK OF AMERICA MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE"
BOFAMXMX,BOFAMXMXECL,"BANK OF AMERICA MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE"
BOFAMXMX,BOFAMXMXFSM,"BANK OF AMERICA MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE"
BOFAMXMX,BOFAMXMXMEX,"BANK OF AMERICA MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE"
BOFAMXMX,BOFAMXMXMLM,"BANK OF AMERICA MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE"
BOFAMXMX,BOFAMXMXPLX,"BANK OF AMERICA MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE"
BOFAMXMX,BOFAMXMXVAM,"BANK OF AMERICA MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE"
BOFAMXMX,BOFAMXMXXXX,"BANK OF AMERICA MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE"
BOTKMXMX,BOTKMXMXXXX,MUFG BANK MEXICO S.A. INSTITUCION DE BANCA MULTIPLE FILIAL
BPAOMXM1,BPAOMXM1XXX,"BTG PACTUAL CASA DE BOLSA, SA. DE C"
BRRNMXM1,BRRNMXM1XXX,"BARING, S.A. DE C.V., CASA DE BOLSA"
BSABMXMM,BSABMXMMXXX,BANCO SABADELL S.A. INSTITUCION DE BANCA MULTIPLE
BSMXMXMM,BSMXMXMMCAB,"BANCO S3 CACEIS MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE"
BSMXMXMM,BSMXMXMMCAF,"BANCO S3 CACEIS MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE"
BSMXMXMM,BSMXMXMMCAI,"BANCO S3 CACEIS MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE"
BSMXMXMM,BSMXMXMMCAL,"BANCO S3 CACEIS MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE"
BSMXMXMM,BSMXMXMMCAN,"BANCO S3 CACEIS MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE"
BSMXMXMM,BSMXMXMMCAT,"BANCO S3 CACEIS MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE"
BSMXMXMM,BSMXMXMMCAY,"BANCO S3 CACEIS MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE"
BSMXMXMM,BSMXMXMMSGA,"BANCO S3 CACEIS MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE"
BSMXMXMM,BSMXMXMMXXX,"BANCO S3 CACEIS MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE"
CABDMXM1,CABDMXM1XXX,"CASA DE BOLSA SANTANDER, S.A. DE C.V., GRUPO FINANCIERO SANTANDER MEXICO"
CBAKMXM1,CBAKMXM1XXX,"CASA DE BOLSA VE POR MAS, S.A. DE CV ., GRUPO FINANCIERO VE POR MAS"
CBFAMXM1,CBFAMXM1XXX,"CASA DE BOLSA FINAMEX, S.A.B. DE C.V."
CBOBMXM1,CBOBMXM1XXX,"CASA DE BOLSA BANCOMER, S.A. DE C.V ."
CBOIMXM1,CBOIMXM1XXX,"CASA DE BOLSA INVERLAT, S.A. DE C.V"
CFIPMXMM,CFIPMXMMXXX,"AFORE BANAMEX, S.A DE C.V. INTEGRANTE DEL GRUPO FINANCIERO BANAMEX"
CHASMXMX,CHASMXMXCCS,BANCO J.P. MORGAN S.A.
CHASMXMX,CHASMXMXGTS,BANCO J.P. MORGAN S.A.
CHASMXMX,CHASMXMXOCC,BANCO J.P. MORGAN S.A.
CHASMXMX,CHASMXMXXXX,BANCO J.P. MORGAN S.A.
CITIMXMM,CITIMXMMCVT,"BANCO CITI MEXICO S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO CITI MEXICO"
CITIMXMM,CITIMXMMGUA,"BANCO CITI MEXICO S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO CITI MEXICO"
CITIMXMM,CITIMXMMINV,"BANCO CITI MEXICO S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO CITI MEXICO"
CITIMXMM,CITIMXMMLEO,"BANCO CITI MEXICO S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO CITI MEXICO"
CITIMXMM,CITIMXMMMTI,"BANCO CITI MEXICO S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO CITI MEXICO"
CITIMXMM,CITIMXMMMTY,"BANCO CITI MEXICO S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO CITI MEXICO"
CITIMXMM,CITIMXMMPUE,"BANCO CITI MEXICO S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO CITI MEXICO"
CITIMXMM,CITIMXMMPYM,"BANCO CITI MEXICO S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO CITI MEXICO"
CITIMXMM,CITIMXMMXXX,"BANCO CITI MEXICO S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO CITI MEXICO"
CSFBMXMM,CSFBMXMMVIS,"BANCO CREDIT SUISSE (MEXICO), S.A."
CSFBMXMM,CSFBMXMMXXX,"BANCO CREDIT SUISSE (MEXICO), S.A."
CTIBMXM1,CTIBMXM1XXX,"CASA DE CAMBIO TIBER, S.A. DE C.V."
CUAFMXMX,CUAFMXMXXXX,"FINANCIERA CUALLIX, SA DE CV, SOFOM ENR"
DEUTMXM2,DEUTMXM2XXX,"DEUTSCHE SECURITIES, S.A. DE C.V. CASA DE BOLSA"
ECAMMXM1,ECAMMXM1XXX,ESTRATEGIA CAMBIARIA CASE DE CAMBIO S.A. DE C.V.
EJERMXMM,EJERMXMMXXX,"BANCO NACIONAL DEL EJERCITO FUERZA AEREA Y ARMADA, S.N.C."
FMCBMXM1,FMCBMXM1XXX,"CASA DE BOLSA BANORTE, S.A. DE C.V. , GRUPO FINANCIERO BANORTE"
FRIPMXM1,FRIPMXM1XXX,FITCH MEXICO S.A. DE C.V.
GBMSMXM1,GBMSMXM1XXX,"GRUPO BURSATIL MEXICANO, S.A. DE C.V., CASA DE BOLSA"
GBMSMXMX,GBMSMXMXXXX,"GRUPO BURSATIL MEXICANO, S.A. DE C.V., CASA DE BOLSA"
GOLDMXM1,GOLDMXM1XXX,"GOLDMAN SACHS MEXICO CASA DE BOLSA, S.A. DE C.V."
GOLDMXME,GOLDMXMEXXX,"GOLDMAN SACHS MEXICO CASA DE BOLSA, S.A. DE C.V."
GROOMXM1,GROOMXM1XXX,"GOLDMAN SACHS GROUP Y COMPANIA, S. DE R.L. DE C.V."
GSGCMXM1,GSGCMXM1XXX,"GOLDMAN SACHS GLOBAL COMMODITIES, MEXICO, S. DE R.L. DE C.V."
GSMSMXM1,GSMSMXM1XXX,"GOLDMAN SACHS MEXICO, CASA DE BOLSA, S.A. DE C.V."
HSBCMXMM,HSBCMXMMXXX,"HSBC CASA DE BOLSA, S.A. DE C.V., GRUPO FINANCIERO HSBC"
ICABMXMM,ICABMXMMXXX,"KAPITAL MEXICO CASA DE BOLSA, S.A. DE C.V., KAPITAL MEXICO GRUPO FINANCIERO"
ICBKMXMM,ICBKMXMMXXX,INDUSTRIAL AND COMMERCIAL BANK OF CHINA MEXICO SA INSTITUCION DE BANCA MULTIPLE
ICDBMXM1,ICDBMXM1XXX,INTERACCIONES CASA DE BOLSA S.A. DE C.V.
INBUMXMM,INBUMXMMXXX,"BANCO INBURSA S.A.,INSTITUCION DE BANCAMULTIPLEGRUPOFINANCIEROINBURSA"
INDEMX21,INDEMX21XXX,"S.D. INDEVAL, SA DE C.V."
INDEMXM3,INDEMXM3XXX,"S.D. INDEVAL, SA DE C.V."
INDEMXMM,INDEMXMMXXX,"S.D. INDEVAL, SA DE C.V."
INTEMXMM,INTEMXMMXXX,INTERCAM BANCO SA INSTITUCION DE BANCA MULTIPLE INTERCAM GRUPO FINANCIERO
INXXMXMM,INXXMXMMXXX,"BANCO INVEX S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO"
