bic_8,bic,bank
ABFUMYK1,ABFUMYK1XXX,ABRAR FUTURES SDN BHD
ACFBMYK1,ACFBMYK1XXX,AFFIN BANK BERHAD
AEAMMYK1,AEAMMYK1XXX,MAYBANK INVESTMENT BANK BERHAD
AFBQMYKL,AFBQMYKLXXX,MBSB BANK BERHAD
AFIDMYK1,AFIDMYK1XXX,AFFIN HWANG INVESTMENT BANK BERHAD
AFOBMYK1,AFOBMYK1XXX,AMANAH FUTURES AND OPTIONS SDN BHD
AFUOMYK1,AFUOMYK1XXX,AFFIN HWANG INVESTMENT BANK BERHAD
AGISMYK1,AGISMYK1XXX,BANK PERTANIAN MALAYSIA BERHAD
AGOBMY21,AGOBMY21XXX,BANK PERTANIAN MALAYSIA BERHAD- AGROBANK
AGOBMYKL,AGOBMYKLXXX,BANK PERTANIAN MALAYSIA BERHAD- AGROBANK
AIACMYK1,AIACMYK1GIO,AIA BHD.
AIACMYKL,AIACMYKLXXX,AIA BHD.
AIBBMYKL,AIBBMYKLXXX,AFFIN ISLAMIC BANK BERHAD
AIBEMYK1,AIBEMYK1XXX,AIA BERHAD
AINEMY22,AINEMY22XXX,ASIA NEXUS INVESTMENT BANK LTD
AIPMMYK1,AIPMMYK1XXX,AIA PENSION AND ASSET MANAGEMENT SDN BHD
AISLMYKL,AISLMYKLXXX,AMBANK ISLAMIC BERHAD
ALOSMY21,ALOSMY21XXX,ALLIANCE INVESTMENT BANK BERHAD
ALSRMYKL,ALSRMYKLXXX,ALLIANCE ISLAMIC BANK BERHAD
AMBMMYK1,AMBMMYK1XXX,AMANAH BUTLER MALAYSIA SDN BHD
AMCBMYK1,AMCBMYK1XXX,AMCARD SERVICES BERHAD
AMFBMYK1,AMFBMYK1XXX,ARAB MALAYSIAN FINANCE BERHAD
AMMBMY21,AMMBMY21XXX,AMINVESTMENT BANK BERHAD
AMMBMYKL,AMMBMYKLXXX,AMINVESTMENT BANK BERHAD
AMMEMYK1,AMMEMYK1XXX,AMFUNDS MANAGEMENT BERHAD
AMSDMYK1,AMSDMYK1XXX,AMINVESTMENT BANK BERHAD
AMTBMYK1,AMTBMYK1XXX,AMANAHRAYA TRUSTEES BERHAD
AMTBMYKL,AMTBMYKLXXX,AMANAHRAYA TRUSTEES BERHAD
AMUTMYK1,AMUTMYK1XXX,AMFUNDS MANAGEMENT BERHAD
AOFMMYK1,AOFMMYK1XXX,AOF FUTURES SDN. BHD.
APEXMY21,APEXMY21XXX,JF APEX SECURITIES BERHAD
AQINMYK2,AQINMYK2XXX,AQUA INVESTMENT BANK LTD
ARBKMYKL,ARBKMYKLLAB,AMBANK (M) BERHAD
ARBKMYKL,ARBKMYKLXXX,AMBANK (M) BERHAD
ARMDMYK1,ARMDMYK1XXX,AMBANK (M) BERHAD
ASMMMYK1,ASMMMYK1XXX,PMB INVESTMENT BERHAD
ASNCMY2L,ASNCMY2LXXX,ASIA INVESTMENT BANKING CORPORATION
ATBLMY21,ATBLMY21XXX,ASIAN TRADE INVESTMENT BANK LTD
BAHLMY2A,BAHLMY2AXXX,BANK AL HABIB LIMITED
BATSMY21,BATSMY21XXX,BRITISH AMERICAN TOBACCO GSD (KUALA LUMPUR) SDN BHD
BATSMYK1,BATSMYK1XXX,BAT ASPAC SERVICE CENTRE SDN. BHD
BBFTMYK1,BBFTMYK1XXX,BBMB FUTURES SDN BHD
BBUTMYK1,BBUTMYK1XXX,BBMB UNIT TRUST MANAGEMENT BERHAD
BIMBMYKL,BIMBMYKLXXX,BANK ISLAM MALAYSIA BERHAD
BKCHMYKL,BKCHMYKLCLR,BANK OF CHINA (MALAYSIA) BERHAD
BKCHMYKL,BKCHMYKLXXX,BANK OF CHINA (MALAYSIA) BERHAD
BKEWMYK1,BKEWMYK1XXX,BANK MUAMALAT MALAYSIA BERHAD
BKIMMYK1,BKIMMYK1XXX,BANK INDUSTRI MALAYSIA BERHAD
BKKBMYKL,BKKBMYKLXXX,BANGKOK BANK BERHAD
BKRMMYKL,BKRMMYKLXXX,BANK KERJASAMA RAKYAT MALAYSIA BERHAD (BANK RAKYAT)
BMBBMYK1,BMBBMYK1XXX,ALLIANCE INVESTMENT BANK BERHAD
BMDRMYK1,BMDRMYK1XXX,BURSA MALAYSIA DERIVATIVES CLEARING
BMMBMYKL,BMMBMYKLTFD,BANK MUAMALAT MALAYSIA BERHAD
BMMBMYKL,BMMBMYKLXXX,BANK MUAMALAT MALAYSIA BERHAD
BMSCMYK1,BMSCMYK1XXX,BURSA MALAYSIA SECURITIES CLEARING SDN. BHD.
BNMAMY2K,BNMAMY2KXXX,BANK NEGARA MALAYSIA
BNMAMYK3,BNMAMYK3XXX,BANK NEGARA MALAYSIA
BNMAMYKL,BNMAMYKLXXX,BANK NEGARA MALAYSIA
BNPAMY21,BNPAMY21XXX,BNP PARIBAS MALAYSIA BERHAD
BNPAMYKA,BNPAMYKAXXX,BNP PARIBAS
BNPAMYKL,BNPAMYKLSPI,BNP PARIBAS MALAYSIA BERHAD
BNPAMYKL,BNPAMYKLXXX,BNP PARIBAS MALAYSIA BERHAD
BOBEMYK2,BOBEMYK2XXX,BOOST BANK BERHAD
