bic_8,bic,bank
ABMZMZM1,ABMZMZM10MB,"ABSA BANK MOCAMBIQUE, SA"
ABMZMZM1,ABMZMZM10MN,"ABSA BANK MOCAMBIQUE, SA"
ABMZMZM1,ABMZMZM1XXX,"ABSA BANK MOCAMBIQUE, SA"
ABMZMZMA,ABMZMZMAXXX,"ABSA BANK MOCAMBIQUE, SA"
ABNGMZMA,ABNGMZMAXXX,"ACCESS BANK MOZAMBIQUE, SA"
BATSMZ31,BATSMZ31XXX,BRITISH AMERICAN TOBACCO MOZAMBIQUE LIMITADA
BATSMZM1,BATSMZM1XXX,SOCIEDADE AGRICOLA DE TOBACOS LIMITADA
BDIGMZMA,BDIGMZMAXXX,"BANCO BIG MOCAMBIQUE, S.A."
BIMOMZMX,BIMOMZMXFIN,"BANCO INTERNACIONAL DE MOCAMBIQUE, S.A."
BIMOMZMX,BIMOMZMXINT,"BANCO INTERNACIONAL DE MOCAMBIQUE, S.A."
BIMOMZMX,BIMOMZMXXXX,"BANCO INTERNACIONAL DE MOCAMBIQUE, S.A."
BMOCMZM1,BMOCMZM10MB,BANCO DE MOCAMBIQUE
BMOCMZM1,BMOCMZM10MN,BANCO DE MOCAMBIQUE
BMOCMZMA,BMOCMZMAXXX,BANCO DE MOCAMBIQUE
BMOCMZMP,BMOCMZMPXXX,BANCO DE MOCAMBIQUE
BNIMMZMP,BNIMMZMPXXX,"BANCO NACIONAL DE INVESTIMENTO, SA"
CGDIMZMA,CGDIMZMAXXX,"BANCO COMERCIAL E DE INVESTIMENTOS, SA."
ECOCMZMP,ECOCMZMPXXX,"ECOBANK MOCAMBIQUE, S.A."
FIRNMZMX,FIRNMZMXXXX,"FNB MOZAMBIQUE,SA"
FRCGMZMA,FRCGMZMAXXX,FIRST CAPITAL BANK SA
ILBKMZM1,ILBKMZM1XXX,BANCO PORTUGUES ATLANTICO
MAISMZMA,MAISMZMAXXX,"BANCO MAIS, SA"
MERVMZM1,MERVMZM1XXX,"NOSSO BANCO, SA"
MOZAMZMA,MOZAMZMAXXX,MOZA BANCO SA
SBICMZM1,SBICMZM10MB,STANDARD BANK SA
SBICMZM1,SBICMZM10MN,STANDARD BANK SA
SBICMZM1,SBICMZM1XXX,STANDARD BANK SA
SBICMZMX,SBICMZMXXXX,STANDARD BANK SA
SCBLMZM1,SCBLMZM1XXX,STANDARD CHARTERED BANK OF MOZAMBIQUE
UNAFMZMA,UNAFMZMAXXX,"UBA MOCAMBIQUE,SA"
UNICMZMX,UNICMZMXXXX,"NEDBANK MOCAMBIQUE, S.A."
VSTBMZMA,VSTBMZMAXXX,"VISTA BANK MOCAMBIQUE SU, S.A."
