bic_8,bic,bank
ABNGNANA,ABNGNANAXXX,ACCESS BANK (NAMIBIA) LIMITED
ABSANAN1,ABSANAN1XXX,ABSA BANK NAMIBIA LIMITED
BAPANANX,BAPANANXXXX,"BANCO PRIVADO ATLANTICO - EUROPA S.A., NAMIBIA BRANCH"
BBNLNANA,BBNLNANAXXX,BANK BIC NAMIBIA LIMITED
BWLINANX,BWLINANXCHM,BANK WINDHOEK LIMITED
BWLINANX,BWLINANXXXX,BANK WINDHOEK LIMITED
CBKNNANA,CBKNNANAPCH,BANK OF NAMIBIA
CBKNNANA,CBKNNANAXXX,BANK OF NAMIBIA
CBKNNANB,CBKNNANBXXX,BANK OF NAMIBIA
CBKNNANX,CBKNNANXIPN,BANK OF NAMIBIA
CBKNNANX,CBKNNANXXXX,BANK OF NAMIBIA
CEUDNAN2,CEUDNAN2XXX,CENTRAL SECURITIES DEPOSITORY LIMITED
CSIHNAN1,CSIHNAN1XXX,CITY SAVINGS AND INVESTMENT BANK HOLDINGS LTD.
FIRNNANX,FIRNNANXCUS,FIRST NATIONAL BANK OF NAMIBIA LTD
FIRNNANX,FIRNNANXXXX,FIRST NATIONAL BANK OF NAMIBIA LTD
FLMSNANX,FLMSNANXXXX,SIMONIS STORM SECURITIES (PTY) LTD
HYSANAN1,HYSANAN1XXX,HUYSAMER STALS INC.
IHNANANX,IHNANANXXXX,PSG WEALTH MANAGEMENT (NAMIBIA) (PROPRIETARY) LIMITED
IJGLNANA,IJGLNANAXXX,IJG SECURITIES (PTY) LTD
LFSGNANA,LFSGNANAXXX,LETSHEGO BANK NAMIBIA LIMITED
NABBNAN2,NABBNAN2XXX,NAMIBIA POST LTD
NAMCNANX,NAMCNANXXXX,NAMCLEAR (PTY) LIMITED
NBOENANX,NBOENANXXXX,CIRRUS SECURITIES (PTY) LTD
NCSDNANX,NCSDNANXFMS,CENTRAL SECURITIES DEPOSITORY LIMITED
NCSDNANX,NCSDNANXXXX,CENTRAL SECURITIES DEPOSITORY LIMITED
NEDSNANX,NEDSNANXXXX,NEDBANK NAMIBIA LIMITED
SBNMNANX,SBNMNANXLIB,STANDARD BANK NAMIBIA LIMITED
SBNMNANX,SBNMNANXXXX,STANDARD BANK NAMIBIA LIMITED
TRNANANX,TRNANANXXXX,TRUSTCO BANK NAMIBIA
XNAMNAN1,XNAMNAN1XXX,NAMIBIAN STOCK EXCHANGE
