bic_8,bic,bank
AFRINENI,AFRINENIXXX,BANK OF AFRICA NIGER
ATNENENI,ATNENENIXXX,BANQUE ATLANTIQUE NIGER
BANENENI,BANENENIXXX,BANQUE AGRICOLE DU NIGER
BCAONENI,BCAONENIMAR,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST
BCAONENI,BCAONENIXXX,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST
BCAONENI,BCAONENIZIN,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST
BCDNNENI,BCDNNENIXXX,BANQUE COMMERCIALE DU NIGER
BHDNNENI,BHDNNENIXXX,BANQUE DE L'HABITAT DU NIGER - BHN
BIANNENI,BIANNENIXXX,BANQUE INTERNATIONALE POUR L'AFRIQUE AU NIGER
BICVNENI,BICVNENIXXX,BANQUE ISLAMIQUE DU NIGER
BRMXNENI,BRMXNENIXXX,BANQUE REGIONALE DE MARCHES
BSAHNENI,BSAHNENIXXX,BANQUE SAHELO-SAHARIENNE POUR L' INVESTISSEMENT ET LE COMMERCE NIGER
CBAONENI,CBAONENIXXX,CBAO GROUPE ATTIJARIWAFA BANK
CORINENI,CORINENIXXX,CORIS BANK INTERNATIONAL SA-BRANCH OF NIGER
DCRRNEN1,DCRRNEN1XXX,DEPOSITAIRE CENTRAL-BANQUE DE REGLE MENT (DCBR NIGER)
ECOCNENI,ECOCNENIXXX,ECOBANK NIGER
INNINEN1,INNINEN1XXX,BANQUE INTERNATIONALE POUR LE COMME RCE ET INDUSTRIE DU NIGER
NIBANEN1,NIBANEN1XXX,NIGERIA INTERNATIONAL BANK
ORBKNENI,ORBKNENIXXX,ORABANK COTE D'IVOIRE SUCCURSALE DU NIGER
SOCNNENI,SOCNNENIXXX,SOCIETE NIGERIENNE DE BANQUE
