bic_8,bic,bank
ABNGNGLA,ABNGNGLAXXX,ACCESS BANK PLC
AFFCNGLA,AFFCNGLAXXX,AFRICA FINANCE CORPORATION
AMNGNGLA,AMNGNGLAXXX,ASSET MANAGEMENT CORPORATION OF NIGERIA
AMRGNGLA,AMRGNGLAXXX,ALPHA MORGAN BANK LIMITED
ASNINGL2,ASNINGL2XXX,ABSA SECURITIES NIGERIA LIMITED
ATTNNGLA,ATTNNGLAXXX,ALTERNATIVE BANK LIMITED
BOIYNGLA,BOIYNGLAXXX,BANK OF INDUSTRY
CBNINGBG,CBNINGBGXXX,"CENTRAL BANK OF NIGERIA,ABUJA"
CBNINGLA,CBNINGLANGA,"CENTRAL BANK OF NIGERIA,ABUJA"
CBNINGLA,CBNINGLAXXX,"CENTRAL BANK OF NIGERIA,ABUJA"
CBNINGLG,CBNINGLGXXX,"CENTRAL BANK OF NIGERIA,ABUJA"
CHDENGL1,CHDENGL1XXX,CHAPEL HILL DENHAM SECURITIES LIMITED
CIEHNGL1,CIEHNGL1XXX,CITY EXPRESS BANK HOUSE
CITINGLA,CITINGLATRD,CITIBANK NIGERIA LIMITED
CITINGLA,CITINGLAXXX,CITIBANK NIGERIA LIMITED
CMBBNGLA,CMBBNGLAXXX,CORONATION MERCHANT BANK LIMITED
CSCYNGLA,CSCYNGLAXXX,CENTRAL SECURITIES CLEARING SYSTEM PLC
CSSKNGL1,CSSKNGL1XXX,CSL STOCKBROKERS LIMITED
CUGENGL2,CUGENGL2XXX,CURRENZO NIGERIA LIMITED
DEVCNGL1,DEVCNGL1XXX,DEVCOM BANK LTD
ECOCNGLA,ECOCNGLAXXX,ECOBANK NIGERIA LIMITED
EFHNNGL1,EFHNNGL1XXX,EFG HERMES NIGERIA LIMITED
FBNINGLA,FBNINGLAGCS,FIRST BANK OF NIGERIA LTD
FBNINGLA,FBNINGLAPYT,FIRST BANK OF NIGERIA LTD
FBNINGLA,FBNINGLAWAL,FIRST BANK OF NIGERIA LTD
FBNINGLA,FBNINGLAXXX,FIRST BANK OF NIGERIA LTD
FCMBNGLA,FCMBNGLAWEB,FIRST CITY MONUMENT BANK LIMITED
FCMBNGLA,FCMBNGLAXXX,FIRST CITY MONUMENT BANK LIMITED
FIDTNGLA,FIDTNGLAXXX,FIDELITY BANK PLC
FIRNNGLA,FIRNNGLARMS,RAND MERCHANT BANK NIGERIA LIMITED
FIRNNGLA,FIRNNGLAXXX,RAND MERCHANT BANK NIGERIA LIMITED
FMDQNGLA,FMDQNGLAXXX,FMDQ SECURITIES EXCHANGE LIMITED
FOIBNGL1,FOIBNGL1XXX,FORTUNE INTERNATIONAL BANC PLC
FSDHNGLA,FSDHNGLAXXX,FSDH MERCHANT BANK LTD
FUMRNGL1,FUMRNGL1XXX,FIDELITY UNION MERCHANT BANK LIMITE D
GBNPNGL1,GBNPNGL1XXX,GULF BANK OF NIGERIA PLC
GLOUNGLA,GLOUNGLAXXX,GLOBUS BANK LIMITED
GMBLNGLA,GMBLNGLAXXX,GREENWICH MERCHANT BANK LIMITED
GTBINGLA,GTBINGLAIFP,GUARANTY TRUST BANK LIMITED
GTBINGLA,GTBINGLAXXX,GUARANTY TRUST BANK LIMITED
HALMNGL1,HALMNGL1XXX,HALLMARK BANK PLC
HPSBNGLA,HPSBNGLAXXX,HOPE PAYMENT SERVICE BANK LTD
ICITNGLA,ICITNGLAXXX,UNITY BANK PLC
IEFCNGL1,IEFCNGL1XXX,INDORAMA ELEME FERTILIZER AND CHEMICALS LIMITED
INLHNGL1,INLHNGL1XXX,INDORAMA ELEME PETROCHEMICALS LIMITED
INTWNGL2,INTWNGL2XXX,INTERSWITCH LIMITED
JAIZNGLA,JAIZNGLAXXX,JAIZ BANK PLC
KACBNG21,KACBNG21XXX,FIRST CITY MONUMENT BANK LTD
KDHLNGLA,KDHLNGLAXXX,FBNQUEST MERCHANT BANK LIMITED
LBNINGL1,LBNINGL1XXX,LOBE BANK OF NIGERIA
LOTUNGLA,LOTUNGLAXXX,LOTUS BANK LIMITED
