bic_8,bic,bank
ATTDNIMA,ATTDNIMAXXX,"BANCO ATLANTIDA NICARAGUA, SOCIEDAD ANONIMA"
BAMCNIMA,BAMCNIMAXXX,"BANCO DE AMERICA CENTRAL, S.A."
BAPRNIMA,BAPRNIMAXXX,BANCO DE LA PRODUCCION SOCIEDAD ANONIMA
BBDFNIMA,BBDFNIMAXXX,"BANCO DE FINANZAS, S.A. (BDF)"
BCCENIMA,BCCENIMAXXX,"BANCO LAFISE BANCENTRO, S.A."
BCEANIM1,BCEANIM1XXX,"BANCO DE AMERICA CENTRAL, SA"
BCIENIM1,BCIENIM1XXX,BANCO CENTROAMERICANO DE INTEGRACIO N ECONOMICA
BCNINIMA,BCNINIMAXXX,BANCO CENTRAL DE NICARAGUA
BEUCNIM1,BEUCNIM1XXX,"BANCO EUROPEO DE CENTRO AMERICA, SA"
BFLPNIM2,BFLPNIM2XXX,BANCO DE FOMENTO A LA PRODUCCION
BUNONIMA,BUNONIMAXXX,BANCO FICOHSA NICARAGUA S.A.
BVISNIM1,BVISNIM1XXX,BANCO DE LA VIVIENDA DE NICARAGUA
CNVCNIM1,CNVCNIM1XXX,CENTRAL NICARAGUENSE DE VALORES S.A.
PRCBNIMA,PRCBNIMAXXX,BANCO AVANZ S.A.
