bic_8,bic,bank
AAEMNL21,AAEMNL21XXX,ANTHOS FUND AND ASSET MANAGEMENT B.V.
ABNANL2A,ABNANL2AAAA,ABN AMRO BANK N.V
ABNANL2A,ABNANL2AAGS,ABN AMRO BANK N.V
ABNANL2A,ABNANL2AALC,ABN AMRO BANK N.V
ABNANL2A,ABNANL2ACBT,ABN AMRO BANK N.V
ABNANL2A,ABNANL2ACIT,ABN AMRO BANK N.V
ABNANL2A,ABNANL2ACLS,ABN AMRO BANK N.V
ABNANL2A,ABNANL2ACOL,ABN AMRO BANK N.V
ABNANL2A,ABNANL2ACVA,ABN AMRO BANK N.V
ABNANL2A,ABNANL2AMAR,ABN AMRO BANK N.V
ABNANL2A,ABNANL2AMEL,ABN AMRO BANK N.V
ABNANL2A,ABNANL2APIP,ABN AMRO BANK N.V
ABNANL2A,ABNANL2ARET,ABN AMRO BANK N.V
ABNANL2A,ABNANL2ASFI,ABN AMRO BANK N.V
ABNANL2A,ABNANL2ASOB,ABN AMRO BANK N.V
ABNANL2A,ABNANL2AWSS,ABN AMRO BANK N.V
ABNANL2A,ABNANL2AXXX,ABN AMRO BANK N.V
ABNCNL2A,ABNCNL2AABC,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2ABIN,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2ABUX,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2ACAN,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2ACBC,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2ACCE,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2ACOI,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2ACOL,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2ACOO,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2ACUS,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2AECP,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2AENE,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2AFGI,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2AFLA,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2AFLR,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2AFND,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2AFOR,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2AGIR,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2AGMK,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2AHCH,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2AICN,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2AINV,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2AISA,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2AJFB,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2AJFD,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2ALIG,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2ALLX,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2ANPL,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2ARA1,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2ASAX,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2ASBL,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2ASFS,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2ASYD,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2ASYN,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2ATBD,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2AUSA,ABN AMRO CLEARING BANK N.V.
ABNCNL2A,ABNCNL2AXXX,ABN AMRO CLEARING BANK N.V.
ABPTNL2H,ABPTNL2HAAB,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HABP,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HACP,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HAIP,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HAOS,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HAOT,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HAPO,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HBPF,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HCTM,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HDAA,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HDCP,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HDEM,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HDMA,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HDME,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HEMC,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HEMD,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HEME,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HEPT,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HFIC,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HHFP,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HILB,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HLDT,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HLOS,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HLOT,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HP16,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HP18,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HP20,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HP22,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HPAI,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HPPF,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HSPW,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HSRE,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HTRE,APG ASSET MANAGEMENT N.V.
ABPTNL2H,ABPTNL2HXXX,APG ASSET MANAGEMENT N.V.
ACCINL21,ACCINL21XXX,ACCENT AIGU B.V.
ACHLNL21,ACHLNL21XXX,ACHMEA BANK N.V.
ACTONL21,ACTONL21XXX,ACCENT TONIQUE B.V.
ADRBNL21,ADRBNL21XXX,REYERSEN VAN BUUREN VASTGOEDBELEGGINGEN B.V
ADYBNL2A,ADYBNL2ATBE,ADYEN N.V.
ADYBNL2A,ADYBNL2AXXX,ADYEN N.V.
AEGONL2U,AEGONL2U100,BAWAG AG BRANCH NETHERLANDS
AEGONL2U,AEGONL2UXXX,BAWAG AG BRANCH NETHERLANDS
AEIMNL21,AEIMNL21XXX,AEGON INVESTMENT MANAGEMENT B.V.
AEIMNL2G,AEIMNL2GXXX,AEGON INVESTMENT MANAGEMENT B.V.
AFMONL21,AFMONL21XXX,AFS INTEREST B.V.
AGBSNL21,AGBSNL21XXX,AGRIGENTO BASSA B.V.
AGRVNL21,AGRVNL21XXX,ACCENT GRAVE B.V.
AHBKNL2G,AHBKNL2GXXX,ACHMEA BANK NV
AINHNL22,AINHNL22XXX,AIRWALLEX (NETHERLANDS) B.V.
AINHNL23,AINHNL23XXX,AIRWALLEX (NETHERLANDS) B.V.
AINSNL22,AINSNL22XXX,AIRWALLEX NETHERLANDS STICHTING
ALPPNL21,ALPPNL21XXX,ALPINVEST PARTNERS N.V.
AMBRNL21,AMBRNL21XXX,AMSTERDAM BROKERS B.V.
AMCGNL21,AMCGNL21XXX,VAN AMSTBERG CAPITAL MANAGEMENT B.V.
AMSGNL21,AMSGNL21XXX,NATIONALE-NEDERLANDEN BANK N.V.
AMSTNL21,AMSTNL21XXX,WESTLANDUTRECHT EFFECTENBANK N.V.
ANDLNL2A,ANDLNL2AXXX,ANADOLUBANK NEDERLAND N.V.
ANHHNL21,ANHHNL21XXX,ANTHOS PRIVATE WEALTH MANAGEMENT B.V.
AOINNL21,AOINNL21XXX,ALL OPTIONS INTERNATIONAL BV
AOSENL21,AOSENL21XXX,BINCKBANK N.V.
ARBNNL22,ARBNNL22BOT,ACHMEA BANK NV
ARBNNL22,ARBNNL22XXX,ACHMEA BANK NV
ARSNNL21,ARSNNL21XXX,ARGENTA SPAARBANK N.V.
ARTXNL2A,ARTXNL2AXXX,ARGENTEX B.V.
ASNBNL21,ASNBNL21XXX,DE VOLKSBANK N.V.
ATGNNL21,ATGNNL21XXX,ALGORITHMIC TRADING GROUP NETHERLANDS MANAGAMENT BV
ATRVNL21,ATRVNL21XXX,AMOPTIONS TRADING VIII B.V.
AZLVNL21,AZLVNL21XXX,NN INVESTMENT PARTNERS B.V
BARCNL22,BARCNL22XXX,"BARCLAYS BANK IRELAND PLC, NETHERLANDS BRANCH"
BATSNL21,BATSNL21XXX,ROTHMANS FAR EAST B.V.
BCDMNL21,BCDMNL21XXX,BANQUE CHAABI DU MAROC
BCDMNL22,BCDMNL22XXX,BANQUE CHAABI DU MAROC
BCITNL2A,BCITNL2AXXX,INTESA SANPAOLO S.P.A. AMSTERDAM BRANCH
BCMKNL22,BCMKNL22XXX,BARAK CAPITAL MARKET MAKING B.V.
BCMNNL21,BCMNNL21XXX,CB-COMMUNICATIONS.NL.
