bic_8,bic,bank
AASANO21,AASANO21XXX,AASEN SPAREBANK
ABSRNOK1,ABSRNOK1XXX,ABG SUNDAL COLLIER ASA
ACBANO21,ACBANO21XXX,SANDNES SPAREBANK
AFJONO21,AFJONO21XXX,TRONDELAG SPAREBANK
AGSRNOK1,AGSRNOK1XXX,ABG SUNDAL COLLIER ASA
ALBFNO21,ALBFNO21XXX,ALFRED BERG KAPITALFORVALTNING AS
ALBFNOK1,ALBFNOK1XXX,ALFRED BERG KAPITALFORVALTNING AS
ALNSNO21,ALNSNO21XXX,ALLEGRO FINANS ASA
ANKENO21,ANKENO21XXX,SPAREBANKEN NARVIK
ARETNO21,ARETNO21XXX,ARCTIC FUND MANAGEMENT AS
AREUNOK1,AREUNOK1XXX,SPAREBANK 1 MARKETS AS
ARFGNOK1,ARFGNOK1XXX,ARCTIC FUND MANAGEMENT AS
ASEANOK1,ASEANOK1XXX,ARCTIC SECURITIES ASA
ASKSNO21,ASKSNO21XXX,ASKIM OG SPYDEBERG SPAREBANK
AUSNNO21,AUSNNO21XXX,AURSKOG SPAREBANK
BAKKNO21,BAKKNO21XXX,LILLESTROM SPAREBANK
BBSNNOKA,BBSNNOKAXXX,MASTERCARD PAYMENT SERVICES NORWAY AS
BBSNNOKK,BBSNNOKKXXX,MASTERCARD PAYMENT SERVICES NORWAY AS
BCIRNO22,BCIRNO22XXX,BANKING CIRCLE S.A. (LUXEMBOURG) NUF
BCMMNOB1,BCMMNOB1XXX,BERGEN CAPITAL MANAGEMENT AS
BEBNNOB1,BEBNNOB1XXX,BERGEN BUNKERS AS
BEEKNOB1,BEEKNOB1XXX,BERGEN ENERGI MARKETS AS
BEFONOB1,BEFONOB1XXX,PARETO SECURITIES AS
BFHSNO21,BFHSNO21XXX,ROMSDAL SPAREBANK MAHLE HARALD
BIENNOK1,BIENNOK1XXX,BIEN SPAREBANK ASA
BISNNO21,BISNNO21XXX,BIRKENES SPAREBANK
BJUGNO21,BJUGNO21XXX,BJUGN SPAREBANK
BLSPNO21,BLSPNO21XXX,SKAGERRAK SPAREBANK
BNLSNO22,BNLSNO22XXX,BNP PARIBAS LEASING SOLUTIONS AS
BNPANOK2,BNPANOK2XXX,EKSPRESS BANK NUF
BNPANOKK,BNPANOKKXXX,BNP PARIBAS S.A. NUF
BNSSNOB1,BNSSNOB1XXX,BB BANK ASA
BONMNOB1,BONMNOB1XXX,BOREA ASSET MANAGEMENT AS
BRGPNO21,BRGPNO21XXX,BERG SPAREBANK
BSNONOKK,BSNONOKKXXX,SANTANDER CONSUMER BANK AS
BSPANO21,BSPANO21XXX,SPAREBANKEN DIN
CANGNOK1,CANGNOK1XXX,CARNEGIE A.S.
CENVNOKK,CENVNOKKXXX,CENTEVO AB NUF
CHUANOK1,CHUANOK1XXX,CHRISTIANIA SECURITIES AS
CITINOKX,CITINOKXXXX,CITIBANK EUROPE PUBLIC LIMITED COMPANY NUF
CPBINOKK,CPBINOKKXXX,"LOOMIS FOREIGN EXCHANGE, GOLD AND SERVICES - NORWEGIAN BRANCH"
CSMANO21,CSMANO21XXX,COSMOS MARKETS AS
CULTNOK1,CULTNOK1XXX,CULTURA SPAREBANK
DABANO22,DABANO22CLS,DANSKE BANK
DABANO22,DABANO22KSU,DANSKE BANK
DABANO22,DABANO22OSL,DANSKE BANK
DABANO22,DABANO22SKE,DANSKE BANK
DABANO22,DABANO22STE,DANSKE BANK
DABANO22,DABANO22STJ,DANSKE BANK
DABANO22,DABANO22STO,DANSKE BANK
DABANO22,DABANO22SVG,DANSKE BANK
DABANO22,DABANO22TRM,DANSKE BANK
DABANO22,DABANO22XXX,DANSKE BANK
DNAMNOKK,DNAMNOKKXXX,DNB ASSET MANAGEMENT AS
DNBANOKC,DNBANOKCXXX,DNB BANK ASA
DNBANOKK,DNBANOKKFND,DNB BANK ASA
DNBANOKK,DNBANOKKSBA,DNB BANK ASA
DNBANOKK,DNBANOKKXXX,DNB BANK ASA
DNBANOKX,DNBANOKXCLS,DNB BANK ASA
DNBANOKX,DNBANOKXOBL,DNB BANK ASA
DNBANOKX,DNBANOKXRPO,DNB BANK ASA
DNBANOKX,DNBANOKXSEC,DNB BANK ASA
DNBANOKX,DNBANOKXXXX,DNB BANK ASA
DRANNO21,DRANNO21XXX,DRANGEDAL SPAREBANK
EIDSNO21,EIDSNO21XXX,EIDSBERG SPAREBANK
EIKANOK1,EIKANOK1XXX,EIKA KAPITALFORVALTNING AS
ENSKNOKK,ENSKNOKKXXX,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL) OSLOFILIALEN
ESSENO22,ESSENO22XXX,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL) OSLOFILIALEN
ESSENOKX,ESSENOKXCAL,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL) OSLOFILIALEN
ESSENOKX,ESSENOKXCLS,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL) OSLOFILIALEN
