bic_8,bic,bank
ADBLNPKA,ADBLNPKAXXX,AGRICULTURAL DEVELOPMENT BANK LTD
CTZNNPKA,CTZNNPKAXXX,CITIZENS BANK INTERNATIONAL LIMITED
EVBLNPKA,EVBLNPKAXXX,EVEREST BANK LTD.
GLBBNPKA,GLBBNPKAXXX,GLOBAL IME BANK LIMITED
HIMANPKA,HIMANPKAXXX,HIMALAYAN BANK LTD.
KDBLNPK1,KDBLNPK1XXX,KASTHAMANDAP DEVELOPMENT BANK LTD
KMBLNPKA,KMBLNPKAXXX,KUMARI BANK LTD
LXBLNPKA,LXBLNPKAXXX,LAXMI SUNRISE BANK LIMITED
MBLNNPKA,MBLNNPKAXXX,MACHHAPUCHCHHRE BANK LIMITED
NARBNPKA,NARBNPKAXXX,NABIL BANK
NEBLNPKA,NEBLNPKAXXX,"NEPAL BANK, LIMITED"
NIBLNPKT,NIBLNPKTXXX,NEPAL INVESTMENT MEGA BANK LTD.
NICENPKA,NICENPKAXXX,NIC ASIA BANK LIMITED
NMBBNPKA,NMBBNPKAXXX,NMB BANK LTD
NRBLNPKA,NRBLNPKAFED,NEPAL RASTRA BANK
NRBLNPKA,NRBLNPKAXXX,NEPAL RASTRA BANK
NSBINPKA,NSBINPKA001,NEPAL SBI BANK LTD
NSBINPKA,NSBINPKAXXX,NEPAL SBI BANK LTD
PCBLNPKA,PCBLNPKAXXX,PRIME COMMERCIAL BANK LTD
PRVUNPKA,PRVUNPKAXXX,PRABHU BANK LTD
RBBANPKA,RBBANPKAXXX,RASTRIYA BANIJYA BANK LTD.
SCBLNPKA,SCBLNPKAXXX,STANDARD CHARTERED BANK NEPAL LIMITED
SECTNP21,SECTNP21XXX,SAMSUNG NEPAL SERVICES PRIVATE LIMITED
SIDDNPKA,SIDDNPKAXXX,SIDDHARTHA BANK LIMITED
SNMANPKA,SNMANPKAXXX,SANIMA BANK LIMITED
