bic_8,bic,bank
ACCNNZ21,ACCNNZ21XXX,ACCIDENT COMPENSATION CORPORATION
ACCNNZ2B,ACCNNZ2BXXX,ACCIDENT COMPENSATION CORPORATION
ANZBNZ22,ANZBNZ22058,ANZ BANK NEW ZEALAND LIMITED
ANZBNZ22,ANZBNZ22102,ANZ BANK NEW ZEALAND LIMITED
ANZBNZ22,ANZBNZ22797,ANZ BANK NEW ZEALAND LIMITED
ANZBNZ22,ANZBNZ22XXX,ANZ BANK NEW ZEALAND LIMITED
ANZINZ21,ANZINZ21XXX,ANZ NEW ZEALAND INVESTMENTS LIMITED
ASBBNZ2A,ASBBNZ2ACLS,ASB BANK LIMITED
ASBBNZ2A,ASBBNZ2AFXD,ASB BANK LIMITED
ASBBNZ2A,ASBBNZ2AITS,ASB BANK LIMITED
ASBBNZ2A,ASBBNZ2AMMD,ASB BANK LIMITED
ASBBNZ2A,ASBBNZ2ASEC,ASB BANK LIMITED
ASBBNZ2A,ASBBNZ2AXXX,ASB BANK LIMITED
AUSLNZ21,AUSLNZ21XXX,AUCKLAND SAVINGS AND LOAN LIMITED
BARBNZ2A,BARBNZ2AXXX,BANK OF BARODA (NEW ZELAND) LTD
BATSNZA1,BATSNZA1XXX,BRITISH AMERICAN TOBACCO (NEW ZEALAND) LIMITED
BKCHNZ22,BKCHNZ22XXX,BANK OF CHINA (NEW ZEALAND) LIMITED
BKCHNZ2A,BKCHNZ2AXXX,BANK OF CHINA LIMITED
BKIDNZ2A,BKIDNZ2AXXX,BANK OF INDIA (NEW ZEALAND) LIMITED
BKNZNZ22,BKNZNZ22100,BANK OF NEW ZEALAND
BKNZNZ22,BKNZNZ22500,BANK OF NEW ZEALAND
BKNZNZ22,BKNZNZ22800,BANK OF NEW ZEALAND
BKNZNZ22,BKNZNZ22900,BANK OF NEW ZEALAND
BKNZNZ22,BKNZNZ22985,BANK OF NEW ZEALAND
BKNZNZ22,BKNZNZ22XXX,BANK OF NEW ZEALAND
BOTKNZ2A,BOTKNZ2AXXX,"MUFG BANK, LTD."
BUTWNZ21,BUTWNZ21XXX,UBS NEW ZEALAND LTD
CENFNZ21,CENFNZ21XXX,CENTURION FINANCE LIMITED
