bic_8,bic,bank
ASMLOMR1,ASMLOMR1XXX,AL AMIN SECURITIES COMPANY LLC
AUBOOMRU,AUBOOMRUALH,AHLI BANK S.A.O.G
AUBOOMRU,AUBOOMRUXXX,AHLI BANK S.A.O.G
BABEOMRX,BABEOMRXXXX,BANK OF BEIRUT S.A.L.- OMAN BRANCH
BDOFOMRU,BDOFOMRUMIB,BANK DHOFAR (S.A.O.G.)
BDOFOMRU,BDOFOMRUTFD,BANK DHOFAR (S.A.O.G.)
BDOFOMRU,BDOFOMRUXXX,BANK DHOFAR (S.A.O.G.)
BMUSOMRX,BMUSOMRXISL,BANK MUSCAT SAOG BANK MUSCAT HEAD OFFICE
BMUSOMRX,BMUSOMRXTBG,BANK MUSCAT SAOG BANK MUSCAT HEAD OFFICE
BMUSOMRX,BMUSOMRXXXX,BANK MUSCAT SAOG BANK MUSCAT HEAD OFFICE
BNZWOMRX,BNZWOMRXXXX,BANK NIZWA
BOGUOMR1,BOGUOMR1XXX,OMAN BANKING CORP. S.A.O.G.
BSHROMRU,BSHROMRUISL,SOHAR INTERNATIONAL BANK S.A.O.G
BSHROMRU,BSHROMRUXXX,SOHAR INTERNATIONAL BANK S.A.O.G
CBOMOMRU,CBOMOMRUXXX,CENTRAL BANK OF OMAN GREATER MUTTRAH
EFGHOMM1,EFGHOMM1XXX,EFG HERMES OMAN LLC
FIVOOMR1,FIVOOMR1XXX,FINANCIAL SERVICES CO (SAOG)
GFISOMR1,GFISOMR1XXX,GLOBAL FINANCIAL INVESTMENTS HOLDING
GISCOMR1,GISCOMR1XXX,GULF INVESTMENT SERVICES CO(SAOG)
GULFOMRX,GULFOMRXXXX,GULF INTERNATIONAL BANK (OMAN BRANCH)
HBMEOMRX,HBMEOMRXXXX,HSBC BANK MIDDLE EAST LIMITED - OMAN BRANCH
HBZUOMM1,HBZUOMM1XXX,HABIB BANK A G ZURICH
IZZBOMRU,IZZBOMRUXXX,ALIZZ ISLAMIC BANK
MCDCOMR2,MCDCOMR2XXX,MUSCAT CLEARING AND DEPOSITORY M C D S.A.O.C
MDSROMR1,MDSROMR1XXX,"MUSCAT DEPOSITORY AND SECURITIES REGISTRATION COMPANY, THE"
MELIOMR1,MELIOMR1XXX,BANK MELLI IRAN-MUSCAT BRANCH
MINIOMRU,MINIOMRUXXX,MINISTRY OF FINANCE
MSHQOMRX,MSHQOMRXXXX,MASHREQ BANK (OMAN BRANCH)
MUZNOMR1,MUZNOMR1XXX,MUZN ISLAMIC BANKING TRADING UNDER NATIONAL BANK OF OMAN
NBADOMRX,NBADOMRXCMS,FIRST ABU DHABI BANK PJSC
NBADOMRX,NBADOMRXTFO,FIRST ABU DHABI BANK PJSC
NBADOMRX,NBADOMRXXXX,FIRST ABU DHABI BANK PJSC
NBOMOMRX,NBOMOMRXIBS,NATIONAL BANK OF OMAN S.A.O.G
NBOMOMRX,NBOMOMRXITF,NATIONAL BANK OF OMAN S.A.O.G
NBOMOMRX,NBOMOMRXTSS,NATIONAL BANK OF OMAN S.A.O.G
NBOMOMRX,NBOMOMRXXXX,NATIONAL BANK OF OMAN S.A.O.G
OHSAOMRU,OHSAOMRUXXX,OMAN HOUSING BANK SAOC
OIBBOMRX,OIBBOMRXXXX,OMAN INVESTMENT BANK SAOC
OIDIOMR1,OIDIOMR1XXX,OMAN INT. DEV. AND INV. CO. (SAOG)
OMABOMRU,OMABOMRUXXX,OMAN ARAB BANK SAOG
OMEMOMR1,OMEMOMR1XXX,OMAN AND EMIRATES INVESTMENT HOLDINGS CO (SAOG)
OUAEOMRU,OUAEOMRUXXX,UNIMONI EXCHANGE LLC
QNBAOMRX,QNBAOMRXXXX,QATAR NATIONAL BANK
SBINOMRX,SBINOMRXXXX,"STATE BANK OF INDIA, MUSCAT,OMAN"
SCBLOMRX,SCBLOMRXXXX,STANDARD CHARTERED BANK
SGRFOMR1,SGRFOMR1XXX,OMAN INVESTMENT AUTHORITY
SGRFOMRA,SGRFOMRABRA,OMAN INVESTMENT AUTHORITY
SGRFOMRA,SGRFOMRAXXX,OMAN INVESTMENT AUTHORITY
SGRFOMRB,SGRFOMRBXXX,OMAN INVESTMENT AUTHORITY
USECOMR1,USECOMR1XXX,UNITED SECURITIES LLC
VISIOMR1,VISIOMR1XXX,VISION INVESTMENT SERVICES CO SAOC
XMUSOMM1,XMUSOMM1XXX,MUSCAT SECURITIES MARKET
