bic_8,bic,bank
ASBPPAPA,ASBPPAPAXXX,ASB BANK CORP.
ATPFPAP1,ATPFPAP1XXX,ASPHALTOS TRADE S.A.
ATSEPAP1,ATSEPAP1XXX,ATLANTIC SECURITY BANK
AUBAPAPA,AUBAPAPAXXX,AUSTROBANK (OVERSEAS) PANAMA S.A.
AZTKPAPA,AZTKPAPAXXX,"BANCO AZTECA (PANAMA), S.A."
BAALPAPA,BAALPAPAXXX,"BANCO ALIADO, S.A."
BAGEPAPA,BAGEPAPAXXX,BANCO GENERAL S A
BANSPAPA,BANSPAPACOR,BANESCO (PANAMA) S.A.
BANSPAPA,BANSPAPAXXX,BANESCO (PANAMA) S.A.
BAXBPAP1,BAXBPAP1XXX,"BANCO CITIBANK (PANAMA), S.A."
BBOGPAPA,BBOGPAPAXXX,BANCO DE BOGOTA S.A
BBOGPAPB,BBOGPAPBXXX,BANCO DE BOGOTA S.A
BBOLPAPA,BBOLPAPAXXX,"BBP BANK, S.A."
BCCEPAPA,BCCEPAPAXXX,BANCO LAFISE PANAMA S.A.
BCINPAPA,BCINPAPAXXX,"BAC INTERNATIONAL BANK, INC."
BCPLPAPA,BCPLPAPAXXX,BANCO DE CREDITO DEL PERU SUCURSAL PANAMA
BCTBPAPA,BCTBPAPAXXX,"BCT BANK INTERNATIONAL, S.A."
BCTOPAPA,BCTOPAPAXXX,ITAU (PANAMA) S.A.
BDISPAP1,BDISPAP1XXX,BANCO DISA
BDSAPAPA,BDSAPAPAXXX,"BANCO DELTA, S.A."
BHINPAPA,BHINPAPAXXX,"BHD INTERNATIONAL BANK (PANAMA), S.A."
BIAKPAPA,BIAKPAPAXXX,"BI-BANK, S.A."
BKCHPAPA,BKCHPAPAXXX,BANK OF CHINA
BLAEPAPA,BLAEPAPAXXX,"BANCO LATINOAMERICANO DE COMERCIO EXTERIOR, S.A."
BNASPAP1,BNASPAP1XXX,BANAPREST S.A
BPANPAP1,BPANPAP1XXX,BANCA PRIVADA D'ANDORRA (PANAMA) SA
BPDOPAPA,BPDOPAPAXXX,POPULAR BANK LTD. INC.
BPRBPAPA,BPRBPAPAXXX,BPR BANK S.A.
BRASPAP1,BRASPAP1XXX,BANCO DO BRASIL S.A
BUNVPAP1,BUNVPAP1XXX,BANCO UNIVERSAL S.A.
CAFEPAPA,CAFEPAPAXXX,"BANCO DAVIVIENDA (PANAMA), S.A."
CAFEPAPA,CAFEPAPAZLC,"BANCO DAVIVIENDA (PANAMA), S.A."
CAHRPAPA,CAHRPAPAXXX,CAJA DE AHORROS
CCIOPAP1,CCIOPAP1XXX,"BCT BANK INTERNATIONAL, S.A."
CHASPAP1,CHASPAP1XXX,THE CHASE MANHATTAN BANK N.A
CITIPAP1,CITIPAP10PA,CITIBANK N.A.
CITIPAP1,CITIPAP10PC,CITIBANK N.A.
CITIPAP1,CITIPAP1XXX,CITIBANK N.A.
CITIPAPA,CITIPAPASFE,CITIBANK N.A. SUCURSAL PANAMA
CITIPAPA,CITIPAPAXXX,CITIBANK N.A. SUCURSAL PANAMA
CLVLPAP1,CLVLPAP1XXX,CENTRAL LATINOAMERICANA DE VALORES
COLOPAPA,COLOPAPAXXX,"BANCOLOMBIA (PANAMA), S.A."
COLOPAPS,COLOPAPSXXX,BANCOLOMBIA S.A. (SUCURSAL PANAMA)
COSRPAPA,COSRPAPAXXX,BANCO INTERNACIONAL DE COSTA RICA
CRDAPAPA,CRDAPAPAXXX,BANCO CREDIT ANDORRA (PANAMA) S.A.
CRLDPAPA,CRLDPAPAXXX,CREDICORP BANK S.A
CRNMPAP1,CRNMPAP1XXX,BANCO CORFICOLOMBIANA (PANAMA) S.A.
DAVPPAPA,DAVPPAPAXXX,"BANCO DAVIVIENDA INTERNACIONAL (PANAMA), S.A."
FCOHPAPA,FCOHPAPAXXX,"BANCO FICOHSA (PANAMA), S.A."
FRIPPAP1,FRIPPAP1XXX,"FITCH CENTRO AMERICA, SA"
GEROPAPA,GEROPAPAXXX,"BANCO BILBAO VIZCAYA ARGENTARIA COLOMBIA, S.A. - PANAMA BRANCH"
GLBLPAPA,GLBLPAPAXXX,GLOBAL BANK CORPORATION
GNBKPAPA,GNBKPAPAXXX,GNB SUDAMERIS BANK S.A.
GUAYPAPA,GUAYPAPAXXX,"BANISI, S.A."
IBNKPAPA,IBNKPAPAXXX,INTELIGO BANK LTD.
ICBCPAPA,ICBCPAPAXXX,"MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD."
ICBKPAPA,ICBKPAPAXXX,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED
KEHPPAPA,KEHPPAPAXXX,"PRIVAL BANK, S.A."
KNALPAPA,KNALPAPAXXX,"CANAL BANK, S. A."
KOEXPAPA,KOEXPAPAXXX,KEB HANA BANK
LPTYPAPA,LPTYPAPAXXX,CENTRAL LATINOAMERICANA DE VALORES
LYIEPAP1,LYIEPAP1XXX,"LYON INVESTMENT SERVICES, CORP"
MCTBPAPA,MCTBPAPAXXX,MULTIBANK INC.
METKPAP1,METKPAP1XXX,METROBRANK
METOPAPA,METOPAPAXXX,METROBANK S.A.
MIDLPAPA,MIDLPAPA001,BANISTMO S.A
MIDLPAPA,MIDLPAPACLN,BANISTMO S.A
MIDLPAPA,MIDLPAPAXXX,BANISTMO S.A
MMGBPAPA,MMGBPAPAXXX,MMG BANK CORPORATION
MPANPAPA,MPANPAPAXXX,"MERCANTIL BANCO, S.A."
NAPAPAPA,NAPAPAPAXXX,BANCO NACIONAL DE PANAMA
NOSCPAPA,NOSCPAPAXXX,"BANCO DAVIVIENDA (PANAMA), S.A."
OCCIPAPA,OCCIPAPAXXX,BANCO DE OCCIDENTE (PANAMA) S.A.
PACIPAPX,PACIPAPXXXX,PACIFIC BANK
PCICPAP1,PCICPAP1XXX,"PAULLIER AND CIA INTL, CORP."
PICHPAPA,PICHPAPAXXX,"BANCO PICHINCHA PANAMA, S.A."
PKBSPAP1,PKBSPAP1XXX,"PKB WEALTH MANAGEMENT, S.A."
PRBAPAP1,PRBAPAP1XXX,BANCO DE LA PROVINCIA DE BUENOS AIRES
STGBPAPA,STGBPAPAXXX,"ST. GEORGES BANK AND COMPANY, INC."
TIINPAP1,TIINPAP1XXX,TOWERBANK INTERNATIONAL INC.
TOWEPAPA,TOWEPAPAXXX,"TOWERBANK INTERNATIONAL, INC."
