bic_8,bic,bank
AIFNPEPL,AIFNPEPLXXX,ALFIN BANCO S.A.
AMRKPEP1,AMRKPEP1XXX,AMERIKA FINANCIERA S.A.
BAIOPEP1,BAIOPEP1XXX,BANCO IBEROAMERICANO
BANCPEPL,BANCPEPLXXX,BANCO DE LA NACION
BATSPE31,BATSPE31XXX,BRITISH AMERICAN TOBACCO DEL PERU HOLDINGS S.A.
BATSPEP1,BATSPEP1XXX,BRITISH AMERICAN TOBACCO DEL PERU S.A.C.
BCONPEPL,BCONPEPLXXX,BANCO BBVA PERU
BCPLPEPL,BCPLPEPLXXX,BANCO DE CREDITO DEL PERU
BDCMPEPL,BDCMPEPLXXX,BANCO DE COMERCIO
BIFSPEPL,BIFSPEPLXXX,BANCO INTERAMERICANO DE FINANZAS
BINPPEPL,BINPPEPLXXX,BANCO INTERNACIONAL DEL PERU (INTERBANK)
BKCHPEPL,BKCHPEPLXXX,BANK OF CHINA (PERU) S.A.
BNPEPEP1,BNPEPEP1XXX,BANCO BBVA PERU
BSAPPEPL,BSAPPEPLXXX,BANCO SANTANDER PERU S.A.
BSUDPEPL,BSUDPEPLXXX,SCOTIABANK PERU S.A.A.
CAFCPEPB,CAFCPEPBXXX,CORPORACION ANDINA DE FOMENTO
CAFCPEPL,CAFCPEPLXXX,CORPORACION ANDINA DE FOMENTO
CBOLPEP1,CBOLPEP1XXX,CREDICORP CAPITAL SOCIEDAD AGENTE DE BOLSA S.A.
CCSTPEP1,CCSTPEP1XXX,CELFIN CAPITAL S.A. SOCIEDAD AGENTE DE BOLSA
CHASPEPL,CHASPEPLXXX,JP MORGAN BANCO DE INVERSION
CITIPEPL,CITIPEPLXXX,CITIBANK DEL PERU S.A.
COFDPEPL,COFDPEPLXXX,CORPORACION FINANCIERA DE DESARROLLO S.A. - COFIDE
CPDCPEPL,CPDCPEPLXXX,COOPERATIVA DE AHORRO Y CREDITO EL PROGRESO DEL COMERCIANTE DE CARABAYLLO
CREDPEPL,CREDPEPLXXX,BANCO BCI PERU S.A.
CRPEPEPL,CRPEPEPLXXX,BANCO CENTRAL DE RESERVA DEL PERU
CVLIPEPL,CVLIPEPLXXX,CAVALI S.A I.C.L.V.
FINAPEPL,FINAPEPLXXX,BANCO PICHINCHA
HBPEPEPL,HBPEPEPLXXX,BANCO GNB PERU SA
ICBKPEPL,ICBKPEPLXXX,ICBC PERU BANK
INTVPEP1,INTVPEP1XXX,INTERVALORES
KAESPEP1,KAESPEP1XXX,KALLPA SECURITIES S.A.B
PACCPEP1,PACCPEP1XXX,COOPERATIVA DE AHORRO Y CREDITO PACIFICO
RISGPEPL,RISGPEPLXXX,RIMAC SEGUROS Y REASEGUROS
SCSGPEP1,SCSGPEP1XXX,SEMINARIO Y CIA. SOCIEDAD AGENTE DE BOLSA S.A.
SECTPEP1,SECTPEP1860,SAMSUNG ELECTRONICS PERU S.A.C
SECTPEP1,SECTPEP1XXX,SAMSUNG ELECTRONICS PERU S.A.C
