bic_8,bic,bank
ANZBPGPX,ANZBPGPXXXX,AUSTRALIA AND NEW ZEALAND BANKING GROUP (PNG) LTD
BATSPGA1,BATSPGA1XXX,BRITISH AMERICAN TOBACCO (PNG) LIMITED
BOSPPGPM,BOSPPGPMXXX,BSP FINANCIAL GROUP LIMITED
BPNGPGPK,BPNGPGPKXXX,BANK OF PAPUA NEW GUINEA
BPNGPGPM,BPNGPGPMXXX,BANK OF PAPUA NEW GUINEA
CPFNPGPM,CPFNPGPMXXX,CREDIT CORPORATION FINANCE LIMITED
FIVFPGPM,FIVFPGPMXXX,FIRST INVESTMENT FINANCE LIMITED
KINIPGPG,KINIPGPGXXX,KINA SECURITIES LIMITED
NBCLPGPG,NBCLPGPGXXX,NATIONAL BANKING CORPORATION LIMITED
TSLSPGPP,TSLSPGPPXXX,TISA BANK LIMITED
WPACPGPM,WPACPGPMXXX,WESTPAC BANK PNG LIMITED
