bic_8,bic,bank
AASQPHM1,AASQPHM1XXX,AAA SOUTHEAST EQUITIES INC.
ABAEPHM1,ABAEPHM1XXX,ABACUS SECURITIES CORP.
ABTZPH21,ABTZPH21XXX,ABOITIZ EQUITY VENTURES INC. ABOITIZ BUILDING
ACICPHM1,ACICPHM1XXX,ABACUS CAPITAL AND INVESTMENT CORPORATION
ACKEPHM1,ACKEPHM1XXX,I. ACKERMAN AND CO INC
AGBUPHM1,AGBUPHM1XXX,"AGRIBUSINESS RURAL BANK, INC."
AIACPHM1,AIACPHM1GIO,AIA PHILIPPINES LIFE AND GENERAL INSURANCE COMPANY
AIACPHMM,AIACPHMMXXX,AIA PHILIPPINES LIFE AND GENERAL INSURANCE COMPANY
AIIPPHM1,AIIPPHM1XXX,AL-AMANAH ISLAMIC INVESTMENT BANK OF THE PHILIPPINES
ALKBPHM2,ALKBPHM2XXX,ALLBANK (A THRIFT BANK) INC
ALPCPHM1,ALPCPHM1XXX,ALPHA SECURITIES CORP.
ALSGPHM1,ALSGPHM1XXX,ALLIED SAVINGS BANK
AMONPHM1,AMONPHM1XXX,AMON SECURITIES CORP.
ANGPPHM1,ANGPPHM1XXX,ANGPING AND ASSO. SECURITIES INC.
ANSCPHM1,ANSCPHM1XXX,AB CAPITAL SECURITIES INC.
ANSGPHM1,ANSGPHM1XXX,"ANSALDO, GODINEZ AND CO. INC."
ANZBPHMX,ANZBPHMXXXX,AUSTRALIA AND NEW ZEALAND BANKING GP (PHILIPPINES) LTD
APCEPHM1,APCEPHM1XXX,ASIA PACIFIC CAPITAL EQUITIES AND S EC. CORP.
APHIPHM2,APHIPHM2XXX,ALIPAY PHILIPPINES INC.
APHIPHM3,APHIPHM3XXX,ALIPAY PHILIPPINES INC.
ARMEPHM1,ARMEPHM1XXX,ARMSTRONG SECURITIES INC.
ASDBPHMM,ASDBPHMMXXX,ASIAN DEVELOPMENT BANK
ASDVPHM1,ASDVPHM1XXX,NEXTGENESIS CORPORATION
ASESPHM1,ASESPHM1XXX,ASIASEC EQUITIES INC.
ASIIPHM1,ASIIPHM1XXX,D'ASIAN HILLS BANK INC
ASISPHM1,ASISPHM1XXX,ASI SECURITIES INC.
ASTSPHM1,ASTSPHM1XXX,ASTRA SECURITIES CORP.
ATCSPHM1,ATCSPHM1XXX,ATC SECURITIES INC.
ATSCPHM1,ATSCPHM1XXX,"MAYBANK ATR KIM ENG SECURITIES, INC."
AUBKPHMM,AUBKPHMMXXX,ASIA UNITED BANK CORPORATION
AURSPHM1,AURSPHM1XXX,AURORA SECURITIES INC.
BADGPHM1,BADGPHM1XXX,"BANCODIPOLOG, INC."
BARNPHM1,BARNPHM1XXX,J.M. BARCELON AND CO INC
BATSPHM1,BATSPHM1XXX,BRITISH AMERICAN TOBACCO PHILIPPINES LTD.
BATTPHM1,BATTPHM1XXX,B A SECURITIES INC
BBOAPHM1,BBOAPHM1XXX,BSP BRANCH OPEN ACCOUNT SPC
BDESPHM1,BDESPHM1XXX,"BDO ELITE SAVINGS BANK, INC."
BDSCPHM1,BDSCPHM1XXX,BDO SECURITIES CORPORATION
BELCPHM1,BELCPHM1XXX,BELSON SECURITIES INC.
BENCPHM1,BENCPHM1XXX,H.E. BENNETT SECURITIES INC.
BENJPHM1,BENJPHM1XXX,BENJAMIN CO CA AND CO INC.
BEREPHM1,BEREPHM1XXX,BERNAD SECURITIES INC.
BFSCPHM1,BFSCPHM1XXX,BFE FINANCIAL SERVICES AND CONSULTANCY INC
BFSRPHM2,BFSRPHM2XXX,BANANA FINTECH SERVICES CORPORATION
BHCHPHM1,BHCHPHM1XXX,B. H. CHUA SECURITIES CORPORATION
BHFUPHM1,BHFUPHM1XXX,PROVIDENT FUND OFFICE (BSP-PFO)
BIURPHM2,BIURPHM2XXX,"BINAN RURAL BANK, INC."
BIUUPHM1,BIUUPHM1XXX,"BINANGONAN RURAL BANK, INC"
BKCHPHMM,BKCHPHMMRTS,BANK OF CHINA (HONG KONG) LIMITED- MANILA BRANCH
BKCHPHMM,BKCHPHMMXXX,BANK OF CHINA (HONG KONG) LIMITED- MANILA BRANCH
BKKBPHMM,BKKBPHMMXXX,BANGKOK BANK PUBLIC COMPANY LIMITED
BKRUPHM1,BKRUPHM1XXX,"BANCO BAKUN, INC. (A RURAL BANK)"
BNNNPH22,BNNNPH22XXX,"BANCNET, INC."
BNNNPHM2,BNNNPHM2XXX,"BANCNET, INC."
BNORPHMM,BNORPHMMXXX,"BDO UNIBANK, INC."
BOFAPH2X,BOFAPH2XXXX,"BANK OF AMERICA, N.A. MANILA"
BOPBPHMM,BOPBPHMMXXX,BDO PRIVATE BANK INC.
BOPIPHMM,BOPIPHMMTRY,BANK OF THE PHILIPPINE ISLANDS
BOPIPHMM,BOPIPHMMXXX,BANK OF THE PHILIPPINE ISLANDS
BORRPHM1,BORRPHM1XXX,"BOF, INC. (A RURAL BANK)"
BOTKPHMM,BOTKPHMMXXX,"MUFG BANK, LTD., MANILA BRANCH"
BPCNPHM1,BPCNPHM1XXX,BPI CARD FINANCE
BPDIPHM1,BPDIPHM1XXX,BPI DIRECT 8/F
BPFFPHM1,BPFFPHM1XXX,BPI FAMILY BANK 4TH FLOOR
BPFSPHM1,BPFSPHM1XXX,BANK OF THE PHILIPPINE ISLANDS
BPGOPHM1,BPGOPHM1XXX,BPI GLOBE BANKO INC.
BPISPHM1,BPISPHM1XXX,BPI SECURITIES CORP.
BPLIPHM1,BPLIPHM1XXX,BPI LEASING
BPPSPHM1,BPPSPHM1XXX,"BNP PARIBAS PEREGRINE SECURITIES, INC"
BPRFPHM1,BPRFPHM1XXX,BSP PROVIDENT FUND
BROXPHM1,BROXPHM1XXX,BARCELON ROXAS SECURITIES INC.
BRULPHM1,BRULPHM1XXX,"BALANGA RURAL BANK, INC."
BUTRPHM1,BUTRPHM1XXX,BUREAU OF THE TREASURY
CAMZPHM2,CAMZPHM2XXX,"CARD MRI RIZAL BANK, INC."
CASUPHM1,CASUPHM1XXX,A.T. DE CASTRO SECURITIES CORP.
CAVPPHM1,CAVPPHM1XXX,AB CAPITAL AND INVESTMENT CORPORATION
CBMFPHM1,CBMFPHM1XXX,"CARD BANK, INC. (A MICROFINANCE ORIENTED RURAL BANK)"
CBSLPHM1,CBSLPHM1XXX,COMMONWEALTH BANK/SAVINGS AND LOAN
CCBCPHMM,CCBCPHMMXXX,"CHANG HWA COMMERCIAL BANK,LTD. MANILA BRANCH"
CELRPHM1,CELRPHM1XXX,CEBUANA LHUILLIER RURAL BANK INC.
CENEPHM1,CENEPHM1XXX,CENTURY SECURITIES CORP.
CESNPHM1,CESNPHM1XXX,CENTURY SAVINGS BANK CORPORATION
CHASPHMM,CHASPHMMENQ,"JPMORGAN CHASE BANK, N.A. - MANILA BRANCH"
CHASPHMM,CHASPHMMOBU,"JPMORGAN CHASE BANK, N.A. - MANILA BRANCH"
CHASPHMM,CHASPHMMXXX,"JPMORGAN CHASE BANK, N.A. - MANILA BRANCH"
CHASPHS1,CHASPHS1XXX,"J.P. MORGAN SECURITIES PHILIPPINES INC., MANILLA"
CHBKPHMM,CHBKPHMMXXX,CHINA BANKING CORPORATION
CHCSPHM1,CHCSPHM1XXX,E. CHUA CHIACO SECURITIES INC.
CHSVPHM1,CHSVPHM1XXX,"CHINA BANK SAVINGS, INC."
CIPHPHM1,CIPHPHM1XXX,CIMB BANK PHILIPPINES INC.
CIPHPHMM,CIPHPHMMXXX,CIMB BANK PHILIPPINES INC.
CITIPH21,CITIPH21XXX,CITIBANK SAVINGS INC.
CITIPHMX,CITIPHMXAPR,CITIBANK N.A (MANILA BRANCH)
CITIPHMX,CITIPHMXCBU,CITIBANK N.A (MANILA BRANCH)
CITIPHMX,CITIPHMXPRA,CITIBANK N.A (MANILA BRANCH)
CITIPHMX,CITIPHMXTSU,CITIBANK N.A (MANILA BRANCH)
CITIPHMX,CITIPHMXXXX,CITIBANK N.A (MANILA BRANCH)
CITRPHM1,CITRPHM1XXX,CITYTRUST SECURITIES CORP.
CITSPHM1,CITSPHM1XXX,CITISECURITIES INC.
CIVAPHM1,CIVAPHM1XXX,CITY SAVINGS BANK
CIVVPHM1,CIVVPHM1XXX,"CITYSTATE SAVINGS BANK, INC."
CIYCPHM2,CIYCPHM2XXX,"CIS BAYAD CENTER, INC."
CLRAPH21,CLRAPH21XXX,"CLASSIC RURAL BANK,INC."
CLSAPHM1,CLSAPHM1XXX,"CLSA PHILIPPINES, INC."
CNRLPHM1,CNRLPHM1XXX,"CANTILAN BANK, INC. (A RURAL BANK)"
COBMPHM1,COBMPHM1XXX,BANK OF COMMERCE
COUKPHM1,COUKPHM1XXX,TOP BANK PHILIPPINES INC.
COYAPHM2,COYAPHM2XXX,COOPERATIVE BANK OF CAGAYAN
COYIPHM1,COYIPHM1XXX,COYIUTO SECURITIES INC.
CPBBPHM1,CPBBPHM1XXX,UCPB SECURITIES INC.
CPBOPHM1,CPBOPHM1XXX,COOPERATIVE BANK OF BOHOL
CPCTPHM1,CPCTPHM1XXX,COOPERATIVE BANK OF COTABATO
CPHIPHMM,CPHIPHMMXXX,PHILIPPINE BANK OF COMMUNICATIONS
CRESPHM1,CRESPHM1XXX,CREDIT SUISSE SECURITIES (PHILIPPINES) INC.
CRMHPHM1,CRMHPHM1XXX,"CARD SME BANK, INC. A THRIFT BANK"
CRSEPHM1,CRSEPHM1XXX,CROSBY SECURITIES (PHILS) INC.
CTCBPHMM,CTCBPHMMXXX,CTBC BANK (PHILIPPINES) CORP.
CUASPHM1,CUASPHM1XXX,CUALOPING SECURITIES CORP
CUATPHM1,CUATPHM1XXX,MINDANAO CONSOLIDATED COOPERATIVE BANK
CUOBPHM2,CUOBPHM2XXX,"COMMUNITY RURAL BANK OF ROMBLON (ROMBLON), INC"
DANIPHM1,DANIPHM1XXX,PT BANK DAGANG NASIONAL INDONESIA
DAVSPHM1,DAVSPHM1XXX,DAVID GO SECURITIES CORP
DBPHPHMM,DBPHPHMMXXX,DEVELOPMENT BANK OF THE PHILIPPINES
DBSHPHM1,DBSHPHM1XXX,"DBP-DAIWA CAPITAL MARKETS PHILIPPINES, INC."
DBSPPHM1,DBSPPHM1XXX,DBS SECURITIES (PHILS) INC
DCDEPHM1,DCDEPHM1XXX,"DUMAGUETE CITY DEVELOPMENT BANK,INC"
DCPHPHM1,DCPHPHM1XXX,"DCPAY PHILIPPINES, INC"
DEUTPHMM,DEUTPHMMF4C,DEUTSCHE BANK AG
DEUTPHMM,DEUTPHMMXXX,DEUTSCHE BANK AG
DHBIPHM1,DHBIPHM1XXX,"BDO UNIBANK, INC."
DHSPPHM1,DHSPPHM1XXX,DHARMALA INTL. PHILS. INC.
DIVSPHM1,DIVSPHM1XXX,DIVERSIFIED SECURITIES INC
DSPHPHM1,DSPHPHM1XXX,DBP-DAIWA CAPITAL MARKETS PHILIPPIN INC.
DUMTPHM1,DUMTPHM1XXX,"DUNGGANON BANK (A MICROFINANCE RURAL BANK), INC"
EAGMPHM2,EAGMPHM2XXX,EASYPAY GLOBAL EMI CORP.
EASDPHM1,EASDPHM1XXX,EASTERN SECURITIES DEVELOPMENT CORP
EAWCPHM1,EAWCPHM1XXX,EAST WEST CAPITAL CORP
EAWRPHM2,EAWRPHM2XXX,"EAST WEST RURAL BANK, INC."
ECASPHM2,ECASPHM2XXX,ECASHPAY ASIA INC
EISEPHM1,EISEPHM1XXX,"EIB SECURITIES, INC."
ENRUPHM1,ENRUPHM1XXX,"ENTREPRENEUR RURAL BANK, INC."
ENTHPHM1,ENTHPHM1XXX,ENTERPRISE BANK INC. (A THRIFT BANK)
EQICPHM1,EQICPHM1XXX,SB EQUITIES INCORPORATED
EQSNPHM1,EQSNPHM1XXX,"EQUICOM SAVINGS BANK, INC."
EQSPPHM1,EQSPPHM1XXX,EQUITABLE SECURITIES (PHILS) INC
EQUSPHM1,EQUSPHM1XXX,EQUITIWORLD SECURITIES INC
ESBEPHM1,ESBEPHM1XXX,EVERGREEN STOCK BROKER AND SECURITI ES INC
EWBCPHMM,EWBCPHMMXXX,EAST WEST BANKING CORPORATION
FCBKPHMM,FCBKPHMMXXX,"FIRST COMMERCIAL BANK, LTD., MANILA BRANCH"
FICEPHM1,FICEPHM1XXX,FIRST INTEGRATED CAPITAL SECURITIES INC
FINUPHM1,FINUPHM1XXX,FINVEST SECURITIES CO INC
FIOOPHM1,FIOOPHM1XXX,FIRST CONSOLIDATED BANK INC.
FIOSPHM1,FIOSPHM1XXX,FIRST ORIENT SECURITIES INC
FIRRPHM1,FIRRPHM1XXX,"FIRST RESSOURCES MANAGEMENT AND SEC URITIES CORPORATION,THE"
FMICPHM1,FMICPHM1XXX,FIRST METRO INVESTMENT CORPORATION
FMSOPHM1,FMSOPHM1XXX,FIRST METRO SECURITIES BROKERAGE CORPORATION
FOTRPHM1,FOTRPHM1XXX,FORTUNE SECURITIES INC
FRARPHM1,FRARPHM1XXX,"FIRST AGRO-INDUSTRIAL RURAL BANK, INC. (FAIRBANK)"
FROEPHM1,FROEPHM1XXX,FRANCISCO ORTIGAS SECURITIES INC
FRUNPHM1,FRUNPHM1XXX,"FILIDIAN RURAL BANK OF ANTIPOLO, INC"
GARKPHM1,GARKPHM1XXX,"GATEWAY RURAL BANK, INC. (GATEBANK)"
GEGSPHM1,GEGSPHM1XXX,GENESIS GLOBAL SECURITIES INC
GEMPPH21,GEMPPH21XXX,"GE MONEY BANK, INC. (A SAVINGS BANK)"
GIMSPHM1,GIMSPHM1XXX,"I.B. GIMENEZ SECURITIES, INC."
GKGSPHM1,GKGSPHM1XXX,G.K. GOH SECURITIES (PHILIPPINES) INC.
GLSTPHM1,GLSTPHM1XXX,GLOBALINKS SECURITIES AND STOCKS IN C
GOLCPHM1,GOLCPHM1XXX,GOLDSTAR SECURITIES INC
GOTYPHM2,GOTYPHM2XXX,GOTYME BANK CORPORATION
GPNEPHM2,GPNEPHM2XXX,"GPAY NETWORK PH, INC."
GRBUPHM1,GRBUPHM1XXX,"GUAGUA RURAL BANK, INC."
GSFAPHM1,GSFAPHM1XXX,GSIS FAMILY BANK
GUISPHM1,GUISPHM1XXX,GUILD SECURITIES INC
GUSPPHM1,GUSPPHM1XXX,GUOCO SECURITIES (PHILS) INC
GXCHPHM2,GXCHPHM2XXX,"G-XCHANGE, INC."
HDISPHM1,HDISPHM1XXX,HDI SECURITIES INC
HENEPHM1,HENEPHM1XXX,YU HENG SECURITIES INC.
HISHPHM1,HISHPHM1XXX,HIGHLAND SECURITIES PHIL. INC.
HIYCPHM1,HIYCPHM1XXX,HIYAS BANKING CORPORATION
HNBKPHMM,HNBKPHMMXXX,"HUA NAN COMMERCIAL BANK, LTD. MANILA BRANCH"
HSBCPHMM,HSBCPHMMCEB,THE HONGKONG AND SHANGHAI BANKING CORPORATION LTD - PHILIPPINE BRANCH
HSBCPHMM,HSBCPHMMSEC,THE HONGKONG AND SHANGHAI BANKING CORPORATION LTD - PHILIPPINE BRANCH
HSBCPHMM,HSBCPHMMTRY,THE HONGKONG AND SHANGHAI BANKING CORPORATION LTD - PHILIPPINE BRANCH
