bic_8,bic,bank
AGRIPLPR,AGRIPLPRXXX,CREDIT AGRICOLE BANK POLSKA S.A.
AIPOPLP1,AIPOPLP1XXX,SANTANDER CONSUMER BANK SPOLKA AKCYJNA
ALBPPLP1,ALBPPLP1BMW,ALIOR BANK SPOLKA AKCYJNA
ALBPPLPW,ALBPPLPWCUS,ALIOR BANK SPOLKA AKCYJNA
ALBPPLPW,ALBPPLPWXXX,ALIOR BANK SPOLKA AKCYJNA
BCIRPLPP,BCIRPLPPXXX,BANKING CIRCLE S.A. (SPOLKA AKCYJNA ODDZIAL W POLSCE)
BCITPLPW,BCITPLPWXXX,INTESA SANPAOLO SPA
BEDMPLP1,BEDMPLP1XXX,DOM MAKLERSKI BDM S.A.
BELDPLP1,BELDPLP1XXX,BANK SPOLDZIELCZY W BELSKU DUZYM
BIEZPLP1,BIEZPLP1XXX,BANK SPOLDZIELCZY W BIEZUNIU
BIGBPLPW,BIGBPLPWCUS,BANK MILLENNIUM S.A.
BIGBPLPW,BIGBPLPWXXX,BANK MILLENNIUM S.A.
BISPPLP1,BISPPLP1XXX,BANK INICJATYW SPOLECZNO- EKONOMICZNYCH S.A.
BKCHPLPX,BKCHPLPXXXX,BANK OF CHINA (EUROPE) S.A. SPOLKA AKCYJNA ODDZIAL W POLSCE
BLIKPLPW,BLIKPLPWXXX,POLSKI STANDARD PLATNOSCI SPOLKA AKCYJNA
BMDNPLP1,BMDNPLP1XXX,DNB BANK POLSKA SPOLKA AKCYJNA
BMPBPLPP,BMPBPLPPXXX,UNICREDIT S.A. SPOLKA AKCYJNA ODDZIAL W POLSCE
BNPAPLPX,BNPAPLPXXXX,BNP PARIBAS S.A. BRANCH IN POLAND
BONPPLP9,BONPPLP9XXX,BONDSPOT S.A.
BPHKPLP1,BPHKPLP1BMK,BANK BPH SPOLKA AKCYJNA
BPHKPLPK,BPHKPLPKCUS,BANK BPH SPOLKA AKCYJNA
BPHKPLPK,BPHKPLPKXXX,BANK BPH SPOLKA AKCYJNA
BPKHPLPG,BPKHPLPGXXX,PKO BANK HIPOTECZNY SA
BPKOPLPW,BPKOPLPWBIA,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SPOLKA AKCYJNA
BPKOPLPW,BPKOPLPWCSD,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SPOLKA AKCYJNA
BPKOPLPW,BPKOPLPWGDG,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SPOLKA AKCYJNA
BPKOPLPW,BPKOPLPWGOA,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SPOLKA AKCYJNA
BPKOPLPW,BPKOPLPWKAB,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SPOLKA AKCYJNA
BPKOPLPW,BPKOPLPWKRD,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SPOLKA AKCYJNA
BPKOPLPW,BPKOPLPWLDA,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SPOLKA AKCYJNA
BPKOPLPW,BPKOPLPWLUA,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SPOLKA AKCYJNA
BPKOPLPW,BPKOPLPWOLS,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SPOLKA AKCYJNA
BPKOPLPW,BPKOPLPWPOA,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SPOLKA AKCYJNA
BPKOPLPW,BPKOPLPWSEC,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SPOLKA AKCYJNA
BPKOPLPW,BPKOPLPWTDH,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SPOLKA AKCYJNA
BPKOPLPW,BPKOPLPWTOB,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SPOLKA AKCYJNA
BPKOPLPW,BPKOPLPWWAA,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SPOLKA AKCYJNA
BPKOPLPW,BPKOPLPWWRD,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SPOLKA AKCYJNA
BPKOPLPW,BPKOPLPWXXX,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SPOLKA AKCYJNA
BREXPLPW,BREXPLPWBIA,MBANK S.A. (FORMERLY BRE BANK S.A.)
BREXPLPW,BREXPLPWBIB,MBANK S.A. (FORMERLY BRE BANK S.A.)
BREXPLPW,BREXPLPWBYD,MBANK S.A. (FORMERLY BRE BANK S.A.)
BREXPLPW,BREXPLPWCUS,MBANK S.A. (FORMERLY BRE BANK S.A.)
BREXPLPW,BREXPLPWCZE,MBANK S.A. (FORMERLY BRE BANK S.A.)
BREXPLPW,BREXPLPWDKS,MBANK S.A. (FORMERLY BRE BANK S.A.)
BREXPLPW,BREXPLPWGDA,MBANK S.A. (FORMERLY BRE BANK S.A.)
BREXPLPW,BREXPLPWGDY,MBANK S.A. (FORMERLY BRE BANK S.A.)
BREXPLPW,BREXPLPWGOR,MBANK S.A. (FORMERLY BRE BANK S.A.)
