bic_8,bic,bank
ACTVPTPL,ACTVPTPLXXX,BANCO ACTIVOBANK S.A.
AIFCPTP1,AIFCPTP1XXX,"ATRIUM INVESTIMENTOS-SOCIEDADE FINANCEIRA DE CORRETAGEM, SA"
ALPOPTP1,ALPOPTP1XXX,"COMPANHIA DE SEGUROS ALLIANZ PORTUGAL, S.A."
APSVPTP1,APSVPTP1XXX,AGEAS PORTUGAL - COMPANHIA DE SEGUROS DE VIDA S.A.
AUOEPTP1,AUOEPTP1XXX,"VOLKSWAGEN AUTOEUROPA, LDA"
AVPEPTP1,AVPEPTP1XXX,"VOLKSWAGEN GROUP SERVICES, UNIPESSOAL, LDA"
AXLPPTP1,AXLPPTP1XXX,AXA INVESTMENT MANAGERS (AXA IM)
BAIPPTPL,BAIPPTPLSIC,"BANCO BAI EUROPA, SA"
BAIPPTPL,BAIPPTPLXXX,"BANCO BAI EUROPA, SA"
BAPAPTPL,BAPAPTPLSIC,"BANCO ATLANTICO EUROPA, SA"
BAPAPTPL,BAPAPTPLXXX,"BANCO ATLANTICO EUROPA, SA"
BARCPTPC,BARCPTPCXXX,BARCLAYS BANK IRELAND PLC - SUCURSAL EM PORTUGAL
BBLAPTP1,BBLAPTP1XXX,BANCO DE BOSTON LATINO AMERICANO S.A.
BBPIPTPL,BBPIPTPLGLF,"BANCO BPI, S.A."
BBPIPTPL,BBPIPTPLXXX,"BANCO BPI, S.A."
BBRUPTPL,BBRUPTPLMGS,"ING BANK NV, SUCURSAL EM PORTUGAL"
BBRUPTPL,BBRUPTPLXXX,"ING BANK NV, SUCURSAL EM PORTUGAL"
BBVAPTPL,BBVAPTPLTG2,"BANCO BILBAO VIZCAYA ARGENTARIA S.A., SUCURSAL EM PORTUGAL"
BBVAPTPL,BBVAPTPLXXX,"BANCO BILBAO VIZCAYA ARGENTARIA S.A., SUCURSAL EM PORTUGAL"
BCOMPTPL,BCOMPTPLB01,"BANCO COMERCIAL PORTUGUES, S.A."
BCOMPTPL,BCOMPTPLB07,"BANCO COMERCIAL PORTUGUES, S.A."
