bic_8,bic,bank
AMAMPYPA,AMAMPYPAXXX,BANCO BASA S.A.
BAFAPYP1,BAFAPYP1XXX,BANCO FINAMERICA SAECA.
BATSPYP1,BATSPYP1XXX,BRITISH AMERICAN TOBACCO PRODUCTORA DE CIGARILLOS S.A.
BCNAPYPA,BCNAPYPAXXX,BANCO CONTINENTAL SAECA
BCOPPYPA,BCOPPYPAXXX,BANCO PARA LA COMERCIALIZACION Y LA PRODUCCION SOCIEDAD ANONIMA
BCPAPYPB,BCPAPYPBXXX,BANCO CENTRAL DEL PARAGUAY
BCPAPYPD,BCPAPYPDXXX,BANCO CENTRAL DEL PARAGUAY
BCPAPYPR,BCPAPYPRXXX,BANCO CENTRAL DEL PARAGUAY
BCPAPYPX,BCPAPYPXGON,BANCO CENTRAL DEL PARAGUAY
BCPAPYPX,BCPAPYPXXXX,BANCO CENTRAL DEL PARAGUAY
BGNBPYPX,BGNBPYPXXXX,BANCO GNB PARAGUAY S.A.E.C.A.
BNFAPYPA,BNFAPYPAXXX,BANCO NACIONAL DE FOMENTO
BNITPYPA,BNITPYPAXXX,BANCO ATLAS S.A.
BNTRPYP1,BNTRPYP1XXX,BANCO NACIONAL DE TRABAJADORES
BOSNPYP1,BOSNPYP1XXX,BOLPAR SA
BRASPYPX,BRASPYPXXXX,BANCO DO BRASIL SA ASUNCION
BSUDPYPX,BSUDPYPXXXX,SUDAMERIS BANK S.A.E.C.A.
CJVPPYP2,CJVPPYP2XXX,CAJA DE VALORES DEL PARAGUAY S.A.
COMAPYPA,COMAPYPAXXX,UENO BANK S.A.
FAMIPYPA,FAMIPYPAXXX,BANCO FAMILIAR S.A.E.C.A.
FIPJPYPA,FIPJPYPAXXX,FINANCIERA PARAGUAYO JAPONESA SAECA
FOPLPYPA,FOPLPYPAXXX,FONPLATA - FONDO FINANCIERO PARA EL DESAROLLO DE LA CUENCA DEL PLATA
IIFAPYPA,IIFAPYPAXXX,INTERFISA BANCO S.A.E.C.A
NACNPYPA,NACNPYPA0P3,BANCO DE LA NACION ARGENTINA
NACNPYPA,NACNPYPA0PC,BANCO DE LA NACION ARGENTINA
NACNPYPA,NACNPYPA0PE,BANCO DE LA NACION ARGENTINA
NACNPYPA,NACNPYPAXXX,BANCO DE LA NACION ARGENTINA
PCOMPYP1,PCOMPYP1XXX,BANCO COMERCIAL PARAGUAYO SA
SLRAPYPA,SLRAPYPAXXX,SOLAR BANCO S.A.E.
UBBRPYPX,UBBRPYPXTSS,BANCO ITAU PARAGUAY S.A.
UBBRPYPX,UBBRPYPXXXX,BANCO ITAU PARAGUAY S.A.
VISCPYPA,VISCPYPAXXX,UENO BANK S.A.
XVPAPYP1,XVPAPYP1XXX,BOLSA DE VALORES Y PRODUCTOS DE ASUNCION SA (BVPASA)
ZETAPYPA,ZETAPYPAXXX,ZETA BANCO SAECA
