bic_8,bic,bank
ABDIQAQA,ABDIQAQAXXX,ABU DHABI ISLAMIC BANK
ABQQQAQA,ABQQQAQAAIR,AHLI BANK QPSC
ABQQQAQA,ABQQQAQADNB,AHLI BANK QPSC
ABQQQAQA,ABQQQAQAMER,AHLI BANK QPSC
ABQQQAQA,ABQQQAQAXXX,AHLI BANK QPSC
AEXCQAQA,AEXCQAQAXXX,AL JAZEERA EXCHANGE COMPANY
AEXCQAQD,AEXCQAQDXXX,AL JAZEERA EXCHANGE COMPANY
AFEWQAQA,AFEWQAQAXXX,AL DAR FOR EXCHANGE WORKS
AFXQQAQA,AFXQQAQAXXX,ALFARDAN EXCHANGE LLC
AJIBQAQA,AJIBQAQAXXX,ARAB JORDAN INVESTMENT BANK(QATAR) LLC
ALZAQAQA,ALZAQAQAXXX,AL ZAMAN EXCHANGE W.L.L
ARABQAQA,ARABQAQACTU,ARAB BANK PLC
ARABQAQA,ARABQAQAINV,ARAB BANK PLC
ARABQAQA,ARABQAQARD3,ARAB BANK PLC
ARABQAQA,ARABQAQASAD,ARAB BANK PLC
ARABQAQA,ARABQAQATRO,ARAB BANK PLC
ARABQAQA,ARABQAQATSU,ARAB BANK PLC
ARABQAQA,ARABQAQAXXX,ARAB BANK PLC
AUDBQAQA,AUDBQAQAXXX,BANK AUDI LLC
BBMEQAQX,BBMEQAQXXXX,HSBC BANK MIDDLE EAST LIMITED
BCITQAQA,BCITQAQAXXX,INTESA SANPAOLO S.P.A. - QFC BRANCH
BKCHQAQA,BKCHQAQAXXX,BANK OF CHINA LIMITED QATAR FINANCIAL CENTRE BRANCH
BLOMQAQA,BLOMQAQAXXX,BLOM BANK QATAR LLC
BNPAQA21,BNPAQA21XXX,BNP PARIBAS QFC
BNPAQAQA,BNPAQAQAXXX,"BNP PARIBAS, DOHA"
BRWAQAQA,BRWAQAQAXXX,DUKHAN BANK
CBQAQAQA,CBQAQAQACGT,THE COMMERCIAL BANK (P.S.Q.C)
CBQAQAQA,CBQAQAQAXXX,THE COMMERCIAL BANK (P.S.Q.C)
CECQQAQ1,CECQQAQ1XXX,CITY EXCHANGE CO. W.L.L
CITIQAQA,CITIQAQAXXX,"CITIBANK N.A, QATAR"
CQURQAQD,CQURQAQDXXX,CQUR BANK LLC
DLBOQAQA,DLBOQAQAXXX,DLALA BROKERAGE COMPANY W.L.L.
DOHBQAQA,DOHBQAQADIS,DOHA BANK
DOHBQAQA,DOHBQAQADKB,DOHA BANK
DOHBQAQA,DOHBQAQAMSB,DOHA BANK
DOHBQAQA,DOHBQAQASRB,DOHA BANK
DOHBQAQA,DOHBQAQAUSB,DOHA BANK
DOHBQAQA,DOHBQAQAWBB,DOHA BANK
DOHBQAQA,DOHBQAQAXXX,DOHA BANK
DSMDQAQA,DSMDQAQAXXX,DOHA SECURITIES MARKET
GLECQAQA,GLECQAQAXXX,GULF EXCHANGE COMPANY
GQICQAQA,GQICQAQASAN,QATAR INVESTMENT AUTHORITY
GQICQAQA,GQICQAQAXXX,QATAR INVESTMENT AUTHORITY
GRPSQAQA,GRPSQAQAXXX,THE GROUP SECURITIES
GSQBQAQ1,GSQBQAQ1XXX,GSI QATAR FC BRANCH
GUIRQAA1,GUIRQAA1XXX,GULF INVESTMENT GROUP
GUIRQAQ1,GUIRQAQ1XXX,GULF INVESTMENT GROUP
IBOQQAQA,IBOQQAQAXXX,DUKHAN BANK
ICBKQAQA,ICBKQAQACLR,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA, LIMITED"
ICBKQAQA,ICBKQAQAXXX,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA, LIMITED"
IFSOQAQ1,IFSOQAQ1XXX,WASATA FINANCIAL SECURITIES
LAEXQAQ1,LAEXQAQ1XXX,LARI EXCHANGE COMPANY QATAR
MAFRQAQA,MAFRQAQAXXX,ALRAYAN BANK
MIIFQAQA,MIIFQAQAXXX,MINISTRY OF FINANCE
MSHQQAQA,MSHQQAQAXXX,MASHREQ BANK
NAECQAQA,NAECQAQAXXX,NATIONAL EXCHANGE CO. W.L.L.
QASCQAQ1,QASCQAQ1XXX,QATAR SECURITIES COMPANY
QCSDQAQ2,QCSDQAQ2XXX,QATAR CENTRAL SECURITIES DEPOSITORY
QCSDQAQA,QCSDQAQAXXX,QATAR CENTRAL SECURITIES DEPOSITORY
QFIBQAQA,QFIBQAQAXXX,LESHA BANK
QIDBQAQA,QIDBQAQAXXX,QATAR DEVELOPMENT BANK
QIIBQAQA,QIIBQAQAXXX,QATAR INTERNATIONAL ISLAMIC BANK
QINVQAQA,QINVQAQAXXX,QINVEST LLC
QISBQAQA,QISBQAQAXXX,QATAR ISLAMIC BANK
QMAGQAQA,QMAGQAQAXXX,QATAR CENTRAL BANK
QNBAQAQA,QNBAQAQACAD,QATAR NATIONAL BANK
QNBAQAQA,QNBAQAQACOD,QATAR NATIONAL BANK
QNBAQAQA,QNBAQAQACUS,QATAR NATIONAL BANK
QNBAQAQA,QNBAQAQAFMS,QATAR NATIONAL BANK
QNBAQAQA,QNBAQAQAFTD,QATAR NATIONAL BANK
QNBAQAQA,QNBAQAQAQFS,QATAR NATIONAL BANK
QNBAQAQA,QNBAQAQASLB,QATAR NATIONAL BANK
QNBAQAQA,QNBAQAQATRO,QATAR NATIONAL BANK
QNBAQAQA,QNBAQAQAXXX,QATAR NATIONAL BANK
QNBFQAQ1,QNBFQAQ1XXX,QNB FINANCIAL SERVICES
SCBLQAQX,SCBLQAQXXXX,STANDARD CHARTERED BANK
TVBAQAQA,TVBAQAQAXXX,VAKIFBANK QFC BRANCH
UDBKQAQ1,UDBKQAQ1XXX,UNITED BANK LTD MR MUHAMMED SALIM
