bic_8,bic,bank
ACTNRO21,ACTNRO21XXX,ACTINVEST SA
ALNRROB1,ALNRROB1XXX,ALPHA FINANCE ROMANIA SA
AUSMROB1,AUSMROB1XXX,AUSTRO-ROM S.A.
BACXROBU,BACXROBUBKR,UNICREDIT BANK SA
BACXROBU,BACXROBUXXX,UNICREDIT BANK SA
BCERROB1,BCERROB1XXX,B.C.R. SECURITIES S.A.
BCRLROBU,BCRLROBUXXX,BCR BANCA PENTRU LOCUINTE S.A.
BFERROBU,BFERROBUXXX,TECHVENTURES BANK SA
BIDRROBU,BIDRROBUXXX,BANCA DE INVESTITII SI DEZVOLTARE S.A.
BKCHROBU,BKCHROBUXXX,BANK OF CHINA (CENTRAL AND EASTERN EUROPE) LIMITED BUCHAREST BRANCH
BLIKROBB,BLIKROBBXXX,BLIK ROMANIA S.A.
BLOMROBU,BLOMROBUXXX,BANQUE BANORIENT FRANCE S.A. SUCURSALA ROMANIA
BNPAROBU,BNPAROBUXXX,BNP PARIBAS PERSONAL FINANCE S.A. PARIS SUCURSALA BUCURESTI
BPKOROBU,BPKOROBUXXX,"PKO BANK POLSKI S.A. VARSOVIA, SUCURSALA BUCURESTI"
BRDEROBU,BRDEROBUCAM,BRD - GROUPE SOCIETE GENERALE SA
BRDEROBU,BRDEROBUTIT,BRD - GROUPE SOCIETE GENERALE SA
BRDEROBU,BRDEROBUXXX,BRD - GROUPE SOCIETE GENERALE SA
BRELROBU,BRELROBUCAM,LIBRA INTERNET BANK S.A.
BRELROBU,BRELROBUXXX,LIBRA INTERNET BANK S.A.
BRMAROBU,BRMAROBUXXX,EXIM BANCA ROMANEASCA S.A.
BTRLRO21,BTRLRO21AB1,BANCA TRANSILVANIA S.A
BTRLRO21,BTRLRO21BBT,BANCA TRANSILVANIA S.A
BTRLRO21,BTRLRO21BH1,BANCA TRANSILVANIA S.A
BTRLRO21,BTRLRO21BH2,BANCA TRANSILVANIA S.A
BTRLRO21,BTRLRO21BH3,BANCA TRANSILVANIA S.A
BTRLRO21,BTRLRO21CJ1,BANCA TRANSILVANIA S.A
BTRLRO21,BTRLRO21CJ2,BANCA TRANSILVANIA S.A
BTRLRO21,BTRLRO21CJ3,BANCA TRANSILVANIA S.A
BTRLRO21,BTRLRO21CJ4,BANCA TRANSILVANIA S.A
BTRLRO21,BTRLRO21CJ5,BANCA TRANSILVANIA S.A
BTRLRO21,BTRLRO21CJ6,BANCA TRANSILVANIA S.A
BTRLRO21,BTRLRO21CJ7,BANCA TRANSILVANIA S.A
BTRLRO21,BTRLRO21GR1,BANCA TRANSILVANIA S.A
BTRLRO21,BTRLRO21HD1,BANCA TRANSILVANIA S.A
BTRLRO21,BTRLRO21HRA,BANCA TRANSILVANIA S.A
BTRLRO21,BTRLRO21MS1,BANCA TRANSILVANIA S.A
BTRLRO21,BTRLRO21MS2,BANCA TRANSILVANIA S.A
BTRLRO21,BTRLRO21PH1,BANCA TRANSILVANIA S.A
BTRLRO21,BTRLRO21SB1,BANCA TRANSILVANIA S.A
BTRLRO21,BTRLRO21SB2,BANCA TRANSILVANIA S.A
BTRLRO21,BTRLRO21TLA,BANCA TRANSILVANIA S.A
BTRLRO22,BTRLRO22ABA,BANCA TRANSILVANIA S.A
BTRLRO22,BTRLRO22ABI,BANCA TRANSILVANIA S.A
BTRLRO22,BTRLRO22AGA,BANCA TRANSILVANIA S.A
BTRLRO22,BTRLRO22AR1,BANCA TRANSILVANIA S.A
BTRLRO22,BTRLRO22AR2,BANCA TRANSILVANIA S.A
BTRLRO22,BTRLRO22AR3,BANCA TRANSILVANIA S.A
BTRLRO22,BTRLRO22AR4,BANCA TRANSILVANIA S.A
BTRLRO22,BTRLRO22AR5,BANCA TRANSILVANIA S.A
BTRLRO22,BTRLRO22ARA,BANCA TRANSILVANIA S.A
BTRLRO22,BTRLRO22BB1,BANCA TRANSILVANIA S.A
BTRLRO22,BTRLRO22BB2,BANCA TRANSILVANIA S.A
BTRLRO22,BTRLRO22BB3,BANCA TRANSILVANIA S.A
