bic_8,bic,bank
AAAARSBG,AAAARSBGXXX,YETTEL BANK AD
AIKBRS22,AIKBRS22XXX,AIKBANK AKCIONARSKO DRUSTVO BEOGRAD
APIBRSBG,APIBRSBGXXX,API BANK AD BEOGRAD
BACXRSBG,BACXRSBGXXX,UNICREDIT BANK SRBIJA A.D.
BKCHRSBG,BKCHRSBGCLR,BANK OF CHINA SRBIJA A.D. BEOGRAD
BKCHRSBG,BKCHRSBGXXX,BANK OF CHINA SRBIJA A.D. BEOGRAD
CABARS22,CABARS22XXX,HALKBANK A.D. BEOGRAD
CPTORSB1,CPTORSB1XXX,CAPITALONE A.D.
CRPKRSBB,CRPKRSBBXXX,"CENTRALNI REGISTAR DEPO I KLIRING HARTIJA OD VREDNOSTI AKCIONARSKO DRUSTVO, BEOGRAD"
CSDERSB1,CSDERSB1XXX,CENTRAL SECURITIES DEPOSITORY AND CLEARING HOUSE
DBDBRSBG,DBDBRSBGXXX,"BANCA INTESA AD, BEOGRAD"
GIBARS22,GIBARS22XXX,ERSTE BANK A.D. NOVI SAD
HAABRSBG,HAABRSBGXXX,ADDIKO BANK A.D. BEOGRAD
ILIBRSB1,ILIBRSB1XXX,ILIRIKA INVESTMENTS AD BEOGRAD
JMBNRSBG,JMBNRSBGXXX,ALTA BANKA A.D. BEOGRAD
KOBBRSBG,KOBBRSBGXXX,NLB KOMERCIJALNA BANKA AD BEOGRAD
LIKIRSBG,LIKIRSBGXXX,ADRIATIC BANK AD BEOGRAD
MRBNRSBG,MRBNRSBGXXX,MIRABANK A.D. BEOGRAD NOVI BEOGRAD
MSNSRS21,MSNSRS21XXX,MOMENTUM SECURITIES AD NOVI SAD
NBSRRS21,NBSRRS21001,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS)
NBSRRS21,NBSRRS21002,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS)
NBSRRS21,NBSRRS21003,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS)
NBSRRS21,NBSRRS21004,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS)
NBSRRS21,NBSRRS21005,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS)
NBSRRS21,NBSRRS21006,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS)
NBSRRS21,NBSRRS21007,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS)
NBSRRS21,NBSRRS21008,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS)
NBSRRS21,NBSRRS21009,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS)
NBSRRS21,NBSRRS21JJ1,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS)
NBSRRS21,NBSRRS21PI1,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS)
NBSRRS21,NBSRRS21UP1,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS)
NBSRRS21,NBSRRS21UP2,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS)
NBSRRS21,NBSRRS21UP3,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS)
NBSRRS21,NBSRRS21XXX,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS)
NBSRRSBD,NBSRRSBDXXX,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS)
NBSRRSBG,NBSRRSBGXXX,NARODNA BANKA SRBIJE (NATIONAL BANK OF SERBIA - NBS)
OPPBRS22,OPPBRS22XXX,3 BANKA A.D. NOVI SAD
OPSARS21,OPSARS21XXX,"OPPORTUNITY BANKA AD, NOVI SAD"
OTPVRS22,OTPVRS22XXX,OTP BANKA SRBIJA AKCIONARSKO DRUSTVO NOVI SAD
PADORS22,PADORS22XXX,PAYSPOT DOO
PESTRS21,PESTRS21XXX,PESTERBANKA
PIBBRS21,PIBBRS21XXX,BANCA INTESA AKCIONARSKO DRUSTVO BEOGRAD (NOVI BEOGRAD)
PRCBRSBG,PRCBRSBGXXX,PROCREDIT BANK A.D. BELGRADE
RZBSRSBG,RZBSRSBGXXX,RAIFFEISEN BANK AD BELGRADE
SBPORSBG,SBPORSBG100,POSTAL SAVINGS BANK JSC
SBPORSBG,SBPORSBGXXX,POSTAL SAVINGS BANK JSC
SRBNRSBG,SRBNRSBGXXX,SRPSKA BANKA AD BEOGRAD
UPSRRSB1,UPSRRSB1XXX,MINISTARSTVO FINANSIJA - RACUN ZA POSEBNE NAMENE
