bic_8,bic,bank
ABOCRUMM,ABOCRUMMXXX,AGRICULTURAL BANK OF CHINA (MOSCOW) LIMITED
ABSLRUMM,ABSLRUMMXXX,ABSOLUT BANK
AEGBRUMM,AEGBRUMMXXX,AMERICAN EXPRESS BANK LLC
AGCORUMM,AGCORUMMXXX,JOINT-STOCK COMMERCIAL BANK AGROPROMCREDIT
AGRYRUM1,AGRYRUM1XXX,AGROSOYUZ BANK
AGZARU33,AGZARU33XXX,JSC BANK 'AGROROS'
AGZARUM1,AGZARUM1XXX,JOINT STOCK COMPANY 'BANK' AGROROS'
AJICRU81,AJICRU81XXX,AMURPROMSTROYBANK ZAO
AJSCRU55,AJSCRU55XXX,BANK ACCEPT JSC
AKKORU51,AKKORU51XXX,PUBLIC JOINT-STOCK COMPANY BANK OTKRITIE FINANCIAL CORPORATION
AKOARU22,AKOARU22XXX,PJSC AKIBANK
AKTVRU21,AKTVRU21XXX,AKTIV BANK
ALCPRUM1,ALCPRUM1XXX,LIMITED LIABILITY COMPANY MANAGEMENT COMPANY ALFA-CAPITAL
ALEFRUM1,ALEFRUM1001,ALEF-BANK
ALEFRUM1,ALEFRUM1002,ALEF-BANK
ALEFRUM1,ALEFRUM1003,ALEF-BANK
ALEFRUMM,ALEFRUMMXXX,ALEF-BANK
ALFARUMM,ALFARUMM001,ALFA-BANK
ALFARUMM,ALFARUMM002,ALFA-BANK
ALFARUMM,ALFARUMM006,ALFA-BANK
ALFARUMM,ALFARUMM015,ALFA-BANK
ALFARUMM,ALFARUMM018,ALFA-BANK
ALFARUMM,ALFARUMM020,ALFA-BANK
ALFARUMM,ALFARUMM037,ALFA-BANK
ALFARUMM,ALFARUMMXXX,ALFA-BANK
ALILRUMM,ALILRUMMXXX,RENAISSANCE CREDIT COMMERCIAL BANK
ALMZRU8Y,ALMZRU8YXXX,ALMAZERGIENBANK
ALNORUM1,ALNORUM1XXX,NCO 'ALTERNATIVA' LTD.
ALOORU51,ALOORU51XXX,OOO KB 'ALTAYKAPITALBANK'
AMOORUM1,AMOORUM1XXX,LIMITED LIABILITY COMPANY 'SOCIUM- BANK'
AMOORUM2,AMOORUM2XXX,LIMITED LIABILITY COMPANY 'SOCIUM- BANK'
ARESRUMM,ARESRUMMXXX,"COMMERCIAL BANK 'ARESBANK', LTD."
ARRSRU2K,ARRSRU2KXXX,AK BARS JOINT-STOCK COMMERCIAL BANK (PUBLIC JOINT-STOCK COMPANY)
ASANRU8X,ASANRU8XXXX,ASIAN-PACIFIC BANK
ASIJRUMM,ASIJRUMMXXX,JSC ASIA-INVEST BANK
ATBTRUMM,ATBTRUMMXXX,ATB BANK
ATCGRUM1,ATCGRUM1XXX,LIMITED LIABILITY COMPANY ATON-CAPITAL
ATIMRUM1,ATIMRUM1XXX,ATON INVESTMENT MOSCOW
